Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Name,Address,S.No.2,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"1,500",Nil,Nil,Yes,"54,300",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER AND EARNEST MONEY INDICATED IN SCHEDULE F,","Supplying, Installation, Testing and Commissioning of One No. 15 Passenger Machine Room Gearless Mini Space Elevator at Combined office Building Tihra, Tehsil - Dharmpur District Mandi H.P","Supplying, Installation, Testing and Commissioning of One No. 15 Passenger Machine Room Gearless Mini Space Elevator at Combined office Building Tihra, Tehsil - Dharmpur District Mandi H.P",PLZ REFER TO BID DOC ,NA ,"31,16,901",Electrical Works,NA ,Tender,75.0,180.0,Tihra,175026.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,ICICI BANK,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",1.0,Corrigendum,Other,,PWD,PW/MED/TA/NIT/ e-notice/22-23-3116-26 dt 21.07.22,2022_PWD_63171_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,29-Jul-2022 10:00 AM,05-Aug-2022 11:00 AM,29-Jul-2022 10:00 AM,05-Aug-2022 10:00 AM,NA ,NA ,29-Jul-2022 10:00 AM,05-Aug-2022 10:00 AM,26-Aug-2022 10:00 AM,AOC,PWD,2022_PWD_63171_1,PW/MED/TA/NIT/ e-notice/22-23-3116-26 dt 21.07.22,"Supplying, Installation, Testing and Commissioning of One No. 15 Passenger Machine Room Gearless Mini Space Elevator at Combined office Building Tihra, Tehsil - Dharmpur District Mandi H.P",Er Sanjay Kumar SE,Internal,EE Mandi EO Sr Asstt JDM,Munish Bhopal,25-Aug-2022 05:05 PM,26-Aug-2022 10:00 AM,techsummary_95227.pdf (652.54 KB),ER MUNISH BHOPAL EE,Internal,Sr Asstt Sr asstt JDM,Munish Bhopal,30-Aug-2022 12:29 PM,finsummary_95227.pdf (300.02 KB),10-Oct-2022,"INR 3,116,901",180.0,Munish Bhopal,24-Nov-2022 11:26 AM,AOC.pdf (630.00 KB),work awarded to M/s Pragati Elect and Electronics Co.,1.0,294268.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,04-Aug-2022 08:33 PM,Accepted-AOC,work awarded to M/s Pragati Elect and Electronics Co.,24-Nov-2022 11:27 AM,Technical,TECHSUMMARY,Munish Bhopal,25-Aug-2022 05:00 PM,technical_95227.pdf,1.0,294268.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,INR,"3,108,400",Finance,FINSUMMARY,Munish Bhopal,30-Aug-2022 12:24 PM,finance_95227.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,.pdf,OEM of Lift Elevator as per approved make in BOQ or authorized agency of approved OEM,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,294253.0,SHARMA ELECTRICAL CO.,04-Aug-2022 09:28 PM,Rejected-Finance,rejected being L1 firm,30-Aug-2022 12:29 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted / non-gazetted HPPWD. Employees related to him GENERAL RULES NO 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Affidavit that never been blacklisted and information furnished with the bid is true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Bidder Address format with valid email ID and contact numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
