S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,249912.0,BHARAT BHUSHAN SHARMA,INR,"940,485",Finance,fin summary,Munish Bhopal,22-Dec-2021 03:32 PM,finance_81940.pdf,BOQ Comparative Chart,Technical,TECHNICAL BID SUMMARY,Munish Bhopal,22-Dec-2021 01:26 PM,technical_81940.pdf,1.0,249912.0,BHARAT BHUSHAN SHARMA,17-Dec-2021 10:06 PM,Accepted-AOC,work awarded being L1 contr,21-Nov-2022 03:45 PM,21-Jan-2022,"INR 905,234",365.0,Munish Bhopal,21-Nov-2022 03:45 PM,AOC.pdf (689.00 KB),work awarded to Sh Bharat Bhushan Elect Contractor being L1,ER MUNISH BHOPAL EE,Internal,HDM Sr asstt clerk,Munish Bhopal,22-Dec-2021 03:35 PM,finsummary_81940.pdf (440.85 KB),ER MUNISH BHOPAL EE,Internal,HDM SR ASSTT CLERK,Munish Bhopal,22-Dec-2021 01:29 PM,22-Dec-2021 02:00 PM,techsummary_81940.pdf (364.27 KB),PWD,2021_PWD_54674_1,PW/MED/TA/NIT/ e-notice/21-22-6327-32 dt 03.12.21,"Construction of 6 Nos. Type III Quarter of Police Residential Colony 3rd IRBN Pandoh, District Mandi HP SH Providing E.I therein",AOC,"18,200",No,fixed,,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,PWD,PW/MED/TA/NIT/ e-notice/21-22-6327-32 dt 03.12.21,2021_PWD_54674_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER and EARNEST MONEY INDICATED IN SCHEDULE F,","Construction of 6 Nos. Type III Quarter of Police Residential Colony 3rd IRBN Pandoh, District Mandi HP SH Providing E.I therein","Construction of 6 Nos. Type III Quarter of Police Residential Colony 3rd IRBN Pandoh, District Mandi HP SH Providing E.I therein",please refer to bid document ,NA ,"9,05,234",Electrical Works,NA ,Tender,75.0,365.0,Pandoh,175124.0,NA ,NA ,NA ,Electrical Division HPPWD Mandi H.P,No ,No,Executive Engineer Electrical Division HPPWD Mand,Executive Engineer Electrical Division HPPWD Mandi,15-Dec-2021 11:30 AM,21-Dec-2021 11:30 AM,15-Dec-2021 11:30 AM,21-Dec-2021 10:00 AM,NA ,NA ,15-Dec-2021 11:30 AM,21-Dec-2021 10:00 AM,22-Dec-2021 02:00 PM,350.0,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,No,AOC
,,,,,,,,,,,,,,,,2.0,250511.0,Krishana Traders,18-Dec-2021 03:48 PM,Rejected-Finance,rejected being l3 contractor,22-Dec-2021 03:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,2.0,ICICI NEFT/RTGS,,,.pdf,Valid CONTRACTOR REGISTRATION (Electrical) in appropriate Class B or C with valid elect license,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,250256.0,Man Singh,17-Dec-2021 02:52 PM,Rejected-Finance,rejected being l2 contractor,22-Dec-2021 03:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,.pdf,Attested copies of work done certificates past 5 yrs as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not been blacklisted and that inforfurnished with the bid is true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
