Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
350.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi","19,900",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,17-Sep-2021 10:00 AM,24-Sep-2021 11:30 AM,17-Sep-2021 10:00 AM,24-Sep-2021 10:00 AM,NA ,NA ,17-Sep-2021 10:00 AM,24-Sep-2021 10:00 AM,25-Sep-2021 03:30 PM,PWD,PW/MED/TA/NIT/ e-notice/21-22-4553-63 dt 08.09.21,2021_PWD_52283_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,DD - Demand Draft,Providing GI pipe with mounting MS frame cushion to laying medical copper pipe for medical air from Hospital Oxygen plant to make shift Hospital.,Providing GI pipe with mounting MS frame cushion to laying medical copper pipe for medical air from Hospital Oxygen plant to make shift Hospital.,please refer to bid document ,NA ,"9,92,970",Electrical Works,NA ,Tender,75.0,30.0,Nerchowk,175008.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,AOC,1.0,237629.0,AnKServices,24-Sep-2021 09:32 AM,Accepted-AOC,WORK AWARDED TO M/S ANK SERVICES BEING L1 FIRM,21-Nov-2022 12:19 PM,Technical,techsummary,Munish Bhopal,25-Sep-2021 03:08 PM,technical_78109.pdf,1.0,237629.0,AnKServices,INR,"976,650",Finance,finsummary,Munish Bhopal,05-Oct-2021 04:07 PM,finance_78109.pdf,BOQ Comparative Chart,PWD,2021_PWD_52283_1,PW/MED/TA/NIT/ e-notice/21-22-4553-63 dt 08.09.21,Providing GI pipe with mounting MS frame cushion to laying medical copper pipe for medical air from Hospital Oxygen plant to make shift Hospital.,Er Munish Bhopal EE,Internal,Sh Jai Ram HDM Sh Chaman lal Sr Asstt Sh Manish Kumar Clerk,Munish Bhopal,25-Sep-2021 03:24 PM,25-Sep-2021 03:30 PM,techsummary_78109.pdf (346.04 KB),Er Munish Bhopal EE,Internal,Sh Jai Ram HDM Sh Chaman lal Sr Asstt Sh Manish Kumar Clerk,Munish Bhopal,05-Oct-2021 04:22 PM,finsummary_78109.pdf (300.23 KB),27-Oct-2021,"INR 992,970",30.0,Munish Bhopal,21-Nov-2022 12:18 PM,AOC.pdf (670.00 KB),WORK AWARDED TO M/S ANK SERVICES BEING L1 FIRM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,OEM (Medical Gas pipe line system) Authorized agency of OEM as per TQC,AOC,2.0,237562.0,ULTIMED SOLUTION,23-Sep-2021 05:31 PM,Rejected-Finance,Rejected being L2 firm/ contractor,05-Oct-2021 04:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt. Deptt / Board / PSU.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
