Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
HPSEBL,2022_HPSEB_60874_1,CE(MM)-14/2022,Procurement of G.S.S wire of assorted sizes,1.0,284096.0,Shark steels,INR,"12,453,615.21",Sr Executive Engineer II,Internal,Assistant Engineer Junior Engineer Account Officer,Suraj Pandey,18-Nov-2022 11:09 AM,finsummary_91929.pdf (367.48 KB),18-Nov-2022,"INR 25,415,580.56",180.0,Suraj Pandey,18-Nov-2022 11:10 AM,AwardSummaryGSS.pdf (367.00 KB),The two purchase orders were placed on 01.10.2022,Finance,Price bid summary,Suraj Pandey,14-Jul-2022 12:39 PM,finance_91929.pdf,BOQ Comparative Chart,Technical,Technical Opening Summary,Chhote Lal Sharma,07-Jun-2022 12:31 PM,technical_91929.pdf,Sr. Executive Engineer III,Internal,Assistant Engineer Junior Engineer,Suraj Pandey,13-Jul-2022 05:46 PM,14-Jul-2022 11:00 AM,techsummary_91929.pdf (313.24 KB),1.0,283737.0,GEEKAY WIRES LIMITED,06-Jun-2022 11:35 AM,Rejected-AOC,Quoted L-II rates,18-Nov-2022 11:12 AM,AOC,1.0,Fee,.pdf,Proof tender Fee,1.0,ICICI BANK,Chief Engineer MM,"Chief Engineer MM, HPSEBL, Vidyut bhawan,Shimla-171004",HPSEBL,CE(MM)-14/2022,2022_HPSEB_60874_1,Yes,Open Tender,Item Wise,Goods,3.0,No,Yes,Online,No,No,No,21-May-2022 09:00 AM,07-Jun-2022 11:30 AM,21-May-2022 09:00 AM,06-Jun-2022 12:00 PM,NA ,NA ,21-May-2022 09:00 AM,06-Jun-2022 12:00 PM,14-Jul-2022 11:00 AM,"3,22,560",Yes,fixed,,Nil,Nil,"1,180",Nil,Nil,No,Procurement of G.S.S wire of assorted sizes,Procurement of G.S.S wire of assorted sizes,As per NIT ,"EMD for HP local registered units is Rs. 72,560 and for other bidders Rs. 3,22,560 ","3,22,56,056",Electrical Work/ Equipment,NA ,Tender,120.0,180.0,"Office of Chief Engineer MM, HPSEBL, Shimla",171004.0,NA ,NA ,NA ,"Office of Chief Engineer MM, HPSEBL, Shimla",No ,No,AOC
,,,,2.0,285407.0,PRAGATI WIRES PRIVATE LIMITED,INR,"12,961,965.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,284711.0,NIRMAL WIRES PVT LTD,04-Jun-2022 05:36 PM,Rejected-AOC,Quoted L-III rates,18-Nov-2022 11:12 AM,AOC,,,.pdf,proof of EMD,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,285407.0,PRAGATI WIRES PRIVATE LIMITED,05-Jun-2022 03:15 PM,Accepted-AOC,Quoted L-I rates,18-Nov-2022 11:12 AM,AOC,2.0,PreQual/Technical,.pdf,"Renewed BIS certificate,renewed ISO certificate, type test report and GTPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,284096.0,Shark steels,04-Jun-2022 04:44 PM,Accepted-AOC,As per Order Preference clause of NIT,18-Nov-2022 11:12 AM,AOC,,,.pdf,purchase order/supply orders and performance certificate thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Capacity assessment and list of machinery,testing Equip,acceptance,routine tests to be carried out",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit of arbitration/court cases and blacklisted/debarred by any govt./semi govt. organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Balance sheet of last three years,GST no., PAN No.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Income tax and GST clearance certificate,Power of attorney to sign the bid documents.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Acceptance of terms and cond, reg. certificate with Ind. Deptt. and average annual turnover",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Duly signed tender documents and any other requisite doc.as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
