Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er Munish Bhopal EE,Internal,SUPDT SR ASSTT JDM,Suresh Kumar Dhiman,03-Dec-2021 03:24 PM,finsummary_73593.pdf (440.71 KB),12-May-2022,"INR 2,983,710",365.0,Munish Bhopal,22-Nov-2022 10:41 AM,AOC.pdf (660.00 KB),work awarded to M/s Tarun Fire system being L1 firm,PWD,2021_PWD_49108_1,PW/MED/TA/NIT/ e-notice/21-22-2013-23 dt 19.06.21,"Construction of Combined Office Building at Thunag, District Mandi HP SH Providing, Installation, Testing and commissioning of Fire Fighting system therein",Er Sanjay Kumar SE,Internal,EE MANDI EE DESIGN EO SUPDT,Suresh Kumar Dhiman,01-Dec-2021 10:25 AM,01-Dec-2021 11:00 AM,techsummary_73593.pdf (786.02 KB),1.0,221145.0,TARUN FIRE SYSTEM,INR,"2,776,246",Finance,FINSUMMARY,Suresh Kumar Dhiman,03-Dec-2021 03:19 PM,finance_73593.pdf,BOQ Comparative Chart,Technical,TECHSUMMARY,Suresh Kumar Dhiman,01-Dec-2021 10:19 AM,technical_73593.pdf,1.0,221272.0,KHARBANDA ELECTRICALS,05-Jul-2021 09:53 AM,Rejected-Finance,REJECTED BEING L3,03-Dec-2021 03:24 PM,AOC,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",28-Jun-2021 10:00 AM,05-Jul-2021 11:30 AM,28-Jun-2021 10:00 AM,05-Jul-2021 10:00 AM,NA ,NA ,28-Jun-2021 10:00 AM,05-Jul-2021 10:00 AM,01-Dec-2021 11:00 AM,PWD,PW/MED/TA/NIT/ e-notice/21-22-2013-23 dt 19.06.21,2021_PWD_49108_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,"52,300",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,"Construction of Combined Office Building at Thunag, District Mandi HP SH Providing, Installation, Testing and commissioning of Fire Fighting system therein","Construction of Combined Office Building at Thunag, District Mandi HP SH Providing, Installation, Testing and commissioning of Fire Fighting system therein",please refer to bid document ,NA ,,Electrical Works,NA ,Tender,75.0,365.0,Thunag,175048.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"1,500","Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,221162.0,SHARMA ELECTRICAL CO.,04-Jul-2021 01:59 PM,Rejected-Finance,REJECTED BEING L2,03-Dec-2021 03:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,OEM (Fire Fighting) / Elect contractor Class A / approved firm for executing specl job by deptt,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,221145.0,TARUN FIRE SYSTEM,04-Jul-2021 03:57 PM,Accepted-AOC,work awarded to M/s Tarun Fire system being L1 firm,22-Nov-2022 10:42 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt Deptt / Board / PSU.,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
