Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
er Munish Bhopal EE,Internal,Sh. Jai Ram HDM Sh Kapil Soni Sr Asstt Sh Maniish Kumar,Suresh Kumar Dhiman,06-Aug-2021 11:20 AM,finsummary_73329.pdf (296.14 KB),02-Feb-2022,"INR 566,597",730.0,Munish Bhopal,22-Nov-2022 04:06 PM,AOC.pdf (715.00 KB),work awarded to Sh. Lal Singh Elect Contractor being L1,PWD,2021_PWD_48930_1,PW/MED/TA/NIT/ e-notice/21-22-1606-15 dt 08.06.21,Construction of Government Senior Secondary School at Sahal District Mandi HP SH Providing E.I therein,Er Munish Bhopal EE,Internal,Sh Jai Ram HDM Sh Kapil Soni Sr Asstt Sh Manish Kumar TA,Suresh Kumar Dhiman,27-Jul-2021 11:46 AM,28-Jul-2021 11:00 AM,techsummary_73329.pdf (340.42 KB),Technical,TECHSUMMARY,Suresh Kumar Dhiman,27-Jul-2021 11:37 AM,technical_73329.pdf,1.0,220149.0,Bhanu Pratap,29-Jun-2021 01:35 PM,Rejected-Finance,rejected being L3,06-Aug-2021 11:20 AM,Finance,finsummary,Suresh Kumar Dhiman,06-Aug-2021 11:03 AM,finance_73329.pdf,BOQ Comparative Chart,1.0,220131.0,LAL SINGH CONTRACTOR,INR,"557,831",AOC,350.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,Construction of Government Senior Secondary School at Sahal District Mandi HP SH Providing E.I therein,Construction of Government Senior Secondary School at Sahal District Mandi HP SH Providing E.I therein,Please refer to bid document ,NA ,,Electrical Works,NA ,Tender,75.0,365.0,Sahal,175012.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,"11,350",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,1.0,ICICI BANK,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,PW/MED/TA/NIT/ e-notice/21-22-1606-15 dt 08.06.21,2021_PWD_48930_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,23-Jun-2021 10:00 AM,30-Jun-2021 11:30 AM,23-Jun-2021 10:00 AM,30-Jun-2021 10:00 AM,NA ,NA ,23-Jun-2021 10:00 AM,30-Jun-2021 10:00 AM,28-Jul-2021 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,220131.0,LAL SINGH CONTRACTOR,29-Jun-2021 01:09 PM,Accepted-AOC,work awarded to Sh. Lal Singh Elect Contractor being L1,22-Nov-2022 04:06 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration Class B or C (Elect) in HPPWD with valid Elect license,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,220396.0,NITIN PROP A VIGHNA ELECTRICALS,30-Jun-2021 06:39 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,27-Jul-2021 11:37 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,220221.0,Pawan Kumar,29-Jun-2021 02:45 PM,Rejected-Finance,rejected being L2,06-Aug-2021 11:20 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt Deptt / Board / PSU.,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,AOC
