Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Executive Engineer R B M C Shimla,Executive Engineer R B M C Shimla,16-Aug-2022 05:00 PM,25-Aug-2022 02:00 PM,16-Aug-2022 05:00 PM,24-Aug-2022 05:00 PM,NA ,NA ,16-Aug-2022 05:00 PM,24-Aug-2022 05:00 PM,31-Aug-2022 04:25 PM,Municipal Corporation Shimla,4214Dated11082022,2022_MC_63656_10,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form in shape of DD and Earnest money in shape of FDR as per E procurement notice,1.0,DD - Demand Draft,Restoration of rain damages on road from Chaura Maidan to Advance Study via Lodge R D 0 040 to 0 055 in ward No 4,Restoration of rain damages on road from Chaura Maidan to Advance Study via Lodge R D 0 040 to 0 055 in ward No 4,Please refer Tender Documents ,NA ,"4,97,000",Civil Works,NA ,Tender,120.0,60.0,Shimla,171001.0,NA ,NA ,NA ,MC Shimla,No ,No,"10,000",No,fixed,,Executive Engineer R B M C Shimla,Shimla,350.0,Executive Engineer R B M C Shimla,Shimla,No,AOC,Municipal Corporation Shimla,2022_MC_63656_10,4214Dated11082022,Restoration of rain damages on road from Chaura Maidan to Advance Study via Lodge R D 0 040 to 0 055 in ward No 4,EE,Internal,AGM SJPNL AO,Gopesh Behl,31-Aug-2022 04:24 PM,31-Aug-2022 04:25 PM,techsummary_95952.pdf (2321.90 KB),EE,Internal,AGM SJPNL AO,Rajesh Thakur,04-Nov-2022 12:26 PM,finsummary_95952.pdf (314.77 KB),04-Nov-2022,"INR 347,900.96",60.0,Rajesh Thakur,04-Nov-2022 12:27 PM,2022_MC_63656_10.pdf (551.00 KB),AOC,1.0,296838.0,RAMESH VIJ,INR,"340,601",Finance,BOS,Rajesh Thakur,31-Aug-2022 04:46 PM,finance_95952.pdf,BOQ Comparative Chart,1,297293,ABDUL RAZAK BUTT,24-Aug-2022 02:16 PM,Rejected-Finance,Rejected,04-Nov-2022 12:26 PM,Technical,BOS,Gopesh Behl,31-Aug-2022 04:00 PM,technical_95952.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration with HPPWD in appropriate class and latest renewal thereof,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,297301,BILAL AHMED BUTT,24-Aug-2022 10:58 AM,Rejected-Technical,Document not submitted hence rejected,31-Aug-2022 04:24 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax GST and EPF registration PAN Permanent Account No and GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,297399,GIAN SHARMA GOVT CONTRECTOR,24-Aug-2022 04:31 PM,Rejected-Finance,Rejected,04-Nov-2022 12:26 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned Copy of tender documents i.e. NIT (E-procurement notice) Performa and Form MW-7 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,297366,LAL SINGH,24-Aug-2022 02:09 PM,Rejected-Finance,Rejected,04-Nov-2022 12:26 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Affidavit duly signed with reference to condition No. 10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,297356,manoj kumar,24-Aug-2022 01:36 PM,Rejected-Finance,Rejected,04-Nov-2022 12:26 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Letter Head with reference to condition No. 10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,296838,RAMESH VIJ,22-Aug-2022 10:56 AM,Accepted-AOC,Accepted,04-Nov-2022 12:28 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,296572,RAMESHWAR THAKUR,20-Aug-2022 01:41 PM,Rejected-Finance,Rejected,04-Nov-2022 12:26 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,297079,SUNIL MEHTA,23-Aug-2022 05:48 PM,Rejected-Finance,Rejected,04-Nov-2022 12:26 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,297313,SUNIL SHARMA,24-Aug-2022 11:36 AM,Rejected-Finance,Rejected,04-Nov-2022 12:26 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,297133,SUNIL SHARMA,23-Aug-2022 12:54 PM,Rejected-Finance,Rejected,04-Nov-2022 12:26 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,296665,Tikam Singh,20-Aug-2022 05:16 PM,Rejected-Finance,Rejected,04-Nov-2022 12:26 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,296290,Vishal Bhushan,20-Aug-2022 04:43 PM,Rejected-Finance,Rejected,04-Nov-2022 12:26 PM,,,,,,AOC
