Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,Tech bid summary,Munish Bhopal,05-May-2022 10:50 AM,technical_90554.pdf,1.0,279942.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,30-Apr-2022 11:40 AM,Rejected-Finance,rejected being L2 firm,09-May-2022 03:56 PM,1.0,279947.0,SHARMA ELECTRICAL CO.,INR,"996,000",Finance,fin summary,Munish Bhopal,09-May-2022 03:49 PM,finance_90554.pdf,BOQ Comparative Chart,ER MUNISH BHOPAL EE,Internal,Supdt Sr Asstt JDM,Munish Bhopal,09-May-2022 03:56 PM,finsummary_90554.pdf (295.76 KB),31-May-2022,"INR 991,200",180.0,Munish Bhopal,23-Nov-2022 11:41 AM,AOC.pdf (663.00 KB),work awarded to M/s Sharma Elect Co being L1 firm,PWD,2022_PWD_59874_1,PW/MED/TA/NIT/ e-notice/21-22-144-154 dt 16.04.22,Running operation of HVAC System Chiller Plant of Rapid Cool make installed at Shri Lal Bahadur Shastri Govt. Medical College and Hospital Nerchowk District Mandi HP,ER MUNISH BHOPAL EE,Internal,Sr Asstt Sr Asstt JDM,Munish Bhopal,05-May-2022 10:56 AM,05-May-2022 11:00 AM,techsummary_90554.pdf (323.85 KB),AOC,350.0,Nil,Nil,No,25-Apr-2022 03:15 PM,02-May-2022 11:30 AM,25-Apr-2022 03:15 PM,02-May-2022 10:00 AM,NA ,NA ,25-Apr-2022 03:15 PM,02-May-2022 10:00 AM,05-May-2022 11:00 AM,Running operation of HVAC System Chiller Plant of Rapid Cool make installed at Shri Lal Bahadur Shastri Govt. Medical College and Hospital Nerchowk District Mandi HP,Running operation of HVAC System Chiller Plant of Rapid Cool make installed at Shri Lal Bahadur Shastri Govt. Medical College and Hospital Nerchowk District Mandi HP,plz refer to bid document ,NA ,"9,91,200",Electrical Works,NA ,Tender,75.0,180.0,NERCHOWK,175008.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER and EARNEST MONEY INDICATED IN SCHEDULE F,","Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",1.0,ICICI BANK,PWD,PW/MED/TA/NIT/ e-notice/21-22-144-154 dt 16.04.22,2022_PWD_59874_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"19,850",No,fixed,,Nil,Nil,AOC
,,,,,2.0,279947.0,SHARMA ELECTRICAL CO.,30-Apr-2022 11:32 AM,Accepted-AOC,work awarded being L1 firm,23-Nov-2022 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Approved OEM of (HVAC) System or authorized agency of approved OEM or appr firm for exec specl job,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of similar work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ffidavit that never been blacklisted and information furnished with the bid is true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
