Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
EE,Internal,AGM SJPNL AO,Rajesh Thakur,10-Oct-2022 04:44 PM,10-Oct-2022 04:50 PM,techsummary_98330.pdf (1189.47 KB),1.0,304663.0,YOGENDER MOHAN SHARMA,INR,"309,500",Municipal Corporation Shimla,2022_MC_65310_6,4508Dated16092022,Restoration of rain damaged Park near Block D Knollswood in ward No 33 Khalini (SH Construction of Retaining wall),EE,Internal,AGM SJPNL AO,Rajesh Thakur,03-Nov-2022 10:45 AM,finsummary_98330.pdf (314.76 KB),1,304722,AJAY SHARMA,28-Sep-2022 04:59 PM,Rejected-Finance,Rejected,03-Nov-2022 10:45 AM,Technical,BOS,Sunil Attri,10-Oct-2022 03:51 PM,technical_98330.pdf,Finance,BOS,Rajesh Thakur,11-Oct-2022 10:30 AM,finance_98330.pdf,BOQ Comparative Chart,03-Nov-2022,"INR 309,500.32",60.0,Rajesh Thakur,03-Nov-2022 10:46 AM,2022_MC_65310_6.pdf (522.00 KB),AOC,AOC,"8,900",No,fixed,,Executive Engineer R B M C Shimla,Shimla,1.0,DD - Demand Draft,Executive Engineer R B M C Shimla,Executive Engineer R B M C Shimla,Municipal Corporation Shimla,4508Dated16092022,2022_MC_65310_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Restoration of rain damaged Park near Block D Knollswood in ward No 33 Khalini (SH Construction of Retaining wall),Restoration of rain damaged Park near Block D Knollswood in ward No 33 Khalini (SH Construction of Retaining wall),Please refer Tender Documents ,NA ,"4,42,114",Civil Works,NA ,Tender,120.0,60.0,Shimla,171001.0,NA ,NA ,NA ,MC Shimla,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form in shape of DD and Earnest money in shape of FDR as per E procurement notice,21-Sep-2022 06:00 PM,30-Sep-2022 02:00 PM,21-Sep-2022 06:00 PM,29-Sep-2022 05:00 PM,NA ,NA ,21-Sep-2022 06:00 PM,29-Sep-2022 05:00 PM,10-Oct-2022 04:50 PM,350.0,Executive Engineer R B M C Shimla,Shimla,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,304441,ANIL KUMAR,27-Sep-2022 07:35 PM,Rejected-Finance,Rejected,03-Nov-2022 10:45 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration with HPPWD in appropriate class and latest renewal thereof,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,304032,BALDEV CHAUHAN,26-Sep-2022 01:24 PM,Rejected-Technical,Rejected,10-Oct-2022 04:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax GST and EPF registration PAN Permanent Account No and GST No,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,305012,Bhaw Singh Chauhan,29-Sep-2022 02:25 PM,Rejected-Finance,Rejected,03-Nov-2022 10:45 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned Copy of tender documents i.e. NIT (E-procurement notice) Performa and Form MW-7 duly signed,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,305014,Devi Prakash Sharma,29-Sep-2022 02:24 PM,Rejected-Finance,Rejected,03-Nov-2022 10:45 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Affidavit duly signed with reference to condition No. 10.4,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,304009,GIAN SINGH CHAUHAN,26-Sep-2022 12:38 PM,Rejected-Finance,Rejected,03-Nov-2022 10:45 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Letter Head with reference to condition No. 10.1,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,304530,HITESH KAITH,28-Sep-2022 10:44 AM,Rejected-Finance,Rejected,03-Nov-2022 10:45 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,304944,Jai Chand,29-Sep-2022 01:58 PM,Rejected-Finance,Rejected,03-Nov-2022 10:45 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,305105,RAMESH VIJ,29-Sep-2022 04:47 PM,Rejected-Finance,Rejected,03-Nov-2022 10:45 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,304562,Vinod Kumar Shah,28-Sep-2022 11:52 AM,Rejected-Finance,Rejected,03-Nov-2022 10:45 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
