Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,"12,450",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,26-Feb-2022 10:00 AM,05-Mar-2022 11:30 AM,26-Feb-2022 10:00 AM,05-Mar-2022 10:00 AM,NA ,NA ,26-Feb-2022 10:00 AM,05-Mar-2022 10:00 AM,08-Mar-2022 03:00 PM,1.0,ICICI BANK,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",PWD,PW/MED/TA/NIT/ e-notice/21-22-8962-66 dt 19.02.22,2022_PWD_57202_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,350.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,Annual repair and maintenance for five years of 26 Passenger elevator Johnson make in Civil Hospital Karsog District Mandi HP,Annual repair and maintenance for five years of 26 Passenger elevator Johnson make in Civil Hospital Karsog District Mandi HP,plz refer to bid document ,NA ,"6,21,887",Electrical Works,NA ,Tender,75.0,365.0,Karsog,175011.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,AOC,1.0,267491.0,Johnson Lifts Private Ltd,INR,"651,738",Finance,financial bid summary,Munish Bhopal,09-Mar-2022 11:29 AM,finance_86347.pdf,BOQ Comparative Chart,1.0,267491.0,Johnson Lifts Private Ltd,02-Mar-2022 12:30 PM,Accepted-AOC,work awarded being L1 firm,22-Nov-2022 03:48 PM,Technical,techsummary,Munish Bhopal,08-Mar-2022 02:54 PM,technical_86347.pdf,PWD,2022_PWD_57202_1,PW/MED/TA/NIT/ e-notice/21-22-8962-66 dt 19.02.22,Annual repair and maintenance for five years of 26 Passenger elevator Johnson make in Civil Hospital Karsog District Mandi HP,ER MUNISH BHOPAL EE,Internal,HDM SR ASSTT SR ASSTT,Munish Bhopal,08-Mar-2022 02:57 PM,08-Mar-2022 03:00 PM,techsummary_86347.pdf (342.92 KB),ER MUNISH BHOPAL EE,Internal,HDM Supdt Sr Asstt,Munish Bhopal,09-Mar-2022 11:31 AM,finsummary_86347.pdf (321.78 KB),09-Mar-2022,"INR 621,887",365.0,Munish Bhopal,22-Nov-2022 03:47 PM,AOC.pdf (663.00 KB),work awarded to M/s Johnson Lift Pvt Ltd. being L1 firm,AOC
,,.pdf,OEM (Lift Elevator) / Authorized agency of OEM (Lift Elevator),,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,267597.0,SHARMA ELECTRICAL CO.,02-Mar-2022 04:47 PM,Rejected-Finance,rejected being L2 firm,09-Mar-2022 11:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt. Deptt / Board / PSU.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
