EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"79,700",No,fixed,,Nil,Nil,"2,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER AND EARNEST MONEY INDICATED IN SCHEDULE F,",1.0,ICICI BANK,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi","Construction of Boys Hostel at JLN Govt. Engineering College at Sunder Nagar District Mandi H.P SH Providing , Installation, Testing and commissioning of Fire Fighting System therein","Construction of Boys Hostel at JLN Govt. Engineering College at Sunder Nagar District Mandi H.P SH Providing , Installation, Testing and commissioning of Fire Fighting System therein",PLEASE REFER TO BID DOC ,NA ,"48,13,133",Electrical Works,NA ,Tender,75.0,180.0,SUNDER NAGAR,175019.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,PW/MED/TA/NIT/ e-notice/22-23-3356-66 dt 23.07.22,2022_PWD_63219_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,01-Aug-2022 10:00 AM,08-Aug-2022 11:00 AM,01-Aug-2022 10:00 AM,08-Aug-2022 10:00 AM,NA ,NA ,01-Aug-2022 10:00 AM,08-Aug-2022 10:00 AM,25-Aug-2022 04:15 PM,AOC,Finance,FINSUMMARY,Munish Bhopal,30-Aug-2022 12:22 PM,finance_95282.pdf,BOQ Comparative Chart,1.0,294728.0,TARUN FIRE SYSTEM,INR,"4,676,546",1.0,294341.0,Fire Guard Engineers,04-Aug-2022 04:49 PM,Rejected-Finance,rejected being L2 firm,30-Aug-2022 12:33 PM,Technical,techsummary,Munish Bhopal,25-Aug-2022 04:09 PM,technical_95282.pdf,PWD,2022_PWD_63219_1,PW/MED/TA/NIT/ e-notice/22-23-3356-66 dt 23.07.22,"Construction of Boys Hostel at JLN Govt. Engineering College at Sunder Nagar District Mandi H.P SH Providing , Installation, Testing and commissioning of Fire Fighting System therein",Er Sanjay Kumar SE,Internal,EE Mandi EO Mandi Sr Asstt JDM,Munish Bhopal,25-Aug-2022 04:12 PM,25-Aug-2022 04:15 PM,techsummary_95282.pdf (783.95 KB),ER MUNISH BHOPAL EE,Internal,Sr Asstt Sr asstt JDM,Munish Bhopal,30-Aug-2022 12:34 PM,finsummary_95282.pdf (299.39 KB),13-Sep-2022,"INR 4,813,133",365.0,Munish Bhopal,22-Nov-2022 10:21 AM,AOC.pdf (661.00 KB),work awarded to M/s Tarun fire System being L1 firm,AOC
,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,294771.0,Koushal General Traders,08-Aug-2022 08:56 AM,Rejected-Technical,BID RESPONSIVE BUT DISQUALIFIED,25-Aug-2022 04:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,OEM of Fire Fighting system as per approved make in BOQ or authorized agency of approved OEM,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,294660.0,SS CONSULTANTS,06-Aug-2022 06:52 PM,Rejected-Technical,BID RESPONSIVE BUT DISQUALIFIED,25-Aug-2022 04:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,294728.0,TARUN FIRE SYSTEM,06-Aug-2022 07:56 PM,Accepted-AOC,work awarded to M/s Tarun fire System being L1 firm,22-Nov-2022 10:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted / non-gazetted HPPWD. Employees related to him GENERAL RULES NO 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Affidavit that never been blacklisted and information furnished with the bid is true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Bidder Address format with valid email ID and contact numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
