Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
EE Dehra,Internal,AE to EE Dehra DAO Dehra Superintendent Dehra DHD Dehra,Dinesh Kumar Dhiman,22-Dec-2021 03:38 PM,24-Dec-2021 11:00 AM,techsummary_80842.pdf (355.20 KB),Technical,Technical bid opening summary,Dinesh Kumar Dhiman,22-Dec-2021 01:25 PM,technical_80842.pdf,1.0,246292.0,shushil kumar sharma govt contractor,01-Dec-2021 01:45 PM,Accepted-AOC,L1,21-Nov-2022 02:39 PM,Finance,Financial bid opening summary,Dinesh Kumar Dhiman,06-Feb-2022 12:09 PM,finance_80842.pdf,BOQ Comparative Chart,EE Dehra,Internal,AE to EE Dehra DHD Dehra DAO Dehra Superintendent Dehra,Dinesh Kumar Dhiman,06-Feb-2022 01:02 PM,finsummary_80842.pdf (185.61 KB),PWD,2021_PWD_53963_16,EE Dehra letter No.7182-86 dated 10.11.2021,A/R and M/O Bangoli Ka Talab to Bhatoli Phakorian via Rour Dibber road Km. 0/0 to 3/0,21-Nov-2022,"INR 1,346,861",30.0,Dinesh Kumar Dhiman,21-Nov-2022 02:40 PM,Award53963_16.pdf (718.00 KB),Work award issued,1.0,246292.0,shushil kumar sharma govt contractor,INR,"1,678,233",AOC,PWD,EE Dehra letter No.7182-86 dated 10.11.2021,2021_PWD_53963_16,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Executive Engineer,HPPWD Division Dehra,A/R and M/O Bangoli Ka Talab to Bhatoli Phakorian via Rour Dibber road Km. 0/0 to 3/0,C/O CCP at RD 0/110 to 0/150 and 0/386 to 0/480 and 0/615 to 0/888,Please refer to tender document ,NA ,,Civil Works - Roads,Repair of road ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of receipt of online payment on account of cost of tender form and earnest money,"27,000",No,fixed,,Nil,Nil,500.0,Nil,Nil,No,26-Nov-2021 10:00 AM,03-Dec-2021 11:00 AM,26-Nov-2021 10:00 AM,02-Dec-2021 05:00 PM,26-Nov-2021 10:00 AM ,30-Nov-2021 05:00 PM ,26-Nov-2021 10:00 AM,02-Dec-2021 05:00 PM,24-Dec-2021 11:00 AM,AOC
,,,,,,,,,,,,2.0,246235.0,vikrantminhas,02-Dec-2021 02:42 PM,Rejected-Finance,Highest bidder,06-Feb-2022 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of valid enlistment in appropriate class as per enlistment rules 2021,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,3.0,246054.0,VISHAL DHIMAN GOVT CONTRACTOR,02-Dec-2021 04:36 PM,Rejected-Finance,Highest bidder,06-Feb-2022 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff showing the name of bid regarding correctness of documents/information furnished with the bid,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted/non Gazetted officer,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC
