Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Bid opening summary,Sudhir Kumar Gupta,20-Jun-2022 12:16 PM,finance_92472.pdf,BOQ Comparative Chart,1.0,285776.0,Madan Builders,INR,"93,071,535",Technical,Bid opening summary,Sudhir Kumar Gupta,17-Jun-2022 04:46 PM,technical_92472.pdf,1.0,286320.0,", D.S.Rathore",15-Jun-2022 02:15 PM,Rejected-Finance,2nd Lowest,20-Jun-2022 12:20 PM,ErSudhirGupta,Internal,ShSureshKumarHDMShManojKumarSupdtShSuresh kumarsrassistant,Sudhir Kumar Gupta,20-Jun-2022 12:20 PM,finsummary_92472.pdf (753.13 KB),14-Nov-2022,"INR 93,582,830",545.0,Sudhir Kumar Gupta,14-Nov-2022 01:22 PM,AOC61268_1.pdf (1647.00 KB),AOC,PWD,2022_PWD_61268_1,SD-I-CTR-Tender-2022-23- 2991 dt 17-05-2022,C/O Art Block of Govt. Degree College at koti Tehsil and Distt. Shimla (HP),ErSudhirGupta,Internal,ShSureshKumarHDMShManojKumarSupdtShSuresh kumarsrassistant,Sudhir Kumar Gupta,17-Jun-2022 04:47 PM,18-Jun-2022 11:00 AM,techsummary_92472.pdf (938.38 KB),AOC,1.0,Corrigendum,Date,,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form with UTR No (as per Schedule F),1.0,ICICI BANK,31-May-2022 10:00 AM,16-Jun-2022 11:00 AM,31-May-2022 10:00 AM,15-Jun-2022 04:00 PM,NA ,NA ,31-May-2022 10:00 AM,15-Jun-2022 04:00 PM,18-Jun-2022 11:00 AM,"5,000",Nil,Nil,No,Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,PWD,SD-I-CTR-Tender-2022-23- 2991 dt 17-05-2022,2022_PWD_61268_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,C/O Art Block of Govt. Degree College at koti Tehsil and Distt. Shimla (HP),"SH Construction of Building portion with Civil work, Water supply and Installation, Site Development , Rain harvesting storage Tank Septic tank and Soak pit )(Balance work",As per SBD ,NA ,,Civil Works,NA ,Tender,75.0,545.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,"18,71,700",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2.0,285776.0,Madan Builders,09-Jun-2022 05:34 PM,Accepted-AOC,Awarded,14-Nov-2022 01:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,EMD with UTR No (As per schedule F),2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,286618.0,P K Construction Shimla Pvt Ltd,14-Jun-2022 07:33 PM,Rejected-Finance,3rd Lowest,20-Jun-2022 12:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Contractor registration (Refer General rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,GST registration (Refer General rule No.18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.16 counter signed by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.16 countersigned by EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Report of charted Accountant showing total annual volume in last five years (Ref. gen. Rule No.26.2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Form No. 7 8 (submit the original as per schedule time and date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
