Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
E E B and R Divn HPPWD ROHRU,EE HPPWDROHRU,"16,146",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,1.0,ICICI BANK,17-Jun-2022 06:00 PM,25-Jun-2022 11:00 AM,17-Jun-2022 06:00 PM,24-Jun-2022 06:00 PM,NA ,NA ,17-Jun-2022 06:00 PM,24-Jun-2022 06:00 PM,28-Jun-2022 10:00 AM,500.0,Nil,Nil,No,PWD,PW-RD-GA-Tender/22-2820-2919 Dt.25.05.22,2022_PWD_61816_14,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,C O Andhara Jhanjwani Gayari road Km. 0.0 to 8.500,SH Maintenance of earthan shoulder (filling fresh selected soil at Rd 0.0 to 4.0,Please refer Tender documents. ,NA ,"8,07,378",Civil Works,NA ,Tender,45.0,60.0,ROHRU,171207.0,NA ,NA ,NA ,ROHRU,No ,No,AOC,25-Nov-2022,"INR 825,000",60.0,Pawan Kumar Garg,25-Nov-2022 06:12 PM,Prdeep.pdf (194.00 KB),AOC,1.0,287724.0,PRADEEP RAITKA,INR,"825,000",Er. Pawan,Internal,Er. C.L. AZAD,Pawan Kumar Garg,25-Nov-2022 05:41 PM,finsummary_93277.pdf (194.12 KB),PWD,2022_PWD_61816_14,PW-RD-GA-Tender/22-2820-2919 Dt.25.05.22,C O Andhara Jhanjwani Gayari road Km. 0.0 to 8.500,Finance,Summery,Pawan Kumar Garg,28-Jun-2022 01:11 PM,finance_93277.pdf,BOQ Comparative Chart,PAWANKUMAR,Internal,Ranvir Chauhan Sanjay Thakur,Duni Chand Chauhan,27-Jun-2022 05:37 PM,28-Jun-2022 10:00 AM,techsummary_93277.pdf (412.19 KB),Technical,Summery,Duni Chand Chauhan,27-Jun-2022 05:21 PM,None,1.0,288125.0,Geeta Ram Govt. Contractor,23-Jun-2022 04:40 PM,Rejected-Technical,NON RESPONSIVE PHYSICAL SUBMISSION/ORIGNAL DOCUMENT NOT SUBMIT,27-Jun-2022 05:37 PM,AOC
,,,,,,,,,,.pdf,EARNEST MONEY,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,287724.0,PRADEEP RAITKA,21-Jun-2022 08:59 AM,Accepted-AOC,AOC,25-Nov-2022 06:12 PM,AOC
,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,287722.0,PREETI RAITKA,21-Jun-2022 08:35 AM,Rejected-Finance,2nd lowest,25-Nov-2022 05:41 PM,AOC
,,,,,,,,,,.pdf,PAN NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,EPF NUMBER GST NUMBER AND IMCOME TAX CALEARANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,WORK DONE CERTIFICATES AS PER CLAUSE 19 OF GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,WORK IN HAND DETAILS AS PER CLAUSE 19 OF GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,AFFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
