Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Category,Sub Category,Sub Category Description,Format/File,Name,Address,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Construction of Cluster University building at Govt. Degree college at Mandi Distt Mandi SH Providing and fixing one No. Electric Traction Lift Elevator 10 passenger therein,Construction of Cluster University building at Govt. Degree college at Mandi Distt Mandi SH Providing and fixing one No. Electric Traction Lift Elevator 10 passenger therein,PLEASE REFER TO BID DOC ,NA ,"25,50,000",Electrical Works,NA ,Tender,75.0,180.0,Mandi,175001.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",1.0,ICICI BANK,"1,500",Nil,Nil,No,1.0,corrigendum,Other,,PWD,PW/MED/TA/NIT/ e-notice/22-23-3116-26 dt 21.07.22,2022_PWD_63170_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,29-Jul-2022 10:00 AM,05-Aug-2022 11:00 AM,29-Jul-2022 10:00 AM,05-Aug-2022 10:00 AM,NA ,NA ,29-Jul-2022 10:00 AM,05-Aug-2022 10:00 AM,26-Aug-2022 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER AND EARNEST MONEY INDICATED IN SCHEDULE F,","54,300",No,fixed,,Nil,Nil,AOC,Er Sanjay Kumar SE,Internal,EE Mandi EO Sr Asstt JDM,Munish Bhopal,25-Aug-2022 05:03 PM,26-Aug-2022 10:00 AM,techsummary_95225.pdf (697.43 KB),PWD,2022_PWD_63170_1,PW/MED/TA/NIT/ e-notice/22-23-3116-26 dt 21.07.22,Construction of Cluster University building at Govt. Degree college at Mandi Distt Mandi SH Providing and fixing one No. Electric Traction Lift Elevator 10 passenger therein,06-Oct-2022,"INR 2,550,000",180.0,Munish Bhopal,24-Nov-2022 11:13 AM,AOC.pdf (630.00 KB),work awarded to M/s Sharma Elect Co. being L1 firm,ER MUNISH BHOPAL EE,Internal,Sr Asstt Sr asstt JDM,Munish Bhopal,30-Aug-2022 12:31 PM,finsummary_95225.pdf (298.93 KB),1.0,294255.0,SHARMA ELECTRICAL CO.,INR,"2,540,000",Finance,FINSUMMARY,Munish Bhopal,30-Aug-2022 12:23 PM,finance_95225.pdf,BOQ Comparative Chart,1.0,294269.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,04-Aug-2022 08:13 PM,Rejected-Finance,rejected being L2 firm,30-Aug-2022 12:31 PM,Technical,techsummary,Munish Bhopal,25-Aug-2022 05:02 PM,technical_95225.pdf,AOC
,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,294255.0,SHARMA ELECTRICAL CO.,04-Aug-2022 09:03 PM,Accepted-AOC,work awarded to M/s Sharma Elect Co. being L1 firm,24-Nov-2022 11:14 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OEM of Lift Elevator as per approved make in BOQ or authorized agency of approved OEM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted / non-gazetted HPPWD. Employees related to him GENERAL RULES NO 16,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that never been blacklisted and information furnished with the bid is true and correct,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder Address format with valid email ID and contact numbers,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
