Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Name,Address,Tender Stage
Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders,2022_PWRDW_25594_6,CE/APART/49/2022/15,Makri Kharmuja PWD road to Dariduri Nayapara of Dariduri Nayapara village in Goalpara District,"Chief Engineer,(EAP)PWRD,Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer,CE,PWRD(Roads),Assam",Kampi Sonowal,07-Nov-2022 08:04 PM,finsummary_39551.pdf (1193.22 KB),09-Nov-2022,INR 1.588608E+7,270.0,Kampi Sonowal,09-Nov-2022 10:54 AM,WO_Rd_MakriKharmuja.pdf (836.00 KB),"Chief Engineer,(EAP)PWRD,Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer,CE,PWRD(Roads),Assam",Pallavi Chakravorty,11-Oct-2022 08:39 PM,12-Oct-2022 02:30 PM,techsummary_39551.pdf (176.24 KB),Finance,Financial Bids has been opened,Sanjita Bodo,12-Oct-2022 05:24 PM,,BOQ Comparative Chart,1.0,150691.0,Sri Kaushik Deka,INR,15886080.0,1,151653,Bikash Enterprises,25-Jun-2022 04:06 PM,Rejected-Technical,As per decision of Bid Evaluation Commitee,11-Oct-2022 08:39 PM,Technical,Technical Bids has been opened,Pallavi Chakravorty,04-Jul-2022 12:16 PM,,AOC,"4,41,280",Yes,fixed,,Nil,Nil,"4,000",Nil,Nil,No,1.0,Corrigendum 2,Date,,19-May-2022 09:00 AM,27-Jun-2022 02:30 PM,19-May-2022 09:00 AM,27-Jun-2022 02:00 PM,19-May-2022 09:00 AM ,01-Jun-2022 11:00 AM ,19-May-2022 09:00 AM,27-Jun-2022 02:00 PM,12-Oct-2022 02:30 PM,1.0,Fee/PreQual/Technical,.pdf,EMD,Makri Kharmuja PWD road to Dariduri Nayapara of Dariduri Nayapara village in Goalpara District,"APART/NOCP/ROADS/GLP-08 Construction of road from Makri Kharmuja PWD road to Dariduri Nayapara of Dariduri Nayapara village, Chutki Nonk Part II, Mouza Balijana in Goalpara District (length 1.5 KM) under APART",Please refer Tender documents. ,NA ,"2,20,64,000",Civil Works – Roads,NA ,Tender,90.0,270.0,Goalpara District,783120.0,"O/o The Chief Engineer,(EAP) PWRD,Assam ","O/o The Chief Engineer,(EAP) PWRD,Assam Fatasil Ambari,Guwahati- 781025 ",01-Jun-2022 11:00 AM ,"O/o The Chief Engineer,(EAP) PWRD,Assam",No ,No,Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders,CE/APART/49/2022/15,2022_PWRDW_25594_6,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"Chief Engineer,(EAP) PWRD,Assam","O/o The Chief Engineer,(EAP) PWRD,Assam Fatasil Ambari,Guwahati- 781025",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,150725,Dhaneswar Kalita,17-Jun-2022 11:10 PM,Rejected-Technical,As per decision of Bid Evaluation Commitee,11-Oct-2022 08:39 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,151678,Durga Dutta Rabha,27-Jun-2022 12:59 PM,Rejected-Technical,As per decision of Bid Evaluation Commitee,11-Oct-2022 08:39 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,151089,Ghanashyam Saikia,27-Jun-2022 01:10 PM,Rejected-Finance,Rejected as L5,07-Nov-2022 08:04 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Technical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,151092,Harunur Rashid,27-Jun-2022 11:10 AM,Rejected-Technical,As per decision of Bid Evaluation Commitee,11-Oct-2022 08:39 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,151818,Jayanti Contractors and Engineers Ltd.,27-Jun-2022 10:13 AM,Rejected-Finance,Rejected as L6,07-Nov-2022 08:04 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Financial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,151699,JYOTI PRASAD SARMA,26-Jun-2022 04:56 PM,Rejected-Finance,Rejected as L4,07-Nov-2022 08:04 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,150196,LUTFAR RAHMAN,27-Jun-2022 12:37 PM,Rejected-Finance,Rejected as L3,07-Nov-2022 08:04 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,151552,M/S Competent Infrastructure & Consulting Pvt. Ltd,26-Jun-2022 11:42 AM,Rejected-Technical,As per decision of Bid Evaluation Commitee,11-Oct-2022 08:39 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,149496,Nurjamal Hoque,16-Jun-2022 03:00 PM,Rejected-Finance,Rejected as L2,07-Nov-2022 08:04 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
