EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"22,300",No,fixed,,Nil,Nil,1.0,ICICI BANK,Executive Engineer,"Theog Division, H.P.P.WD Tehog",PWD,THD/CB/Tender/2022-7080-94,2022_PWD_65242_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,20-Sep-2022 03:00 PM,27-Sep-2022 11:00 AM,20-Sep-2022 03:00 PM,26-Sep-2022 05:00 PM,NA ,NA ,20-Sep-2022 03:00 PM,26-Sep-2022 05:00 PM,04-Oct-2022 11:00 AM,Restoration of rain damages on Patinal to Malehri road km 0.00 to 6.500,"construction of Breast wll at RD 1.00 to 1.030 and Construction of Retaining wall at RD 4.470 to 4.485, 2.270 to 2.281",As per GCC ,NA ,"11,11,178",Civil Works - Roads,NA ,Tender,60.0,90.0,Theog Tehsil Theog Distt. Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,500.0,Nil,Nil,Yes,AOC,1.0,303739.0,Sunil Chandel,INR,"1,055,092",Finance,Financial Bid Opening summary,Ravi Bhatti,07-Oct-2022 09:49 AM,finance_98210.pdf,BOQ Comparative Chart,1.0,303740.0,Sandeep Chandel,26-Sep-2022 04:45 PM,Rejected-Finance,Being L2,12-Oct-2022 11:21 AM,Technical,Bid Opening Summary,Ravi Bhatti,01-Oct-2022 09:30 AM,technical_98210.pdf,"Er. Ravi Bhatti, Executive Engineer",Internal,"Kewal Ram, Supdt. Gr-II Jia Lal, D/Man Leela Verma, Sr. Asstt.",Ravi Bhatti,03-Oct-2022 04:40 PM,04-Oct-2022 11:00 AM,techsummary_98210.pdf (496.63 KB),PWD,2022_PWD_65242_1,THD/CB/Tender/2022-7080-94,Restoration of rain damages on Patinal to Malehri road km 0.00 to 6.500,12-Oct-2022,"INR 1,055,092",90.0,Ravi Bhatti,24-Nov-2022 01:20 PM,Award.pdf (820.00 KB),Award letter,"Er. Ravi Bhatti, Executive Engineer",Internal,"Huukamm Siingh Thakur , Head D/man, Jia Lal, Draugfhtsman",Ravi Bhatti,12-Oct-2022 11:21 AM,finsummary_98210.pdf (392.87 KB),AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,,,,,AOC,,,,,,,,,,,,2.0,303739.0,Sunil Chandel,26-Sep-2022 04:59 PM,Accepted-AOC,Award letter,24-Nov-2022 01:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,AOC,,,,,,,,,,,,3.0,303733.0,Surender,26-Sep-2022 04:31 PM,Rejected-Technical,technically non responsive,03-Oct-2022 04:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE.,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of documents,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,All other obligatory documents required as per G.C.C.,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
