S.No,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,PW/MED/TA/NIT/ e-notice/20-21-6650-60 dt 04.02.21,2021_PWD_44273_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,",500.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,"34,050",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi","Construction of ITI Sandhol Tehsil Dharmpur, District Mandi HP SH Providing EI therein","Construction of ITI Sandhol Tehsil Dharmpur, District Mandi HP SH Providing EI therein",Please refer to bid document ,NA ,,Electrical Works,NA ,Tender,75.0,365.0,Sandhol,176090.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,15-Feb-2021 10:00 AM,22-Feb-2021 11:30 AM,15-Feb-2021 10:00 AM,22-Feb-2021 10:00 AM,NA ,NA ,15-Feb-2021 10:00 AM,22-Feb-2021 10:00 AM,04-Mar-2021 11:00 AM,1.0,DD - Demand Draft,AOC,PWD,2021_PWD_44273_1,PW/MED/TA/NIT/ e-notice/20-21-6650-60 dt 04.02.21,"Construction of ITI Sandhol Tehsil Dharmpur, District Mandi HP SH Providing EI therein",Er Dalip singh Patial EE,Internal,Smt Karuna Sharma Supdt Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,04-Mar-2021 10:32 AM,04-Mar-2021 11:00 AM,techsummary_66337.pdf (355.82 KB),Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt Sh Manish Kumar TA,Dalip singh Patial,17-Jun-2021 04:51 PM,finsummary_66337.pdf (286.48 KB),27-Jul-2022,"INR 1,768,894",365.0,Munish Bhopal,22-Nov-2022 11:55 AM,AOC.pdf (770.00 KB),work awarded to M/s Sharma Elect co. being L1 contr,1.0,199597.0,ARUN KUMAR SHARMA,21-Feb-2021 03:15 PM,Rejected-Technical,bid responsive but disqualified,04-Mar-2021 10:32 AM,Technical,technical bid summary,Dalip singh Patial,03-Mar-2021 06:28 PM,technical_66337.pdf,Finance,fin summary,Dalip singh Patial,17-Jun-2021 04:48 PM,finance_66337.pdf,BOQ Comparative Chart,1.0,199422.0,SHARMA ELECTRICAL CO.,INR,"2,193,930",AOC
2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,199644.0,DHARMENDER SINGH,21-Feb-2021 06:36 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Mar-2021 06:29 PM,,,,,,,,,,,,,,,,,AOC
3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION in HPPWD in appropriate Class A or B (Electrical) with valid Electrical l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,199267.0,Digvijay Sharma,21-Feb-2021 01:15 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Mar-2021 06:29 PM,,,,,,,,,,,,,,,,,AOC
4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,199656.0,KUMAR ELECTRONICS CO.,21-Feb-2021 10:06 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Mar-2021 06:29 PM,,,,,,,,,,,,,,,,,AOC
5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,199687.0,MNBN Enterprises,22-Feb-2021 09:02 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Mar-2021 06:29 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6.0,199673.0,NITIN PROP A VIGHNA ELECTRICALS,22-Feb-2021 12:00 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Mar-2021 06:29 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7.0,199584.0,Ratwan Light House,21-Feb-2021 02:38 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Mar-2021 06:29 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8.0,199632.0,Rohtash Verma,21-Feb-2021 05:36 PM,Rejected-Finance,Rejected being L2 firm,17-Jun-2021 04:51 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9.0,199422.0,SHARMA ELECTRICAL CO.,20-Feb-2021 12:14 PM,Accepted-AOC,work awarded to M/s Sharma Elect co. being L1 contr,22-Nov-2022 11:55 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10.0,199628.0,TARUN GUPTA,21-Feb-2021 05:16 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Mar-2021 06:29 PM,,,,,,,,,,,,,,,,,AOC
