Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
PWD,PW/MED/TA/NIT/ e-notice/21-22-6874-78 dt 18.12.21,2021_PWD_54974_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"Construction of Additional Accommodation to HPPWD Rest House at Bagsaid, District Mandi HP SH Providing EI therein","Construction of Additional Accommodation to HPPWD Rest House at Bagsaid, District Mandi HP SH Providing EI therein",PLEASE REFER TO BID DOCUMENT ,NA ,"10,00,493",Electrical Works,NA ,Tender,75.0,365.0,BAGSAID,175035.0,NA ,NA ,NA ,Electrical Division HPPWD Mandi H.P,No ,No,"20,010",No,fixed,,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,28-Dec-2021 10:00 AM,04-Jan-2022 11:30 AM,28-Dec-2021 10:00 AM,04-Jan-2022 10:00 AM,NA ,NA ,28-Dec-2021 10:00 AM,04-Jan-2022 10:00 AM,19-Jan-2022 01:00 PM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,ICICI BANK,Executive Engineer Electrical Division HPPWD Mand,Executive Engineer Electrical Division HPPWD Mandi,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER and EARNEST MONEY INDICATED IN SCHEDULE F,",500.0,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,No,AOC,PWD,2021_PWD_54974_1,PW/MED/TA/NIT/ e-notice/21-22-6874-78 dt 18.12.21,"Construction of Additional Accommodation to HPPWD Rest House at Bagsaid, District Mandi HP SH Providing EI therein",ER MUNISH BHOPAL EE,Internal,HDM SR ASSTT CLERK,Munish Bhopal,19-Jan-2022 12:43 PM,19-Jan-2022 01:00 PM,techsummary_82432.pdf (334.33 KB),ER MUNISH BHOPAL EE,Internal,SUPDT HDM SR ASST,Munish Bhopal,24-Jan-2022 11:37 AM,finsummary_82432.pdf (414.16 KB),15-Jun-2022,"INR 1,000,493",365.0,Munish Bhopal,22-Nov-2022 11:30 AM,AOC.pdf (642.00 KB),work awarded to Sh. Dharmender singh being L1 contractor,Finance,FINANCIAL BID SUMMARY,Munish Bhopal,24-Jan-2022 11:35 AM,finance_82432.pdf,BOQ Comparative Chart,1.0,253772.0,DHARMENDER SINGH,INR,"996,005",1.0,253772.0,DHARMENDER SINGH,03-Jan-2022 08:37 PM,Accepted-AOC,work awarded to Sh. Dharmender singh being L1 contractor,22-Nov-2022 11:31 AM,Technical,TECH BID SUMMARY,Munish Bhopal,19-Jan-2022 12:42 PM,technical_82432.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,2.0,ICICI NEFT/RTGS,,,,,.pdf,Valid CONTRACTOR REGISTRATION (Electrical) in appropriate Class A or B with valid elect license,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,253660.0,SUNIL KAPOOR,03-Jan-2022 08:26 PM,Rejected-Finance,REJECTED BEING L2,24-Jan-2022 11:37 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES. 21,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,.pdf,Affidavit regarding not been blacklisted and that infor. furnished with the bid is true and correct,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates past 5 yrs as per Technical qualification criteria (see,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
