Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
350.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,"19,120",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,"Running operation of HVAC System Hot Water Generator of Rapid cool make installed at Shri Lal Bahadur Shastri Govt. Medical College and Hospital, Nerchowk, District Mandi HP for winter 2021","Running operation of HVAC System Hot Water Generator of Rapid cool make installed at Shri Lal Bahadur Shastri Govt. Medical College and Hospital, Nerchowk, District Mandi HP for winter 2021",please refer to bid document ,NA ,"9,55,800",Electrical Works,NA ,Tender,75.0,120.0,Nerchowk,175008.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,1.0,ICICI BANK,03-Dec-2021 11:00 AM,10-Dec-2021 11:30 AM,03-Dec-2021 11:00 AM,10-Dec-2021 10:00 AM,NA ,NA ,03-Dec-2021 11:00 AM,10-Dec-2021 10:00 AM,16-Dec-2021 02:30 PM,PWD,PW/MED/TA/NIT/ e-notice/21-22-5990-99 dt 24.11.21,2021_PWD_54287_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",AOC,Finance,FINSUMMARY,Munish Bhopal,16-Dec-2021 04:43 PM,finance_81295.pdf,BOQ Comparative Chart,1.0,248346.0,SHARMA ELECTRICAL CO.,INR,"984,000",1.0,248362.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,08-Dec-2021 01:32 PM,Rejected-Finance,REJECTED BEING L2 FIRM,16-Dec-2021 04:48 PM,Technical,TECHSUMMARY,Munish Bhopal,16-Dec-2021 02:18 PM,technical_81295.pdf,ER MUNISH BHOPAL EE,Internal,SUPDT HDM SR ASSTT,Munish Bhopal,16-Dec-2021 02:21 PM,16-Dec-2021 02:30 PM,techsummary_81295.pdf (378.30 KB),PWD,2021_PWD_54287_1,PW/MED/TA/NIT/ e-notice/21-22-5990-99 dt 24.11.21,"Running operation of HVAC System Hot Water Generator of Rapid cool make installed at Shri Lal Bahadur Shastri Govt. Medical College and Hospital, Nerchowk, District Mandi HP for winter 2021",28-Jan-2022,"INR 955,800",120.0,Munish Bhopal,21-Nov-2022 03:39 PM,AOC.pdf (743.00 KB),work awarded to M/s Sharma Elect Co being L1 firm,ER MUNISH BHOPAL EE,Internal,SUPDT HDM SR ASSTT,Munish Bhopal,16-Dec-2021 04:48 PM,finsummary_81295.pdf (311.63 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,.pdf,OEM (HVAC) or auth agency of OEM,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,248346.0,SHARMA ELECTRICAL CO.,08-Dec-2021 01:02 PM,Accepted-AOC,work awarded to M/s Sharma Elect Co being L1 firm,21-Nov-2022 03:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,.pdf,PAN GST and EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt Deptt / Board / PSU.,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
