Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
14-May-2022 01:00 PM,21-May-2022 11:30 AM,14-May-2022 01:00 PM,21-May-2022 10:30 AM,NA ,NA ,14-May-2022 01:00 PM,21-May-2022 10:30 AM,03-Jun-2022 11:30 AM,PWD,letter No 745 dated 21-04-2022,2022_PWD_60693_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,Yes,"Executive Engineer Bhoranj Division, HP.PWD., Bhor","Executive Engineer Bhoranj Division, HP.PWD., Bhoranj",1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form.,"18,000",Yes,fixed,,Nil,Nil,C O link road to Harizan Basti Paplah Km 0.00 to 1.500 SH C.O R.wall at RD 0.947 to 0.965 and soling wearing tarring at RD 0.945 to 1.100,C O link road to Harizan Basti Paplah Km 0.00 to 1.500 SH C.O R.wall at RD 0.947 to 0.965 and soling wearing tarring at RD 0.945 to 1.100,Please refer Tender documents. ,NA ,"8,85,167",Civil Works - Roads,NA ,Tender,75.0,90.0,Bhoranj,176045.0,NA ,NA ,NA ,Bhoranj,No ,No,AOC,PWD,2022_PWD_60693_1,letter No 745 dated 21-04-2022,C O link road to Harizan Basti Paplah Km 0.00 to 1.500 SH C.O R.wall at RD 0.947 to 0.965 and soling wearing tarring at RD 0.945 to 1.100,"Executive Engineer Bhoranj Division, HP.PWD., Bhoranj",Internal,"Supdt.Gr.-II, HDM, DAO, A.E.Bhoranj Sub Division",Arvind Lakhanpal,01-Jun-2022 01:27 PM,03-Jun-2022 11:30 AM,techsummary_91677.pdf (961.84 KB),Executive Engineer,Internal,HDM DAO Supdtt GrII HPPWD Division Bhoranj,Arvind Lakhanpal,26-Nov-2022 03:56 PM,finsummary_91677.pdf (330.85 KB),26-Nov-2022,"INR 776,988",90.0,Arvind Lakhanpal,26-Nov-2022 04:09 PM,295863.pdf (1158.00 KB),Work awarded to Sh. Parteek Thakur vide letter No. 2958-63 dt. 20.06.2022,1.0,283050.0,PRATEEK THAKUR GOVT CONTRACTOR,21-May-2022 10:13 AM,Accepted-AOC,L1,26-Nov-2022 04:10 PM,Technical,Technical Bid attached,Arvind Lakhanpal,01-Jun-2022 01:26 PM,technical_91677.pdf,1.0,283050.0,PRATEEK THAKUR GOVT CONTRACTOR,INR,"776,988",Finance,EE HDm DAO Supdtt GrIII HDM HPPWD Division Bhoranj,Arvind Lakhanpal,26-Nov-2022 03:43 PM,finance_91677.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor Registration REFER GENERAL RULES NO 20,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,283054.0,Sourabh Pathania Govt Contractor,21-May-2022 09:51 AM,Rejected-AOC,L2,26-Nov-2022 04:10 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration - REFER HPPWD-6 16(3).,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour License,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN No.),,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number.,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail and Proof of, Mandatory Machinery Tool and Plant as per Schedule F (Clause18 of GCC )",,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 16,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no litigation with the department,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that the contractor has not more than two work in hand (General Rule No. 26.1),,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder should must be uploaded working programme,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,From No 8 duly signed by Contractor,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29 .,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
