S.No,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,PW/MED/TA/NIT/ e-notice/22-23-3116-26 dt 21.07.22,2022_PWD_63172_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"56,250",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER AND EARNEST MONEY INDICATED IN SCHEDULE F,",1.0,ICICI BANK,"Supplying, Installation, Testing and Commissioning of One No. 13 Passenger Machine Room Gearless Mini Space Elevator at Combined office Building Sandhol, Tehsil Dharmpur District Mandi H.P","Supplying, Installation, Testing and Commissioning of One No. 13 Passenger Machine Room Gearless Mini Space Elevator at Combined office Building Sandhol, Tehsil Dharmpur District Mandi H.P",PLZ REFER TO BID DOC ,NA ,"32,46,901",Electrical Works,NA ,Tender,75.0,180.0,SANDHOL,176090.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",29-Jul-2022 10:00 AM,05-Aug-2022 11:00 AM,29-Jul-2022 10:00 AM,05-Aug-2022 10:00 AM,NA ,NA ,29-Jul-2022 10:00 AM,05-Aug-2022 10:00 AM,26-Aug-2022 10:00 AM,1.0,Corrigendum,Other,,"1,500",Nil,Nil,No,AOC,PWD,2022_PWD_63172_1,PW/MED/TA/NIT/ e-notice/22-23-3116-26 dt 21.07.22,"Supplying, Installation, Testing and Commissioning of One No. 13 Passenger Machine Room Gearless Mini Space Elevator at Combined office Building Sandhol, Tehsil Dharmpur District Mandi H.P",Er Sanjay Kumar SE,Internal,EE Mandi EO Sr Asstt JDM,Munish Bhopal,25-Aug-2022 05:04 PM,26-Aug-2022 10:00 AM,techsummary_95228.pdf (722.43 KB),ER MUNISH BHOPAL EE,Internal,Sr Asstt Sr asstt JDM,Munish Bhopal,30-Aug-2022 12:27 PM,finsummary_95228.pdf (304.78 KB),10-Oct-2022,"INR 3,246,901",180.0,Munish Bhopal,24-Nov-2022 11:19 AM,AOC.pdf (620.00 KB),work awarded to M/s Pragati Elect and Electronics Co. being L1 firm,Finance,FINSUMMARY,Munish Bhopal,30-Aug-2022 12:24 PM,finance_95228.pdf,BOQ Comparative Chart,1.0,294267.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,INR,"3,209,900",1.0,294267.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,04-Aug-2022 08:19 PM,Accepted-AOC,work awarded to M/s Pragati Elect and Electronics Co. being L1 firm,24-Nov-2022 11:19 AM,Technical,techsummary,Munish Bhopal,25-Aug-2022 05:01 PM,technical_95228.pdf,AOC
2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,294252.0,SHARMA ELECTRICAL CO.,04-Aug-2022 09:17 PM,Rejected-Finance,rejected being L2 firm,30-Aug-2022 12:27 PM,,,,,,AOC
3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OEM of Lift Elevator as per approved make in BOQ or authorized agency of approved OEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted / non-gazetted HPPWD. Employees related to him GENERAL RULES NO 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that never been blacklisted and information furnished with the bid is true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder Address format with valid email ID and contact numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
