Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
EE Dehra,Internal,"HDM,Supdt,DAO",Dinesh Kumar Dhiman,05-Oct-2022 04:10 PM,finsummary_94077.pdf (183.13 KB),02-Nov-2022,"INR 1,044,846",30.0,Dinesh Kumar Dhiman,02-Nov-2022 01:00 PM,Award62396-1.pdf (792.00 KB),Work awarded issued,PWD,2022_PWD_62396_1,EE Dehra Letter No.2859-64 dt. 15.06.2022,C/o link road Govt. Sen. Sec. School Ghallour to Daroli Km 0/00 to 2/200,EE Dehra,Internal,"DHD,Supdt,DAO",Dinesh Kumar Dhiman,26-Jul-2022 12:55 PM,26-Jul-2022 02:00 PM,techsummary_94077.pdf (628.54 KB),Technical,Summary,Dinesh Kumar Dhiman,26-Jul-2022 12:26 PM,technical_94077.pdf,1.0,290770.0,ashish chaudhry,11-Jul-2022 11:52 AM,Rejected-Finance,Highest Bidder,05-Oct-2022 04:10 PM,1.0,290575.0,sonu,INR,"773,431",Finance,Summary,Dinesh Kumar Dhiman,05-Oct-2022 04:03 PM,finance_94077.pdf,BOQ Comparative Chart,AOC,1.0,ICICI BANK,Executive Engineer,HPPWD Division Dehra,C/o link road Govt. Sen. Sec. School Ghallour to Daroli Km 0/00 to 2/200,C/o R/wall at RD. 0/300 to 0/354 and 1/190 to 1/245,Please refer to tender documents ,NA ,"10,44,846",Civil Works,NA ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,EE HPPWD Division Dehra,No ,No,04-Jul-2022 10:00 AM,12-Jul-2022 11:30 AM,04-Jul-2022 10:00 AM,11-Jul-2022 06:00 PM,NA ,NA ,04-Jul-2022 10:00 AM,11-Jul-2022 06:00 PM,26-Jul-2022 02:00 PM,PWD,EE Dehra Letter No.2859-64 dt. 15.06.2022,2022_PWD_62396_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,"21,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,290780.0,dhruv puri,11-Jul-2022 11:45 AM,Rejected-Finance,Highest Bidder,05-Oct-2022 04:10 PM,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of enlistment,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,290126.0,RAJ KUMAR,11-Jul-2022 02:30 PM,Rejected-Finance,Highest Bidder,05-Oct-2022 04:10 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration with copy of Return of previous FY,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,290609.0,RAJNIKANT,10-Jul-2022 01:47 PM,Rejected-Finance,Highest Bidder,05-Oct-2022 04:10 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,290575.0,sonu,10-Jul-2022 03:07 PM,Accepted-AOC,L1,02-Nov-2022 01:03 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of existing commentments under Dehra Division.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card with IT Return of previous FY,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF with return of previous FY,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
