Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Executive Engineer,Internal,Tender Assistant Superintendent HDM DAO,Deepak Mahajan,06-Aug-2022 01:08 PM,finsummary_93453.pdf (18.69 KB),08-Aug-2022,"INR 11,701,013",365.0,Vijay Kumar Verma,17-Nov-2022 01:18 PM,AOC.pdf (959.00 KB),AOC,PWD,2022_PWD_61921_1,EE Dalhousie letter No. 4557-607 dated 16-06-2022,Metalling/ Tarring and Cross Drainage on Dalhousie Cantt to Bathri road km. 0/0 to 4/760,Executive Engineer,Internal,Tender Assistant Superintendent HDM DAO,Deepak Mahajan,07-Jul-2022 03:40 PM,11-Jul-2022 11:30 AM,techsummary_93453.pdf (76.78 KB),1.0,289404.0,Sarwar Shah,INR,"11,701,013",Finance,Bid opening summary,Deepak Mahajan,06-Aug-2022 01:03 PM,finance_93453.pdf,BOQ Comparative Chart,Technical,bid Opening Sumamry,Deepak Mahajan,07-Jul-2022 03:30 PM,technical_93453.pdf,1.0,289189.0,construction,29-Jun-2022 03:47 PM,Rejected-Finance,Other than lowest,06-Aug-2022 01:08 PM,AOC,Metalling/ Tarring and Cross Drainage on Dalhousie Cantt to Bathri road km. 0/0 to 4/760,"Formation deficiency, Providing Cross Drainage M/T of road",Please refer Tender documents. ,NA ,"1,23,50,657",Civil Works,NA ,Tender,75.0,365.0,Dalhousie,176304.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Dalhousie,No ,No,"5,000",Nil,Nil,No,Executive Engineer,Executive Engineer HPPWD Division Dalhousie,22-Jun-2022 09:00 AM,01-Jul-2022 11:30 AM,22-Jun-2022 10:00 AM,30-Jun-2022 05:00 PM,NA ,NA ,22-Jun-2022 10:00 AM,30-Jun-2022 05:00 PM,11-Jul-2022 11:30 AM,PWD,EE Dalhousie letter No. 4557-607 dated 16-06-2022,2022_PWD_61921_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,1.0,ICICI BANK,"2,47,020",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,289033.0,Pankaj Kapoor,28-Jun-2022 06:27 PM,Rejected-Finance,Other than lowest,06-Aug-2022 01:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money from only online mode through E-payment,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,289404.0,Sarwar Shah,30-Jun-2022 04:40 PM,Accepted-AOC,Working in Progress,17-Nov-2022 01:19 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No. 24.3 and as per invitation of bid),,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. Number,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Number,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 8, duly signed by the contractor",,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid (Name of works is correct),,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of technical Staff,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience as per clause 26.2 b of general and direction and as per schedule F,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Own/hired- Hot Mix Plant, Paver Finisher and road Roller affidavit documentary proof",,,,,,,,,AOC
