Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,TECHNICAL BID SUMMARY,Munish Bhopal,04-Jul-2022 02:43 PM,technical_93540.pdf,1.0,289181.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,29-Jun-2022 06:24 PM,Accepted-AOC,work awarded to M/s Pragati Elect and Electronics being L1 firm,23-Nov-2022 01:28 PM,Finance,finsummary,Munish Bhopal,27-Jul-2022 01:21 PM,finance_93540.pdf,BOQ Comparative Chart,1.0,289181.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,INR,"903,000",23-Aug-2022,"INR 867,575",365.0,Munish Bhopal,23-Nov-2022 01:28 PM,AOC.pdf (684.00 KB),work awarded to M/s Pragati Elect and Electronics being L1 firm,ER MUNISH BHOPAL EE,Internal,Sr Asstt Sr Asstt JDM,Munish Bhopal,27-Jul-2022 04:27 PM,finsummary_93540.pdf (317.07 KB),ER MUNISH BHOPAL EE,Internal,SR ASSTT SR ASSTT JDM,Munish Bhopal,04-Jul-2022 02:44 PM,04-Jul-2022 02:50 PM,techsummary_93540.pdf (395.63 KB),PWD,2022_PWD_61993_1,PW/MED/TA/NIT/ e-notice/22-23-1951-60 dt 16.06.22,"Repair Maintenance and Contract for passenger elevator No. 40235077, 40235097, 40235095, 40235045, 40235054, 40235044 of KONE make installed in Nursing College, Hospital Block B, C Guest House and Library in Shri lal bahadur shastri Govt. Medical",AOC,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi","Repair Maintenance and Contract for passenger elevator No. 40235077, 40235097, 40235095, 40235045, 40235054, 40235044 of KONE make installed in Nursing College, Hospital Block B, C Guest House and Library in Shri lal bahadur shastri Govt. Medical","Repair Maintenance and Contract for passenger elevator No. 40235077, 40235097, 40235095, 40235045, 40235054, 40235044 of KONE make installed in Nursing College, Hospital Block B, C Guest House and Library in Shri lal bahadur shastri Govt. Medical",PLZ REFER TO BID DOC ,NA ,"8,67,575",Electrical Works,NA ,Tender,75.0,365.0,NERCHOWK,175008.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER and EARNEST MONEY INDICATED IN SCHEDULE F,",24-Jun-2022 10:00 AM,01-Jul-2022 11:00 AM,24-Jun-2022 10:00 AM,01-Jul-2022 10:00 AM,NA ,NA ,24-Jun-2022 10:00 AM,01-Jul-2022 10:00 AM,04-Jul-2022 02:50 PM,1.0,ICICI BANK,PWD,PW/MED/TA/NIT/ e-notice/22-23-1951-60 dt 16.06.22,2022_PWD_61993_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"17,400",Yes,fixed,,Nil,Nil,AOC
,,,,,2.0,289157.0,SHARMA ELECTRICAL CO.,29-Jun-2022 04:40 PM,Rejected-Finance,rejected being L2 firm,27-Jul-2022 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder address format with valid email address and phone numbers,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Approved OEM of Lift elevator or authorized agency of approved OEM of lift elevator,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of similar work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
