EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"13,200",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,DD - Demand Draft,"Providing and fixing Inverter with Battery in HPPWD Circle office, Division office and Sub Division office at Joginder Nagar District Mandi HP","Providing and fixing Inverter with Battery in HPPWD Circle office, Division office and Sub Division office at Joginder Nagar District Mandi HP",Please refer to bid document ,NA ,"6,59,000",Electrical Works,NA ,Tender,75.0,90.0,Joginder Nagar,175015.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,31-Aug-2021 10:00 AM,07-Sep-2021 11:30 AM,31-Aug-2021 10:00 AM,07-Sep-2021 10:00 AM,NA ,NA ,31-Aug-2021 10:00 AM,07-Sep-2021 10:00 AM,13-Sep-2021 10:30 AM,350.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi,No,PWD,PW/MED/TA/NIT/ e-notice/21-22-3979-89 dt 21.08.21,2021_PWD_51716_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Offline,No,No,No,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,AOC,Er Munish Bhopal EE,Internal,Sh Johan Gupta Supdt Sh Jai Ram HDM Sh Kapil Soni Sr Asstt,Munish Bhopal,10-Sep-2021 04:36 PM,13-Sep-2021 10:30 AM,techsummary_77322.pdf (335.64 KB),PWD,2021_PWD_51716_1,PW/MED/TA/NIT/ e-notice/21-22-3979-89 dt 21.08.21,"Providing and fixing Inverter with Battery in HPPWD Circle office, Division office and Sub Division office at Joginder Nagar District Mandi HP",15-Nov-2021,"INR 659,000",60.0,Munish Bhopal,23-Nov-2022 04:08 PM,AOC.pdf (613.00 KB),work awarded to M/s Pragati Elect and Electronics Co. being L1 firm,Er Munish Bhopal EE,Internal,Sh Johan Gupta Superintendent Sh Jai Ram HDM Sh Chaman lal Sr Asstt,Munish Bhopal,18-Sep-2021 11:05 AM,finsummary_77322.pdf (306.51 KB),1.0,233916.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,INR,"598,500",Finance,finsummary,Munish Bhopal,18-Sep-2021 11:00 AM,finance_77322.pdf,BOQ Comparative Chart,1.0,233559.0,GOLD CUBE AUTOMATIONS AND ENERGY,02-Sep-2021 09:37 PM,Rejected-Finance,Rejected being L2 firm/ contractor,18-Sep-2021 11:05 AM,Technical,techbidsummary,Munish Bhopal,10-Sep-2021 04:28 PM,technical_77322.pdf,AOC
,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration HPPWD Electrical Class B or C,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,234615.0,Krishana Traders,06-Sep-2021 06:16 PM,Rejected-Finance,Rejected being L3 firm/ contractor,18-Sep-2021 11:05 AM,,,,,,AOC
,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,233916.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,04-Sep-2021 01:47 PM,Accepted-AOC,work awarded to M/s Pragati Elect and Electronics Co. being L1 firm,23-Nov-2022 04:09 PM,,,,,,AOC
,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt. Deptt / Board / PSU.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
