Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
Executive Engineer,Internal,SUPERINTENDENT G-II HDM DAO,Rattan Kumar Sharma,06-May-2021 10:22 AM,finsummary_69120.pdf (188.22 KB),16-Jun-2021,"INR 5,699,556",180.0,Rattan Kumar Sharma,28-Nov-2022 12:54 PM,11.pdf (1412.00 KB),AOC,PWD,2021_PWD_45914_4,Sangrah 11318-11368 Dated 10.03.2021,Annual maintenance Plan for the year 2021-22 on Nohra to Methli road km 0/0 to 18/0(VR)(,Executive Engineer,Internal,SUPERINTENDENT G-II HDM DAO,Rattan Kumar Sharma,22-Apr-2021 10:56 AM,22-Apr-2021 11:15 AM,techsummary_69120.pdf (460.96 KB),1.0,206565.0,M/S CHAUHAN CONSTRUCTION,INR,"5,699,556",Finance,SUMMARY,Rattan Kumar Sharma,22-Apr-2021 01:05 PM,finance_69120.pdf,BOQ Comparative Chart,Technical,summary,Rattan Kumar Sharma,19-Apr-2021 11:01 AM,technical_69120.pdf,1.0,206565.0,M/S CHAUHAN CONSTRUCTION,29-Mar-2021 08:01 PM,Accepted-AOC,AOC,28-Nov-2022 12:54 PM,AOC,"2,000",Nil,Nil,No,"93,600",No,fixed,,Nil,Nil,26-Mar-2021 05:00 PM,05-Apr-2021 10:30 AM,26-Mar-2021 05:00 PM,03-Apr-2021 05:00 PM,NA ,NA ,26-Mar-2021 05:00 PM,03-Apr-2021 05:00 PM,22-Apr-2021 11:15 AM,1.0,Fee/PreQual/Technical,.pdf,RECEIPT / SCREEN SHOT OF COST OF TENDER AND EARNEST MONEY PAYMENT (INDICATED IN SCHEDULE F),"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",PWD,Sangrah 11318-11368 Dated 10.03.2021,2021_PWD_45914_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Annual maintenance Plan for the year 2021-22 on Nohra to Methli road km 0/0 to 18/0(VR)(,"Repair of pot holes , providing 10 cm wide road marking and 30 mm thick bituminous concrete in km. 8/0 to 13/0)",Please refer Tender documents. ,NA ,"61,03,133",Civil Works,NA ,Tender,75.0,180.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,207160.0,M/S SARVJEET SINGH,03-Apr-2021 02:25 PM,Rejected-Finance,L3,06-May-2021 10:22 AM,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,LATEST CONTRACTORS REGISTRATION FULL COPY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,207002.0,Ranjeet Singh,02-Apr-2021 07:55 PM,Rejected-Finance,L2,06-May-2021 10:22 AM,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK DONE CERTIFICATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK IN HAND CERTIFICATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,"LIST OF MACHINERY, TOOL, PLANT AS PER GCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM NO 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,BIDDING CAPACITY/C.A. ANNUAL REPORT AS PER GENERAL RULES 26.2 A AND 26.2 A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,PROOF TO REGISTRATION UNDER EMPLOYEES PROVIDENT FUNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
