Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
17-Feb-2022 10:00 AM,25-Feb-2022 11:30 AM,17-Feb-2022 10:00 AM,24-Feb-2022 06:00 PM,17-Feb-2022 10:00 AM ,22-Feb-2022 05:00 PM ,17-Feb-2022 10:00 AM,24-Feb-2022 06:00 PM,05-Mar-2022 11:00 AM,R/R damages on Naleti to Samdol road Km. 0/0 to 2/070,C/O slab culvert 1.50 mtr. span at RD 0/385 and drain at RD 0/209 to 0/384,Before uploading of tender please refer to bidding document for all conditions/instructions ,NA ,"5,39,320",Civil Works,Repair of road ,Tender,75.0,90.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,1.0,ICICI BANK,Executive Engineer,HPPWD Division Dehra,PWD,EE Dehra letter No11262-66 dated 07.02.2022,2022_PWD_56816_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"11,000",No,fixed,,Nil,Nil,350.0,Nil,Nil,No,AOC,PWD,2022_PWD_56816_6,EE Dehra letter No11262-66 dated 07.02.2022,R/R damages on Naleti to Samdol road Km. 0/0 to 2/070,EE Dehra,Internal,DAO Dehra Superintendent Dehra DHD Dehra,Dinesh Kumar Dhiman,04-Mar-2022 06:57 PM,05-Mar-2022 11:00 AM,techsummary_85582.pdf (325.68 KB),EE Dehra,Internal,DAO Dehra Superintendent Dehra DHD Dehra,Dinesh Kumar Dhiman,13-Mar-2022 02:20 PM,finsummary_85582.pdf (194.77 KB),23-Nov-2022,"INR 539,320",90.0,Dinesh Kumar Dhiman,23-Nov-2022 12:24 PM,56816_6Award.pdf (587.00 KB),Work award issued,1.0,266134.0,RAJAT KAJAL GOVT CONTRACTOR,23-Feb-2022 03:59 PM,Accepted-AOC,L1,23-Nov-2022 12:25 PM,Technical,Opening summary,Dinesh Kumar Dhiman,04-Mar-2022 06:42 PM,technical_85582.pdf,Finance,Financial bid opening summary,Dinesh Kumar Dhiman,13-Mar-2022 12:28 PM,finance_85582.pdf,BOQ Comparative Chart,1.0,266134.0,RAJAT KAJAL GOVT CONTRACTOR,INR,"442,945",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of enlistment,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,266139.0,RMESH CHAND,24-Feb-2022 02:54 PM,Rejected-Finance,Rejected being highest bidder,13-Mar-2022 02:20 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,265811.0,SHUBHAM THAKUR,24-Feb-2022 05:47 PM,Rejected-Finance,Rejected being highest bidder,13-Mar-2022 02:20 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid with name of bid duly attested from the competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
