S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,267610.0,Sureshkumar,INR,"1,586,389",Finance,BOQ summary detail attached,Arvind Lakhanpal,15-Mar-2022 04:23 PM,finance_86436.pdf,BOQ Comparative Chart,Technical,Technical Bid of the contractor attached,Arvind Lakhanpal,10-Mar-2022 11:36 AM,technical_86436.pdf,1.0,267907.0,RAKESH CHAND GOVT. CONTRACTOR,03-Mar-2022 08:00 PM,Rejected-Finance,L2,15-Mar-2022 04:28 PM,Executive Engineer Bhoranj Division,Internal,"Supdt. HDM, DAO AE",Arvind Lakhanpal,15-Mar-2022 04:28 PM,finsummary_86436.pdf (603.80 KB),26-Nov-2022,"INR 1,586,389",90.0,Arvind Lakhanpal,26-Nov-2022 10:17 AM,14845.pdf (859.00 KB),Work awarded to Sh. Suresh Kumar vide this office letter No. 14845-51 dt. 14.03.2022. Agreement No. 378 for 2021-22,PWD,2022_PWD_57138_1,C.O Link road Kakrot to Bhour via Badehar in GP Ba,C.O Link road Kakrot to Bhour via Badehar in GP Badehar Km. 0.0 to 1.600 SH C.O R.wall at RD 0.560 to 0.573 and 0.592 to 0.680 and CC pavement at RD 0.00 to 0.090,Executive Engineer Bhoranj Division HPPWD Bhoranj,Internal,Supdt. DAO. HDM AE,Arvind Lakhanpal,10-Mar-2022 11:40 AM,10-Mar-2022 01:00 PM,techsummary_86436.pdf (966.57 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form.,Executive Engineer Bhoranj Division HP.PWD. Bhoran,Executive Engineer Bhoranj Division HP.PWD. Bhoranj,C.O Link road Kakrot to Bhour via Badehar in GP Badehar Km. 0.0 to 1.600 SH C.O R.wall at RD 0.560 to 0.573 and 0.592 to 0.680 and CC pavement at RD 0.00 to 0.090,C.O Link road Kakrot to Bhour via Badehar in GP Badehar Km. 0.0 to 1.600 SH C.O R.wall at RD 0.560 to 0.573 and 0.592 to 0.680 and CC pavement at RD 0.00 to 0.090,Please refer Tender documents. ,NA ,"16,74,650",Civil Works - Roads,NA ,Tender,75.0,90.0,Bhoranj,176045.0,NA ,NA ,NA ,Executive Engineer Bhoranj Division HP.PWD. Bhoran,No ,No,500.0,Nil,Nil,Yes,"33,000",Yes,fixed,,Nil,Nil,26-Feb-2022 05:00 PM,04-Mar-2022 11:30 AM,26-Feb-2022 05:00 PM,04-Mar-2022 10:30 AM,NA ,NA ,26-Feb-2022 05:00 PM,04-Mar-2022 10:30 AM,10-Mar-2022 01:00 PM,1.0,ICICI BANK,PWD,C.O Link road Kakrot to Bhour via Badehar in GP Ba,2022_PWD_57138_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2.0,267610.0,Sureshkumar,03-Mar-2022 03:42 PM,Accepted-AOC,1st lowest,26-Nov-2022 10:17 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor Registration REFER GENERAL RULES NO 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Registration - REFER HPPWD-6 16(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Labour License,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Permanent Account Number (PAN No.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Employees Provident Fund Number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Detail and Proof of, Mandatory Machinery Tool and Plant as per Schedule F (Clause18 of GCC )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
