EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"22,500",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Construction of Patta Awah Devi link road to village Dammuie Km. 0.0 to 1.400 SH C.O submersible cause vented pipe cause way at RD 1.385 Over Kunah Khad Under SCSP,Construction of Patta Awah Devi link road to village Dammuie Km. 0.0 to 1.400 SH C.O submersible cause vented pipe cause way at RD 1.385 Over Kunah Khad Under SCSP,Please refer Tender documents. ,NA ,"11,10,827",Civil Works - Roads,NA ,Tender,75.0,90.0,Bhoranj,176045.0,NA ,NA ,NA ,Bhoranj,No ,No,25-May-2022 03:00 PM,31-May-2022 11:30 AM,25-May-2022 03:00 PM,31-May-2022 10:30 AM,NA ,NA ,25-May-2022 03:00 PM,31-May-2022 10:30 AM,10-Jun-2022 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form.,500.0,Nil,Nil,Yes,Executive Engineer Bhoranj Division HP.PWD Bhoranj,Executive Engineer Bhoranj Division HP.PWD Bhoranj,PWD,letter No. 1228 dated 07-05-2022,2022_PWD_61061_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,"Executive Engineer Bhoranj Division, HP.PWD., Bhoranj",Internal,"Supdt.Gr.-II, HDM, DAO, A.E.Bhoranj Sub Division",Arvind Lakhanpal,08-Jun-2022 11:22 AM,10-Jun-2022 11:30 AM,techsummary_92166.pdf (1093.79 KB),PWD,2022_PWD_61061_1,letter No. 1228 dated 07-05-2022,Construction of Patta Awah Devi link road to village Dammuie Km. 0.0 to 1.400 SH C.O submersible cause vented pipe cause way at RD 1.385 Over Kunah Khad Under SCSP,26-Nov-2022,"INR 820,941",90.0,Arvind Lakhanpal,26-Nov-2022 02:54 PM,294247.pdf (887.00 KB),work awarded to Sh. Manu Pal vide this office letter No. 294-43 dt. 20.06.2022,Executive Engineer Bhoranj Division HP.PWD Bhoranj,Internal,"Supdt.Gr.-II, HDM, DAO, A.E.Bhoranj Sub Division",Arvind Lakhanpal,28-Jun-2022 12:15 PM,finsummary_92166.pdf (630.30 KB),1.0,284425.0,AMAN THAKUR GOVT CONTRACTOR,30-May-2022 04:16 PM,Rejected-Finance,Document attached,28-Jun-2022 12:15 PM,Technical,Technical bid attached,Arvind Lakhanpal,08-Jun-2022 11:16 AM,technical_92166.pdf,Finance,BOQ attached,Arvind Lakhanpal,28-Jun-2022 12:10 PM,finance_92166.pdf,BOQ Comparative Chart,1.0,284052.0,MANU PAL GOVT CONT,INR,"820,941",AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration REFER GENERAL RULES NO 20,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,284052.0,MANU PAL GOVT CONT,28-May-2022 05:04 PM,Accepted-AOC,1st lowest,26-Nov-2022 02:54 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration - REFER HPPWD-6 16(3).,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,284433.0,PRATEEK THAKUR GOVT CONTRACTOR,31-May-2022 09:47 AM,Rejected-Finance,Document attached,28-Jun-2022 12:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour License,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,284282.0,RAKESH KUMAR,28-May-2022 06:14 PM,Rejected-Finance,Document attached,28-Jun-2022 12:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN No.),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,284572.0,Sourav Thakur,31-May-2022 10:28 AM,Rejected-Finance,Document attached,28-Jun-2022 12:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail and Proof of, Mandatory Machinery Tool and Plant as per Schedule F (Clause18 of GCC )",,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 16,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
