S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,DD - Demand Draft,"Repair and maintenance of Medical Gas pipeline System and gas plant at Shri Lal Bahadur Shastri Govt. Medical College and Hospital, Nerchowk Distt Mandi HP Running operation for one year","Repair and maintenance of Medical Gas pipeline System and gas plant at Shri Lal Bahadur Shastri Govt. Medical College and Hospital, Nerchowk Distt Mandi HP Running operation for one year",please refer to bid document  ,NA ,"8,42,520",Electrical Works,NA ,Tender,75.0,365.0,Nerchowk,175008.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,350.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,"16,850",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,PWD,PW/MED/TA/NIT/ e-notice/21-22-4155-65 dt 28.08.21,2021_PWD_51917_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,06-Sep-2021 10:00 AM,13-Sep-2021 11:30 AM,06-Sep-2021 10:00 AM,13-Sep-2021 10:00 AM,NA ,NA ,06-Sep-2021 10:00 AM,13-Sep-2021 10:00 AM,18-Sep-2021 11:00 AM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,AOC,1.0,235262.0,AnKServices,11-Sep-2021 01:16 PM,Accepted-AOC,work awarded to M/s ANK Services being L1 firm,21-Nov-2022 01:07 PM,Technical,techsummary,Munish Bhopal,18-Sep-2021 10:35 AM,technical_77616.pdf,Finance,finsummary,Munish Bhopal,20-Sep-2021 11:28 AM,finance_77616.pdf,BOQ Comparative Chart,1.0,235262.0,AnKServices,INR,"838,680",PWD,2021_PWD_51917_1,PW/MED/TA/NIT/ e-notice/21-22-4155-65 dt 28.08.21,"Repair and maintenance of Medical Gas pipeline System and gas plant at Shri Lal Bahadur Shastri Govt. Medical College and Hospital, Nerchowk Distt Mandi HP Running operation for one year",Er Munish Bhopal EE,Internal,Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt Sh Manish Kumar Clerk,Munish Bhopal,18-Sep-2021 10:43 AM,18-Sep-2021 11:00 AM,techsummary_77616.pdf (365.99 KB),Er Munish Bhopal EE,Internal,Sh Jai Ram HDM Sh Chaman lal Sr Asstt Sh Manish Kumar Clerk,Munish Bhopal,20-Sep-2021 11:34 AM,finsummary_77616.pdf (311.05 KB),27-Oct-2021,"INR 842,520",365.0,Munish Bhopal,21-Nov-2022 01:06 PM,AOC.pdf (714.00 KB),work awarded to M/s ANK Services being L1 firm,AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OEM (Medical Gas pipeline system) / Authrorized agency of OEM,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,AOC,2.0,235342.0,ULTIMED SOLUTION,11-Sep-2021 02:03 PM,Rejected-Finance,Rejected being L2 firm/ contractor,20-Sep-2021 11:34 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt. Deptt / Board / PSU.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
