Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
24-May-2022,"INR 3,420,327",90.0,Manohar Lal Sharma,03-Nov-2022 04:58 PM,2353-58.pdf (298.00 KB),AMP Badhaghat to Kotla Road,EE,Internal,SupdtDHDSRDAOAE,Deepak Kapil,23-Apr-2022 03:37 PM,finsummary_89584.pdf (425.36 KB),ee,Internal,SupdtDHDSRDAOAE,Deepak Kapil,18-Apr-2022 03:44 PM,18-Apr-2022 04:15 PM,techsummary_89584.pdf (279.12 KB),PWD,2022_PWD_59165_1,AMPBadhaghatKotla,AMPBadhaghatKotla,Finance,financial evaluation,Deepak Kapil,23-Apr-2022 03:33 PM,finance_89584.pdf,BOQ Comparative Chart,1.0,277657.0,Pradeep Kumar,INR,"3,420,327",Technical,Techncialevaluation,Deepak Kapil,18-Apr-2022 03:43 PM,technical_89584.pdf,1.0,277684.0,Ajay Handa,15-Apr-2022 09:38 PM,Rejected-Finance,Return of emd,23-Apr-2022 03:37 PM,AOC,EE GHU Dvin HPPWD GHU,EE GHU Dvin HPPWD GHU,06-Apr-2022 03:00 PM,16-Apr-2022 11:00 AM,06-Apr-2022 03:00 PM,16-Apr-2022 10:00 AM,06-Apr-2022 03:00 PM ,16-Apr-2022 10:00 AM ,06-Apr-2022 03:00 PM,16-Apr-2022 10:00 AM,18-Apr-2022 04:15 PM,1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form and EM (Proforma of Schedules),AMPBadhaghatKotla,road work,Please refer Tender documents. ,NA ,"37,76,291",Civil Works,NA ,Tender,75.0,90.0,Ghumarwin,174021.0,EE GHU Dvin HPPWD GHU ,EE GHU Dvin HPPWD GHU ,13-Apr-2022 11:00 AM ,EE GHU Dvin HPPWD GHU,No ,No,PWD,AMPBadhaghatKotla,2022_PWD_59165_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"64,200",Yes,fixed,,Nil,Nil,"1,500",Nil,Nil,Yes,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,276446.0,Manohar Lal,15-Apr-2022 09:21 PM,Rejected-Finance,Return of emd,23-Apr-2022 03:37 PM,AOC,,,,,,,,,,,,2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,.pdf,Contr Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,277709.0,M/S SUKHDEV SHARMA CONTRACTOR,15-Apr-2022 06:57 PM,Rejected-Finance,Return of emd,23-Apr-2022 03:37 PM,AOC,,,,,,,,,,,,3,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,.pdf,"GST No ,Pan No. and EPF No(General Rules No.21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,277657.0,Pradeep Kumar,15-Apr-2022 10:17 PM,Accepted-AOC,Awarded,03-Nov-2022 05:01 PM,AOC,,,,,,,,,,,,4,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,.pdf,Work Done for last 05years and work in Hand Certi dully signed by concerned. Autho/EE (Gen. Rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,277152.0,S.S.Chauhans Construction Private Limted,15-Apr-2022 07:02 PM,Rejected-Finance,Return of emd,23-Apr-2022 03:37 PM,AOC,,,,,,,,,,,,5,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,.pdf,"List of Machinery, Tool, Plants and Laboratory Equipment etc. (as shown in Schedule-F with reference",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,276440.0,Surinder Pal,15-Apr-2022 08:38 PM,Rejected-Finance,Return of emd,23-Apr-2022 03:37 PM,AOC,,,,,,,,,,,,6,Certificate Details ,Partnership Deed ,Partnership Deed ,,,,.pdf,"Form 7, 8 dully signed by Contractor with seal (Refer schedule A to F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,Certificate Details ,Labour License ,Labour License ,,,,.pdf,Original documents before scheduled time of opening time of technical bids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,Certificate Details ,Power of Attorney ,Power of Attorney ,,,,.pdf,All GCC will be applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,.pdf,Any other documents as specified by the state in proforma of schedule BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,Financial Details ,Annual Turn Over Details ,Annual Turn Over Details ,HP_Turnover.xls,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
