Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
01-Jul-2022 10:00 AM,07-Jul-2022 11:00 AM,01-Jul-2022 10:30 AM,07-Jul-2022 09:00 AM,NA ,NA ,01-Jul-2022 10:30 AM,07-Jul-2022 09:00 AM,31-Aug-2022 10:00 AM,1.0,ICICI BANK,"Job 1 Improvement and widening and Construction of link road from NMT road to Mohlla Brahmna, Harizan Mohalla to Shamshanghat in Village Bharolian Khurd and from Una Santokhgarh road to Shamshanghat Jankour to Sunehra Bridge via Saini Mohalla from","Job 1 Improvement and widening and Construction of link road from NMT road to Mohlla Brahmna, Harizan Mohalla to Shamshanghat in Village Bharolian Khurd and from Una Santokhgarh road to Shamshanghat Jankour to Sunehra Bridge via Saini Mohalla fro",Please refer to Bidding Documents ,NA ,"2,11,93,065",Civil Works - Roads,NA ,Tender,75.0,365.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,"4,24,000",No,fixed,,Nil,Nil,PWD,Job 1 Improvement and widening and Construction of,2022_PWD_62316_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,"5,000",Nil,Nil,No,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",AOC,PWD,2022_PWD_62316_1,Job 1 Improvement and widening and Construction of,"Job 1 Improvement and widening and Construction of link road from NMT road to Mohlla Brahmna, Harizan Mohalla to Shamshanghat in Village Bharolian Khurd and from Una Santokhgarh road to Shamshanghat Jankour to Sunehra Bridge via Saini Mohalla from","Er. G.S. Rana, SE Una",Internal,"Er. S.P. Dhiman EE Una, Er. Deepak Sharma AE D, Amit Singh DAO Una Ram Lal Kalsi Supdt. Gr-I, Circle Una Sugreev Kumar Supdt. Gr-II",Arvind Chaudhary,30-Aug-2022 10:35 AM,31-Aug-2022 10:00 AM,techsummary_93979.pdf (2468.94 KB),"Er.S.P. Dhinan, EE",Internal,"Er. Kuldeep Singh AE to EE Amit Singh DAO Harish Chander Sharma Head Draughtsman, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Arvind Chaudhary,09-Sep-2022 05:26 PM,finsummary_93979.pdf (4380.63 KB),11-Oct-2022,"INR 21,193,065",365.0,Arvind Chaudhary,19-Nov-2022 04:11 PM,Awardletter.pdf (1183.00 KB),Work awarded to contractor vide T/O letter No. 12906-15 dt. 11.10.2022,Finance,Proceedingregardingopeningoffinancialbids,Arvind Chaudhary,09-Sep-2022 04:50 PM,finance_93979.pdf,BOQ Comparative Chart,1.0,289516.0,M/S R.R.Builders,INR,"15,128,000",1.0,290097.0,Ashok Kumar,06-Jul-2022 10:41 AM,Rejected-Technical,As per Evaluation Bids,30-Aug-2022 10:35 AM,Technical,Bids List,Rajesh Kumar,08-Jul-2022 11:27 AM,technical_93979.pdf,AOC
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money through online,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,290094.0,Ashwani Kumar Govt Contractor,06-Jul-2022 02:28 PM,Rejected-Finance,Not L-1,09-Sep-2022 05:26 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration with validity,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,290172.0,B T Construction Company,06-Jul-2022 03:52 PM,Rejected-Finance,Not L-1,09-Sep-2022 05:26 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and copy of the latest return filed.,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,290338.0,ganesh,07-Jul-2022 01:29 AM,Rejected-Finance,Not L-1,09-Sep-2022 05:26 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,289516.0,M/S R.R.Builders,06-Jul-2022 03:41 PM,Accepted-AOC,ok,19-Nov-2022 04:12 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/ C.A. Annual Report as per Clause 4.6,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,289911.0,Prakash Chand,06-Jul-2022 10:13 PM,Rejected-Technical,As per Evaluation Bids,30-Aug-2022 10:35 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Experience in works of a similar nature and size for each of the last five years, and details of wor",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,290244.0,SS CONSTRUCTION COMPANY,06-Jul-2022 11:44 PM,Rejected-Finance,Not L-1,09-Sep-2022 05:26 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Evidence of ownership of major items of construction equipment named in Clause 4.4B (b) (i) of ITB o,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,289628.0,SUBHASH CHAND,06-Jul-2022 11:21 AM,Rejected-Finance,As per decision by the worthy SE Una,09-Sep-2022 05:26 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Details of the technical personnel proposed to be employed for the Contract having the qualification,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Reports on the financial standing of the Bidder, such as profit and loss statements and auditos re",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
