Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
"Chief Engineer,(EAP)PWRD,Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer,CE,PWRD(Roads),Assam",Pallavi Chakravorty,11-Oct-2022 08:04 PM,12-Oct-2022 02:30 PM,techsummary_39495.pdf (172.82 KB),1,150935,Animesh Brahma,24-Jun-2022 01:32 PM,Rejected-Technical,As per decision of Bid Evaluation Committee,11-Oct-2022 08:04 PM,Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders,2022_PWRDW_25569_7,CE/APART/49/2022/14,Road from Milmilpara and ends at Joregaon to Kauniabhasa Bhatiapara road of Kauniabhasa Bhatipara village in Kokrajhar District,Finance,Financial Bids has been opened,Sanjita Bodo,12-Oct-2022 04:43 PM,,BOQ Comparative Chart,Technical,Technical Bids has been opened,Pallavi Chakravorty,25-Jun-2022 04:46 PM,,AOC,1.0,Fee/PreQual/Technical,.pdf,EMD,18-May-2022 09:00 AM,24-Jun-2022 02:30 PM,18-May-2022 09:00 AM,24-Jun-2022 02:00 PM,18-May-2022 09:00 AM ,30-May-2022 11:00 AM ,18-May-2022 09:00 AM,24-Jun-2022 02:00 PM,12-Oct-2022 02:30 PM,1.0,SBI Bank,Road from Milmilpara and ends at Joregaon to Kauniabhasa Bhatiapara road of Kauniabhasa Bhatipara village in Kokrajhar District,APART/NOCP/ROADS/KOK-05 Construction of road from Milmilpara and ends at Joregaon to Kauniabhasa Bhatiapara road of Kauniabhasa Bhatipara village Dokra Dehi in Kokrajhar District (length 1.5 KM) under APART,Please refer Tender documents. ,NA ,"2,19,64,000",Civil Works – Roads,NA ,Tender,90.0,270.0,Kokrajhar District,783369.0,"O/o The Chief Engineer,(EAP) PWRD,Assam ","O/o The Chief Engineer,(EAP) PWRD,Assam Fatasil Ambari,Guwahati- 781025 ",30-May-2022 11:00 AM ,"O/o The Chief Engineer,(EAP) PWRD,Assam",No ,No,"4,000",Nil,Nil,No,1.0,Corrigendum 1,Date,,"4,39,280",Yes,fixed,,Nil,Nil,Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders,CE/APART/49/2022/14,2022_PWRDW_25569_7,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,"Chief Engineer,(EAP) PWRD,Assam","O/o The Chief Engineer,(EAP) PWRD,Assam Fatasil Ambari,Guwahati- 781025",AOC
,,,,,,,2,150913,Gul kr Wary,16-Jun-2022 11:50 PM,Rejected-Technical,As per decision of Bid Evaluation Committee,11-Oct-2022 08:04 PM,,,,,,,,,,,,,,,,AOC,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,3,150434,Indrajit Basumatary,16-Jun-2022 04:50 PM,Rejected-Finance,Rejected as L2,18-Nov-2022 05:57 PM,,,,,,,,,,,,,,,,AOC,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,4,150722,Marjit Basumatary,24-Jun-2022 01:11 PM,Rejected-Finance,Rejected as L4,18-Nov-2022 05:57 PM,,,,,,,,,,,,,,,,AOC,,,.pdf,Letter of Bid (Technical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,5,150856,M/s Macrocosm Builders,17-Jun-2022 12:24 PM,Rejected-Finance,Rejected as L5,18-Nov-2022 05:57 PM,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,6,150250,PADMAVATI CONSTRUCTION,23-Jun-2022 09:07 PM,Rejected-Finance,Rejected as L6,18-Nov-2022 05:57 PM,,,,,,,,,,,,,,,,AOC,,,.pdf,Letter of Bid (Financial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,7,148873,Prasanta Dey,16-Jun-2022 07:14 PM,Rejected-Finance,Rejected as L3,18-Nov-2022 05:57 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,8,150920,Priyashi Aashi Developers Pvt. Ltd.,17-Jun-2022 11:47 AM,Rejected-Technical,As per decision of Bid Evaluation Committee,11-Oct-2022 08:04 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,9,150670,RAJU CHANDRA BASUMATARY,24-Jun-2022 09:45 AM,Rejected-Finance,Rejected as L7,18-Nov-2022 05:57 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,10,150870,SURAJIT BRAHMA,16-Jun-2022 08:46 PM,Rejected-Technical,As per decision of Bid Evaluation Committee,11-Oct-2022 08:04 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
