Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
18-May-2021,"INR 823,500",90.0,Munish Bhopal,21-Nov-2022 11:52 AM,AOC.pdf (674.00 KB),WORK AWARDED TO L1 FIRM M/S SHARMA ELECT AND ELECTRONICS CO,Er D S Patial,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Kapil Soni Sr Asstt,Dalip singh Patial,17-Aug-2020 05:58 PM,finsummary_58231.pdf (356.67 KB),ER D S Patial EE,Internal,Smt Karuna Sharma Supdt Sh Jai Ram HDM Sh Kapil Soni Sr Asstt,Dalip singh Patial,17-Aug-2020 04:24 PM,17-Aug-2020 04:30 PM,techsummary_58231.pdf (447.36 KB),PWD,2020_PWD_39440_1,PW/MED/TA/NIT/ e-notice/20-21-1783-89 dt 18.07.20,"Servicing and washing of Cooling and Heating Coil in AHU and FCU at Shri Lal Bahadur Shastri Govt. Medical College and Hospital, Nerchowk District Mandi HP",Technical,Technical bid summary,Dalip singh Patial,17-Aug-2020 04:17 PM,technical_58231.pdf,1.0,172433.0,CHILL POINT ENGINEERS PVT LTD,10-Aug-2020 03:47 PM,Rejected-Technical,bid non responsive and disqualified,17-Aug-2020 04:25 PM,Finance,Financial bid summary,Dalip singh Patial,17-Aug-2020 05:46 PM,finance_58231.pdf,BOQ Comparative Chart,1.0,172540.0,SHARMA ELECTRICAL AND ELECTRONIC CO.,INR,"537,500",AOC,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,","16,500",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",1.0,corrigendum,Date,,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"Servicing and washing of Cooling and Heating Coil in AHU and FCU at Shri Lal Bahadur Shastri Govt. Medical College and Hospital, Nerchowk District Mandi HP","Servicing and washing of Cooling and Heating Coil in AHU and FCU at Shri Lal Bahadur Shastri Govt. Medical College and Hospital, Nerchowk District Mandi HP",Please refer to bid document ,NA ,"8,23,500",Electrical Works,NA ,Tender,75.0,90.0,Nerchowk,175008.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,1.0,ICICI BANK,350.0,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,PWD,PW/MED/TA/NIT/ e-notice/20-21-1783-89 dt 18.07.20,2020_PWD_39440_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,03-Aug-2020 10:00 AM,14-Aug-2020 11:30 AM,03-Aug-2020 10:00 AM,13-Aug-2020 06:00 PM,NA ,NA ,03-Aug-2020 10:00 AM,13-Aug-2020 06:00 PM,17-Aug-2020 04:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,171995.0,modern cooling solution,07-Aug-2020 03:43 PM,Rejected-Finance,Rejected being L2 firm,17-Aug-2020 05:58 PM,,,,,,,,,,,,AOC,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,172645.0,REVOLUTION,11-Aug-2020 01:28 PM,Rejected-Finance,Rejected being L3 firm,17-Aug-2020 05:58 PM,,,,,,,,,,,,AOC,,,.pdf,Approved OEM of VRV/ HVAC System or auth agency of apprd OEM or apprd firm for executing specl job,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,172540.0,SHARMA ELECTRICAL AND ELECTRONIC CO.,12-Aug-2020 03:25 PM,Accepted-AOC,WORK AWARDED BEING L1 FIRM,21-Nov-2022 11:52 AM,,,,,,,,,,,,AOC,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,172534.0,SHARMA ELECTRICAL CO.,10-Aug-2020 06:19 PM,Rejected-Technical,bid non responsive and disqualified,17-Aug-2020 04:25 PM,,,,,,,,,,,,AOC,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Attested copies of similar work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
