S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
1.0,294792.0,sonu,INR,"477,582",Finance,Summary,Dinesh Kumar Dhiman,02-Nov-2022 01:10 PM,finance_95427.pdf,BOQ Comparative Chart,Technical,Summary,Dinesh Kumar Dhiman,02-Sep-2022 10:52 AM,technical_95427.pdf,1.0,294681.0,Parveen Kumar,10-Aug-2022 12:53 PM,Rejected-Finance,Highest bidder,02-Nov-2022 01:14 PM,EE Dehra,Internal,"HDM,Supdt,DAO",Dinesh Kumar Dhiman,02-Nov-2022 01:14 PM,finsummary_95427.pdf (151.12 KB),02-Nov-2022,"INR 592,336",30.0,Dinesh Kumar Dhiman,02-Nov-2022 01:22 PM,Award63202_5.pdf (751.00 KB),Work award issued,PWD,2022_PWD_63202_5,EE Dehra Letter No.4207-11 dt. 12.07.2022,C/o link road Thill to Kandi road in Km. 0/00 to 2/500,EE Dehra,Internal,"HDM,Supdt,DAO",Dinesh Kumar Dhiman,02-Sep-2022 11:30 AM,02-Sep-2022 12:00 PM,techsummary_95427.pdf (652.28 KB),AOC,Executive Engineer,HPPWD Division Dehra,PWD,EE Dehra Letter No.4207-11 dt. 12.07.2022,2022_PWD_63202_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"12,000",No,fixed,,Nil,Nil,350.0,Nil,Nil,Yes,1.0,ICICI BANK,04-Aug-2022 10:00 AM,11-Aug-2022 11:30 AM,04-Aug-2022 10:00 AM,10-Aug-2022 06:00 PM,NA ,NA ,04-Aug-2022 10:00 AM,10-Aug-2022 06:00 PM,02-Sep-2022 12:00 PM,C/o link road Thill to Kandi road in Km. 0/00 to 2/500,P/L CC Drain From RD 1/200 to 1/450,Please refer to tender documents ,NA ,"5,92,336",Civil Works,NA ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,EE HPPWD Division Dehra,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,AOC
,,,,,,,,,,,,,,,,2.0,294792.0,sonu,10-Aug-2022 11:43 AM,Accepted-AOC,L1,02-Nov-2022 01:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of enlistment,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration with copy of Return of previous FY,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of existing commentments under Dehra Division.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card with IT Return of previous FY,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF with return of previous FY,AOC
