Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
06-Oct-2022,"INR 844,170",30.0,Munish Bhopal,24-Nov-2022 11:52 AM,AOC.pdf (653.00 KB),work awarded to M/s Acoustic Media Solutions being L1 firm,Er Munish Bhopal EE,Internal,Supdt Sr Asstt JDM,Munish Bhopal,04-Oct-2022 03:36 PM,finsummary_96881.pdf (423.53 KB),Er Munish Bhopal EE,Internal,Sr Asstt Sr Asstt JDM,Munish Bhopal,24-Sep-2022 02:05 PM,24-Sep-2022 02:15 PM,techsummary_96881.pdf (435.76 KB),PWD,2022_PWD_64351_1,PW/MED/TA/NIT/ e-notice/22-23-4476-86 dt 24.08.22,Construction of Indoor Auditorium building at Kullu District Kullu SH Providing microphone and cables system therein,Technical,TECHSUMMARY,Munish Bhopal,24-Sep-2022 01:29 PM,technical_96881.pdf,1.0,299794.0,Acoustic Media Solutions,08-Sep-2022 06:05 PM,Accepted-AOC,work awarded to M/s Acoustic Media Solutions being L1 firm,24-Nov-2022 11:52 AM,1.0,299794.0,Acoustic Media Solutions,INR,"829,870",Finance,Summary,Suresh Kumar Dhiman,24-Sep-2022 06:19 PM,None,BOQ Comparative Chart,AOC,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,Construction of Indoor Auditorium building at Kullu District Kullu SH Providing microphone and cables system therein,Construction of Indoor Auditorium building at Kullu District Kullu SH Providing microphone and cables system therein,plz refer to bid doc and NIT ,NA ,"8,44,170",Electrical Works,NA ,Tender,75.0,30.0,KULLU,175101.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,350.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,"16,900",Yes,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,PWD,PW/MED/TA/NIT/ e-notice/22-23-4476-86 dt 24.08.22,2022_PWD_64351_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",03-Sep-2022 10:00 AM,09-Sep-2022 10:30 AM,03-Sep-2022 10:00 AM,09-Sep-2022 10:00 AM,NA ,NA ,03-Sep-2022 10:00 AM,09-Sep-2022 10:00 AM,24-Sep-2022 02:15 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,299913.0,MATRIX INTEGRATIONS,08-Sep-2022 06:54 PM,Rejected-Finance,rejected being L2 firm,04-Oct-2022 03:36 PM,,,,,,,,,,,,AOC,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,2.0,ICICI NEFT/RTGS,,,.pdf,Copy of Transmitter and cabling system as per approved make in BOQ or authorized agency of OEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,.pdf,Work done certificate as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,.pdf,Affidavit that never been blacklisted and info. being furnished with the bid is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
