Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Executive Engineer,"Theog Diivision, H.P.P.W.D. Theog","15,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,28-Sep-2022 05:00 PM,07-Oct-2022 11:00 AM,28-Sep-2022 05:00 PM,06-Oct-2022 05:00 PM,NA ,NA ,28-Sep-2022 05:00 PM,06-Oct-2022 05:00 PM,12-Oct-2022 10:00 AM,PWD,THD/CB/Tender/2022-8390-8409,2022_PWD_65649_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,Restoration of rain damages on Matiana Moharu via Kalzar road km 0.00 to 16.00,Construction of Breast wall at RD 13.990 to 14.030,As per GCC ,NA ,"7,62,820",Civil Works - Roads,NA ,Tender,60.0,30.0,Theog Tehsil Theog Distt. Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,AOC,1.0,306517.0,Kuldeep Singh,06-Oct-2022 12:19 PM,Rejected-Technical,Technically non responsive,11-Oct-2022 03:38 PM,Technical,Bid Opening summary,Ravi Bhatti,10-Oct-2022 04:45 PM,technical_98821.pdf,1.0,306475.0,Sunil Chandel,INR,"769,650",Finance,Finncial Bid Opening summary,Ravi Bhatti,13-Oct-2022 09:43 AM,finance_98821.pdf,BOQ Comparative Chart,PWD,2022_PWD_65649_2,THD/CB/Tender/2022-8390-8409,Restoration of rain damages on Matiana Moharu via Kalzar road km 0.00 to 16.00,"Er. Ravi Bhatti, Executive Engineer",Internal,"Hukm Singh Thakur, Head Draughtsman, Kewal Ram Beakta, Supdt. Gr-II, Leela Verma, Sr. Asstt.",Ravi Bhatti,11-Oct-2022 03:38 PM,12-Oct-2022 10:00 AM,techsummary_98821.pdf (632.94 KB),"Er. Ravi Bhatti, Executive Engineer",Internal,"Hukam Singh Thakur, Head D/man, Jia Lal Draughtsman",Ravi Bhatti,29-Oct-2022 01:31 PM,finsummary_98821.pdf (397.29 KB),29-Oct-2022,"INR 762,820",30.0,Ravi Bhatti,04-Nov-2022 09:41 AM,award.pdf (1569.00 KB),Award letter,AOC
,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,,,,,,,,,,,,,,,,,,,AOC,2.0,306480.0,Sandeep Chandel,06-Oct-2022 02:00 PM,Rejected-Finance,Being higher rates,29-Oct-2022 01:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,,,,,,,,,,,,,,,AOC,3.0,306475.0,Sunil Chandel,06-Oct-2022 01:35 PM,Accepted-AOC,L1,04-Nov-2022 09:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE.,,,,,,,,,,,,,,,,,,,AOC,4.0,306570.0,Surender,06-Oct-2022 02:20 PM,Rejected-Technical,Technically non resposnive,11-Oct-2022 03:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of documents,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
