S.No,Category,Sub Category,Sub Category Description,Format/File,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,500.0,"Executive Engineer, Electrical Division, HP.PWD M",MANDI hp,No,"Construction of PWD Rest House at Thunag Distt Mandi HP SH Providing SOP, Geyser , Main Panel, Chandelier, and Yard Lighting therein","Construction of PWD Rest House at Thunag Distt Mandi HP SH Providing SOP, Geyser , Main Panel, Chandelier, and Yard Lighting therein",PLZ REFER TO BID DOC ,NA ,,Electrical Works,NA ,Tender,75.0,120.0,THUNAG,175021.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,"39,750",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",1.0,ICICI BANK,PWD,PW/MED/TA/NIT/ e-notice/22-23-3895-05 dt 04.08.2,2022_PWD_63834_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,20-Aug-2022 10:00 AM,27-Aug-2022 11:00 AM,20-Aug-2022 10:00 AM,27-Aug-2022 10:00 AM,NA ,NA ,20-Aug-2022 10:00 AM,27-Aug-2022 10:00 AM,13-Oct-2022 04:00 PM,AOC,Er. Sanjay Kumar SE,Internal,EE Mandi EO Sr Asstt JDM,Munish Bhopal,13-Oct-2022 03:29 PM,13-Oct-2022 04:00 PM,techsummary_96177.pdf (776.83 KB),PWD,2022_PWD_63834_1,PW/MED/TA/NIT/ e-notice/22-23-3895-05 dt 04.08.2,"Construction of PWD Rest House at Thunag Distt Mandi HP SH Providing SOP, Geyser , Main Panel, Chandelier, and Yard Lighting therein",31-Oct-2022,"INR 2,148,950",150.0,Munish Bhopal,24-Nov-2022 11:32 AM,AOC.pdf (656.00 KB),work awarded to Sh. Sunil Kapoor being L1 contr,Er Munish Bhopal EE,Internal,Supdt Sr Asstt JDM,Munish Bhopal,15-Oct-2022 12:13 PM,finsummary_96177.pdf (450.04 KB),1.0,297043.0,Digvijay Sharma,24-Aug-2022 12:39 PM,Rejected-Finance,rejected being L2 contractor,15-Oct-2022 12:13 PM,Technical,Summary,Suresh Kumar Dhiman,24-Sep-2022 06:22 PM,None,1.0,297348.0,SUNIL KAPOOR,INR,"2,147,988",Finance,financial bid summary,Munish Bhopal,15-Oct-2022 11:11 AM,finance_96177.pdf,BOQ Comparative Chart,AOC
2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Electrical contractor class A or B with valid electrical license,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,297322.0,LAL SINGH CONTRACTOR,24-Aug-2022 03:58 PM,Rejected-Finance,rejected being L3 contractor,15-Oct-2022 12:13 PM,,,,,,,,,,,,,,,,,AOC
3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,297201.0,RAJNEESH THAKUR,23-Aug-2022 05:23 PM,Not Admitted-Fee/PreQual/Technical,Others-Tender documents with cost of tender and EMD not submitted,24-Sep-2022 06:22 PM,,,,,,,,,,,,,,,,,AOC
4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,297348.0,SUNIL KAPOOR,24-Aug-2022 01:37 PM,Accepted-AOC,work awarded being L1 contr,24-Nov-2022 11:32 AM,,,,,,,,,,,,,,,,,AOC
5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that never been blacklisted and information being furnished with the bid is true and corr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder address with valid email id and contact numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
