S.No,Bank Name,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,ICICI BANK,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,07-Mar-2022 10:00 AM,14-Mar-2022 11:30 AM,07-Mar-2022 10:00 AM,14-Mar-2022 10:00 AM,NA ,NA ,07-Mar-2022 10:00 AM,14-Mar-2022 10:00 AM,14-Mar-2022 03:30 PM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,350.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi","Providing Yard Lighting in Meeting Hall in the campus at Circuit House, Mandi District Mandi HP","Providing Yard Lighting in Meeting Hall in the campus at Circuit House, Mandi District Mandi HP",PLZ REFER TO BID DOCUMENT ,NA ,"9,70,450",Electrical Works,NA ,Tender,75.0,60.0,Mandi,175001.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,"19,450",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,PWD,PW/MED/TA/NIT/ e-notice/21-22-9312-17 dt 26.02.22,2022_PWD_57415_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC,1.0,268987.0,BHARAT BHUSHAN SHARMA,10-Mar-2022 12:52 PM,Rejected-Finance,REJECTED BEING L2 CONTRACTOR,14-Mar-2022 05:11 PM,Technical,TECHSUMMARY,Munish Bhopal,14-Mar-2022 03:07 PM,technical_86652.pdf,1.0,268962.0,LAL SINGH CONTRACTOR,INR,"991,000",Finance,FINSUMMARY,Munish Bhopal,14-Mar-2022 05:06 PM,finance_86652.pdf,BOQ Comparative Chart,PWD,2022_PWD_57415_1,PW/MED/TA/NIT/ e-notice/21-22-9312-17 dt 26.02.22,"Providing Yard Lighting in Meeting Hall in the campus at Circuit House, Mandi District Mandi HP",ER MUNISH BHOPAL EE,Internal,HDM SR ASSTT SR ASSTT,Munish Bhopal,14-Mar-2022 03:11 PM,14-Mar-2022 03:30 PM,techsummary_86652.pdf (354.95 KB),ER MUNISH BHOPAL EE,Internal,HDM SR ASSTT SR ASSTT,Munish Bhopal,14-Mar-2022 05:11 PM,finsummary_86652.pdf (302.83 KB),19-Mar-2022,"INR 991,000",60.0,Munish Bhopal,21-Nov-2022 11:44 AM,AOC.pdf (631.00 KB),WORK AWARDED TO SH LAL SINGH BEING L1 CONTRACTOR,AOC
2.0,ICICI NEFT/RTGS,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,.pdf,Contractor registration Class B or C (Elect) in HPPWD with valid Elect license,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,268962.0,LAL SINGH CONTRACTOR,10-Mar-2022 11:29 AM,Accepted-AOC,WORK AWARDED BEING L1 CONTR,21-Nov-2022 11:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,268667.0,Mahesh Electrical And Electronich,09-Mar-2022 08:02 AM,Rejected-Technical,BID RESPONSIVE BUT DISQUALIFIED,14-Mar-2022 03:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt. Deptt / Board / PSU.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
