S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,"36,350",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,16-Jun-2021 10:00 AM,23-Jun-2021 11:30 AM,16-Jun-2021 10:00 AM,23-Jun-2021 10:00 AM,NA ,NA ,16-Jun-2021 10:00 AM,23-Jun-2021 10:00 AM,03-Sep-2021 12:25 PM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,500.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,"Construction of Mini Secretariat Building at Killar, District Chamba HP SH Providing EI therein","Construction of Mini Secretariat Building at Killar, District Chamba HP SH Providing EI therein",Please refer to bid document ,NA ,,Electrical Works,NA ,Tender,75.0,365.0,Killar,176323.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,PWD,PW/MED/TA/NIT/ e-notice/21-22-1463-73 dt 31.05.21,2021_PWD_48566_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",AOC,Er Sanjay Kumar SE,Internal,Sh RS Rana EE Design Sh Munish Bhopal EE Mandi Sh Sachin Thakur EO Smt Shakuntla Verma Supdt,Suresh Kumar Dhiman,03-Sep-2021 12:19 PM,03-Sep-2021 12:25 PM,techsummary_72809.pdf (650.58 KB),PWD,2021_PWD_48566_1,PW/MED/TA/NIT/ e-notice/21-22-1463-73 dt 31.05.21,"Construction of Mini Secretariat Building at Killar, District Chamba HP SH Providing EI therein",03-Feb-2022,"INR 1,923,158",365.0,Munish Bhopal,21-Nov-2022 04:03 PM,AOC.pdf (704.00 KB),work awarded to Sh Satish Kumar sharma being L1 contr,Er Munish Bhopal EE,Internal,Sh Jai Ram HDM Sh. Johan Gupta Supdt Sh Kapil Soni Sr Asstt,Suresh Kumar Dhiman,04-Sep-2021 11:31 AM,finsummary_72809.pdf (319.65 KB),1.0,218615.0,ARUN KUMAR SHARMA,23-Jun-2021 09:08 AM,Not Admitted-Fee/PreQual/Technical,Others-tender documents have not submitted physically,03-Sep-2021 12:17 PM,Technical,tech summary,Suresh Kumar Dhiman,03-Sep-2021 12:17 PM,technical_72809.pdf,1.0,218157.0,SATISH KUMAR SHARMA,INR,"2,014,839",Finance,FIN,Suresh Kumar Dhiman,04-Sep-2021 11:16 AM,finance_72809.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,.pdf,Contractor registration Class A or B (Elect) in HPPWD with valid Elect license,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,218008.0,Digvijay Sharma,19-Jun-2021 02:25 PM,Rejected-Finance,Rejected being L2 contractor,04-Sep-2021 11:31 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,218611.0,NITIN PROP A VIGHNA ELECTRICALS,23-Jun-2021 07:45 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Sep-2021 12:17 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,218157.0,SATISH KUMAR SHARMA,22-Jun-2021 07:19 PM,Accepted-AOC,work awarded to Sh Satish Kumar sharma being L1 contr,21-Nov-2022 04:03 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt Deptt / Board / PSU.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
