Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"Construction of Science lab at Government Senior Secondary school at Baroti, Tehsil Dharmpur, District Mandi HP SH Providing EI therein","Construction of Science lab at Government Senior Secondary school at Baroti, Tehsil Dharmpur, District Mandi HP SH Providing EI therein",please refer to bid document ,NA ,"6,78,928",Electrical Works,NA ,Tender,75.0,365.0,Baroti,175040.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,"13,600",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,PWD,PW/MED/TA/NIT/ e-notice/21-22-4155-65 dt 28.08.21,2021_PWD_51932_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",06-Sep-2021 10:00 AM,13-Sep-2021 11:30 AM,06-Sep-2021 10:00 AM,13-Sep-2021 10:00 AM,NA ,NA ,06-Sep-2021 10:00 AM,13-Sep-2021 10:00 AM,18-Sep-2021 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,350.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,1.0,DD - Demand Draft,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,AOC,1.0,235242.0,LAL SINGH CONTRACTOR,INR,"696,220",Finance,finsummary,Munish Bhopal,20-Sep-2021 11:29 AM,finance_77625.pdf,BOQ Comparative Chart,1.0,235242.0,LAL SINGH CONTRACTOR,10-Sep-2021 12:23 PM,Accepted-AOC,work awarded to Sh. Lal Singh being L1 contr,24-Nov-2022 12:05 PM,Technical,techsummary,Munish Bhopal,18-Sep-2021 10:36 AM,technical_77625.pdf,Er Munish Bhopal EE,Internal,Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt Sh Manish Kumar Clerk,Munish Bhopal,18-Sep-2021 10:46 AM,18-Sep-2021 11:00 AM,techsummary_77625.pdf (351.32 KB),PWD,2021_PWD_51932_1,PW/MED/TA/NIT/ e-notice/21-22-4155-65 dt 28.08.21,"Construction of Science lab at Government Senior Secondary school at Baroti, Tehsil Dharmpur, District Mandi HP SH Providing EI therein",13-Oct-2022,"INR 678,928",365.0,Munish Bhopal,24-Nov-2022 12:05 PM,AOC.pdf (666.00 KB),work awarded to Sh. Lal Singh being L1 contr,Er Munish Bhopal EE,Internal,Sh Jai Ram HDM Sh Chaman lal Sr Asstt Sh Manish Kumar Clerk,Munish Bhopal,20-Sep-2021 11:37 AM,finsummary_77625.pdf (305.71 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration Class B or C (Elect) in HPPWD with valid Elect license,,,,,2.0,FDR - Fixed Deposit,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,AOC,,,,,,,,,,,,2.0,235356.0,Pawan Kumar,11-Sep-2021 03:07 PM,Rejected-Finance,Rejected being L2 firm/ contractor,20-Sep-2021 11:37 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt. Deptt / Board / PSU.,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
