Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,S.No.2,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
PWD,PW/MED/TA/NIT/ e-notice/22-23-4867-77 dt 03.09.22,2022_PWD_64756_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,ICICI BANK,1.0,CORRIGENDUM,Other,,"1,31,283",Yes,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,"2,000","Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER and EARNEST MONEY INDICATED IN SCHEDULE F,",12-Sep-2022 10:00 AM,19-Sep-2022 11:00 AM,12-Sep-2022 10:00 AM,19-Sep-2022 10:00 AM,NA ,NA ,12-Sep-2022 10:00 AM,19-Sep-2022 10:00 AM,12-Oct-2022 12:00 PM,"Construction of Accommodation for NDRF at Slapper, District Mandi HP SH Providing E.I therein","Construction of Accommodation for NDRF at Slapper, District Mandi HP SH Providing E.I therein",PLEASE REFER TO BID DOCUMENT ,NA ,"98,78,260",Electrical Works,NA ,Tender,75.0,365.0,SLAPPER,175017.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,AOC,1.0,301048.0,Bhardwaj Electrical Co.,18-Sep-2022 08:55 PM,Rejected-Technical,BID nonresponsive and DISQUALIFIED,12-Oct-2022 11:43 AM,Technical,Summary,Suresh Kumar Dhiman,24-Sep-2022 06:27 PM,None,Finance,fin summary,Munish Bhopal,15-Oct-2022 11:29 AM,finance_97460.pdf,BOQ Comparative Chart,1.0,301139.0,Rohtash Verma,INR,"10,192,450",PWD,2022_PWD_64756_1,PW/MED/TA/NIT/ e-notice/22-23-4867-77 dt 03.09.22,"Construction of Accommodation for NDRF at Slapper, District Mandi HP SH Providing E.I therein",Er Munish Bhopal EE,Internal,Supdt Sr Asstt JDM,Munish Bhopal,12-Oct-2022 11:43 AM,12-Oct-2022 12:00 PM,techsummary_97460.pdf (443.77 KB),Er Munish Bhopal EE,Internal,Supdt Sr Asstt JDM,Munish Bhopal,15-Oct-2022 12:02 PM,finsummary_97460.pdf (429.00 KB),31-Oct-2022,"INR 9,878,260",730.0,Munish Bhopal,24-Nov-2022 01:51 PM,AOC.pdf (799.00 KB),Work awarded to Sh. Rohtash verma being L1 Contractor,AOC
,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.pdf,Contractor enlistment in HPPWD Electrical Class A with valid electrical license,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,301651.0,Digvijay Sharma,17-Sep-2022 11:51 AM,Rejected-Finance,rejected being L3 contractor,15-Oct-2022 12:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,301950.0,D.S Ranta Electrical Contractor,17-Sep-2022 05:39 PM,Rejected-Finance,rejected being L2 contractor,15-Oct-2022 12:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,301721.0,Kalra Hardware and Electric Store,17-Sep-2022 04:08 PM,Rejected-Technical,BID nonresponsive and DISQUALIFIED,12-Oct-2022 11:43 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,301139.0,Rohtash Verma,17-Sep-2022 10:55 AM,Accepted-AOC,Work awarded to Sh. Rohtash verma being L1 Contractor,24-Nov-2022 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificates as per TQC,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6.0,301843.0,SHARMA ELECTRICAL CO.,17-Sep-2022 05:02 PM,Rejected-Technical,BID nonresponsive and DISQUALIFIED,12-Oct-2022 11:43 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder address format with valid email ID and contact numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that never been blacklisted and information furnished with the bid is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
