S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,270641.0,Mahesh Electrical And Electronich,INR,"995,448",Finance,finsummary,Munish Bhopal,29-Mar-2022 01:41 PM,finance_87385.pdf,BOQ Comparative Chart,Technical,TECHSUMMARY,Munish Bhopal,25-Mar-2022 11:46 AM,technical_87385.pdf,1.0,270844.0,LAL SINGH CONTRACTOR,18-Mar-2022 05:53 PM,Rejected-Finance,REJECTED BEING L2 CONTR,29-Mar-2022 01:47 PM,ER MUNISH BHOPAL EE,Internal,HDM SUPDT SR ASSTT,Munish Bhopal,29-Mar-2022 01:47 PM,finsummary_87385.pdf (335.12 KB),12-May-2022,"INR 996,852",365.0,Munish Bhopal,22-Nov-2022 10:34 AM,AOC.pdf (743.00 KB),work awarded to Sh. Maheshwar Singh Elect Contr being L1,PWD,2022_PWD_57866_1,PW/MED/TA/NIT/ e-notice/21-22-9668-73 dt 05.03.22,"Construction of Combined Office Building at Balichowki District Mandi HP SH Providing EI in Basement , Ground floor, 1st floor and 2nd floor therein",ER MUNISH BHOPAL EE,Internal,HDM SUPDT SR ASSTT,Munish Bhopal,25-Mar-2022 11:50 AM,25-Mar-2022 12:00 PM,techsummary_87385.pdf (369.89 KB),AOC,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,14-Mar-2022 10:00 AM,21-Mar-2022 11:30 AM,14-Mar-2022 10:00 AM,21-Mar-2022 10:00 AM,NA ,NA ,14-Mar-2022 10:00 AM,21-Mar-2022 10:00 AM,25-Mar-2022 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,PWD,PW/MED/TA/NIT/ e-notice/21-22-9668-73 dt 05.03.22,2022_PWD_57866_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",350.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,1.0,ICICI BANK,"19,950",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,"Construction of Combined Office Building at Balichowki District Mandi HP SH Providing EI in Basement , Ground floor, 1st floor and 2nd floor therein","Construction of Combined Office Building at Balichowki District Mandi HP SH Providing EI in Basement , Ground floor, 1st floor and 2nd floor therein",PLZ REFER TO BID DOC. ,NA ,"9,96,852",Electrical Works,NA ,Tender,75.0,365.0,Balichowki,175106.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,AOC
,,,,,,,,,,,,,,,,2.0,270641.0,Mahesh Electrical And Electronich,17-Mar-2022 01:23 PM,Accepted-AOC,work awarded being L1 contr.,22-Nov-2022 10:35 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,.pdf,Contractor registration Class B or C (Elect) in HPPWD with valid Elect license,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,270840.0,Rajesh Electrical Works,18-Mar-2022 05:38 PM,Rejected-Finance,REJECTED BEING L3 CONTR,29-Mar-2022 01:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt. Deptt / Board / PSU.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
