Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
11-Nov-2022,"INR 855,740",90.0,Tarlok Dhiman,11-Nov-2022 02:43 PM,Elakshi.pdf (328.00 KB),Smt. Elakshi Rustagi,Er. Sushil Kumar Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,13-Sep-2021 03:34 PM,finsummary_77247.pdf (174.21 KB),Er. Sushil Kumar Dhadwal,Internal,Members Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,08-Sep-2021 05:12 PM,08-Sep-2021 05:15 PM,techsummary_77247.pdf (892.41 KB),PWD,2021_PWD_51674_2,Dshala 3742-71,Modification of meeting hall 1st floor in Block - A at HP School board of Education at tehsil Dharamshala in Distt. Kangra HP (Deposit work),Technical,As per document attached,Tarlok Dhiman,03-Sep-2021 09:21 PM,technical_77247.pdf,1.0,233324.0,Anuj,02-Sep-2021 01:31 PM,Rejected-Finance,HIGHER BIDDER,13-Sep-2021 03:34 PM,1.0,233154.0,Elakshi Rustagi,INR,"855,740",Finance,As per document attached,Tarlok Dhiman,08-Sep-2021 05:40 PM,finance_77247.pdf,BOQ Comparative Chart,AOC,1.0,ICICI BANK,"16,500",No,fixed,,Nil,Nil,350.0,Nil,Nil,No,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,PWD,Dshala 3742-71,2021_PWD_51674_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,26-Aug-2021 10:00 AM,03-Sep-2021 11:00 AM,26-Aug-2021 10:00 AM,02-Sep-2021 05:00 PM,NA ,NA ,26-Aug-2021 10:00 AM,02-Sep-2021 05:00 PM,08-Sep-2021 05:15 PM,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment,Modification of meeting hall 1st floor in Block - A at HP School board of Education at tehsil Dharamshala in Distt. Kangra HP (Deposit work),"SH - Providing wooden panelling to Hall blinds/ curtain, chairs glazzed shutter painting etc.",Please refer Tender documents. ,NA ,"8,21,785",Civil Works,NA ,Tender,120.0,90.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,233154.0,Elakshi Rustagi,02-Sep-2021 01:00 PM,Accepted-AOC,L1,11-Nov-2022 02:43 PM,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,233135.0,Mohinder Singh,01-Sep-2021 04:43 PM,Rejected-Finance,HIGHER BIDDER,13-Sep-2021 03:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,233394.0,Sanjeev Kumar,02-Sep-2021 11:58 AM,Rejected-Finance,HIGHER BIDDER,13-Sep-2021 03:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand,,,,,,,,,,,,,,,,,,,AOC
