EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,S.No.2,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"65,450",No,fixed,,"Executive Engineer, Electrical Division, HP-PWD, M",Mandi HP,"Executive Engineer, Electrical Division, HP-PWD, M","Executive Engineer, Electrical Division, HP-PWD, Mandi HP","1,500","Executive Engineer, Electrical Division, HP-PWD, M",Mandi HP,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,PW/MED/TA/NIT/ e-notice/22-23-4867-77 dt 03.09.22,2022_PWD_64746_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,09-Sep-2022 01:45 PM,14-Sep-2022 02:00 PM,09-Sep-2022 01:45 PM,14-Sep-2022 02:00 PM,NA ,NA ,09-Sep-2022 01:45 PM,14-Sep-2022 02:00 PM,21-Sep-2022 02:40 PM,"Supplying, Installation, Testing and commissioning of Facade Lighting Audio for Hanogi cable stayed bridge at Mandi District Mandi HP","Supplying, Installation, Testing and commissioning of Facade Lighting Audio for Hanogi cable stayed bridge at Mandi District Mandi HP","plz refer to NIT, Office order and Bid document ",NA ,"38,62,515",Electrical Works,NA ,Tender,75.0,15.0,Hanogi,175035.0,NA ,NA ,NA ,"Electrical Division, HP-PWD, Mandi HP 175001",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,cost of tender and Earnest money,1.0,CORRIGENDUM,Other,,AOC,Er. Sanjay Kumar SE,Internal,EE MANDI EO SR ASSTT JDM,Munish Bhopal,21-Sep-2022 02:35 PM,21-Sep-2022 02:40 PM,techsummary_97453.pdf (811.48 KB),PWD,2022_PWD_64746_1,PW/MED/TA/NIT/ e-notice/22-23-4867-77 dt 03.09.22,"Supplying, Installation, Testing and commissioning of Facade Lighting Audio for Hanogi cable stayed bridge at Mandi District Mandi HP",10-Oct-2022,"INR 3,862,515",60.0,Munish Bhopal,22-Nov-2022 03:24 PM,AOC.pdf (669.00 KB),work awarded to M/s Vowels Technologies and services being L1 firm,Er Munish Bhopal EE,Internal,SUPDT SR ASSTT JDM,Munish Bhopal,23-Sep-2022 04:03 PM,finsummary_97453.pdf (409.34 KB),1.0,300793.0,Devisers India Engineers and Consultant Pvt Ltd,13-Sep-2022 02:15 PM,Rejected-Finance,REJECTED BEING L3 FIRM,23-Sep-2022 04:03 PM,Technical,TECHSUMMARY,Munish Bhopal,21-Sep-2022 02:33 PM,technical_97453.pdf,1.0,300619.0,Vowels Technology and Services,INR,"3,813,951",Finance,FINSUMMARY,Munish Bhopal,23-Sep-2022 04:01 PM,finance_97453.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,OEM (Facade lighting system) or authorized agency of OEM as per approved make in BOQ,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,300771.0,SURYA ROSHNI LIMITED,14-Sep-2022 01:32 PM,Rejected-Technical,BID NOT QUALIFIED,21-Sep-2022 02:35 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,300763.0,SYNERGY LIGHTING SOLUTIONS,13-Sep-2022 11:50 AM,Rejected-Finance,REJECTED BEING L2 FIRM,23-Sep-2022 04:03 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) GST and EPF No.,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,300619.0,Vowels Technology and Services,13-Sep-2022 01:25 PM,Accepted-AOC,work awarded to M/s Vowels Technologies and services being L1 firm,22-Nov-2022 03:25 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover during last 3 financial years as per TQC,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificates as per Technical qualification criteria (TQC),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being true and correct and never been blacklisted,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative in HPPWD Electrical,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,any other information,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
