Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Name,Address,Tender Stage
30-May-2022,"INR 807,962",365.0,Munish Bhopal,23-Nov-2022 11:46 AM,AOC.pdf (699.00 KB),work awarded to M/s Sharma Electrical Co being L1 firm,ER MUNISH BHOPAL EE,Internal,Sr Asstt Sr Asstt JDM,Munish Bhopal,16-Apr-2022 04:21 PM,finsummary_88737.pdf (314.69 KB),ER MUNISH BHOPAL EE,Internal,Supdt Sr Asstt JDM,Munish Bhopal,08-Apr-2022 04:01 PM,08-Apr-2022 04:15 PM,techsummary_88737.pdf (371.07 KB),PWD,2022_PWD_58676_1,PW/MED/TA/NIT/ e-notice/21-22-10572-81 dt 19.03.22,"Repair Maintenance and Contract for 6 Nos. Passenger Elevator Equipment No. 40235052, 40235053, 40235074, 40235083, 40235084, 40235093 installed at Shri Lal Bahadur Shastri Govt. Medical College and Hospital Nerchowk District Mandi HP",Technical,Technical bid summary,Munish Bhopal,08-Apr-2022 04:00 PM,technical_88737.pdf,1.0,274583.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,02-Apr-2022 09:45 AM,Rejected-Finance,rejected being L2 firm,16-Apr-2022 04:21 PM,1.0,274527.0,SHARMA ELECTRICAL CO.,INR,"840,840",Finance,financial bid summary,Munish Bhopal,16-Apr-2022 04:20 PM,finance_88737.pdf,BOQ Comparative Chart,AOC,PWD,PW/MED/TA/NIT/ e-notice/21-22-10572-81 dt 19.03.22,2022_PWD_58676_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,28-Mar-2022 10:00 AM,04-Apr-2022 11:30 AM,28-Mar-2022 10:00 AM,04-Apr-2022 10:00 AM,NA ,NA ,28-Mar-2022 10:00 AM,04-Apr-2022 10:00 AM,08-Apr-2022 04:15 PM,350.0,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,No,"Repair Maintenance and Contract for 6 Nos. Passenger Elevator Equipment No. 40235052, 40235053, 40235074, 40235083, 40235084, 40235093 installed at Shri Lal Bahadur Shastri Govt. Medical College and Hospital Nerchowk District Mandi HP","Repair Maintenance and Contract for 6 Nos. Passenger Elevator Equipment No. 40235052, 40235053, 40235074, 40235083, 40235084, 40235093 installed at Shri Lal Bahadur Shastri Govt. Medical College and Hospital Nerchowk District Mandi HP",REFER TO BID DOC ,NA ,"8,07,962",Electrical Works,NA ,Tender,75.0,365.0,NERCHOWK,175008.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,"16,200",No,fixed,,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER and EARNEST MONEY INDICATED IN SCHEDULE F,",1.0,ICICI BANK,Executive Engineer Electrical Division HPPWD Mand,Executive Engineer Electrical Division HPPWD Mandi,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,274527.0,SHARMA ELECTRICAL CO.,02-Apr-2022 09:36 AM,Accepted-AOC,work awarded to M/s Sharma Electrical Co being L1 firm,23-Nov-2022 11:46 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OEM (Lift) or authorized agency of OEM (Lift) as per TQC,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES NO,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not been blacklisted and that infor. furnished with the bid is true and correct,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates past 5 yrs as per Technical qualification criteria (see,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC
