S.No,Bank Name,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,500.0,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,No,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER and EARNEST MONEY INDICATED IN SCHEDULE F,",28-Mar-2022 10:00 AM,04-Apr-2022 11:30 AM,28-Mar-2022 10:00 AM,04-Apr-2022 10:00 AM,NA ,NA ,28-Mar-2022 10:00 AM,04-Apr-2022 10:00 AM,08-Apr-2022 04:15 PM,Executive Engineer Electrical Division HPPWD Mand,Executive Engineer Electrical Division HPPWD Mandi,PWD,PW/MED/TA/NIT/ e-notice/21-22-10572-81 dt 19.03.22,2022_PWD_58669_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"20,000",No,fixed,,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,"Construction of Rest House at Thunag, District Mandi HP SH Providing wiring in VIP Suit and LED Cob light therein","Construction of Rest House at Thunag, District Mandi HP SH Providing wiring in VIP Suit and LED Cob light therein",PLZ REFER TO BID DOC ,NA ,"10,00,001",Electrical Works,NA ,Tender,75.0,365.0,THUNAG,175048.0,NA ,NA ,NA ,Electrical Division HPPWD Mandi H.P,No ,No,AOC,ER MUNISH BHOPAL EE,Internal,SUPDT SR ASSTT JDM,Munish Bhopal,08-Apr-2022 04:04 PM,08-Apr-2022 04:15 PM,techsummary_88729.pdf (349.91 KB),PWD,2022_PWD_58669_1,PW/MED/TA/NIT/ e-notice/21-22-10572-81 dt 19.03.22,"Construction of Rest House at Thunag, District Mandi HP SH Providing wiring in VIP Suit and LED Cob light therein",28-Apr-2022,"INR 1,000,001",365.0,Munish Bhopal,22-Nov-2022 04:42 PM,AOC.pdf (682.00 KB),work awarded to Sh Sunil Kapoor being L1 Elect Contr,ER MUNISH BHOPAL EE,Internal,Sr Asstt Sr Asstt JDM,Munish Bhopal,16-Apr-2022 04:26 PM,finsummary_88729.pdf (306.42 KB),1.0,273843.0,DHARMENDER SINGH,29-Mar-2022 06:57 PM,Rejected-Finance,rejected being L2 contr,16-Apr-2022 04:26 PM,Technical,Technical bid summary,Munish Bhopal,08-Apr-2022 03:58 PM,technical_88729.pdf,Finance,financial bid summary,Munish Bhopal,16-Apr-2022 04:18 PM,finance_88729.pdf,BOQ Comparative Chart,1.0,274027.0,SUNIL KAPOOR,INR,"1,003,865",AOC
2.0,ICICI NEFT/RTGS,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,.pdf,Valid CONTRACTOR REGISTRATION (Electrical) in appropriate Class A OR B with valid elect license,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,273482.0,Digvijay Sharma,29-Mar-2022 01:22 PM,Rejected-Finance,rejected being L3 contr,16-Apr-2022 04:26 PM,,,,,,,,,,,,,,,,,AOC
,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,274027.0,SUNIL KAPOOR,30-Mar-2022 06:53 PM,Accepted-AOC,work awarded to Sh Sunil Kapoor being L1 Elect Contr,22-Nov-2022 04:42 PM,,,,,,,,,,,,,,,,,AOC
,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,.pdf,Affidavit regarding not been blacklisted and that infor. furnished with the bid is true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,WORK IN HAND DETAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
