Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
EE Bilaspur Division No. 2 HPPWD Bilaspur,EE Bilaspur Division No. 2 HPPWD Bilaspur,"5,00,000",No,fixed,,Nil,Nil,Periodical Maintenance and protection work on CMM NH-205 (Old NH-21) 86/0 to 156/750,"P/L 50mm thick dense Graded Bitumen Macadam and 40mm thick Bitumen concrete, P/L making of centre line, edge line, zebra crossing, sign board and cautionary board and P/F W-Metal crash barrier in Km. 86/0 to 127/0",Refer in SBD ,NA ,"20,04,29,347",Civil Works,NA ,Tender,75.0,180.0,Bilaspur,174001.0,NA ,NA ,NA ,EE Bilaspur Division No. 2 HPPWD Bilaspur,No ,No,"5,000",Nil,Nil,No,1.0,Corrigendum,Date,,1.0,ICICI BANK,07-Feb-2022 06:00 PM,24-Feb-2022 11:30 AM,07-Feb-2022 06:00 PM,24-Feb-2022 11:00 AM,NA ,NA ,07-Feb-2022 06:00 PM,24-Feb-2022 11:00 AM,02-Mar-2022 04:35 PM,PWD,PW-NBT/CB/Tender/2020/15049-54 dated 28.01.2022,2022_PWD_56488_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender and Earnest Money refer in Schedule F,AOC,Finance,Financial Bid Open Summary,Gurminder Singh,03-Mar-2022 11:58 AM,finance_85086.pdf,BOQ Comparative Chart,1.0,266179.0,MVD Bhambhu JV,INR,"151,790,940",1,263565,Ajmer Singh,23-Feb-2022 07:46 PM,Rejected-Finance,Due to L4,03-Mar-2022 12:30 PM,Technical,Technical Bid open Summary,Gurminder Singh,02-Mar-2022 04:25 PM,technical_85086.pdf,Executive Engineer,Internal,EAI SUPDT HDM,Gurminder Singh,02-Mar-2022 04:30 PM,02-Mar-2022 04:35 PM,techsummary_85086.pdf (2189.67 KB),PWD,2022_PWD_56488_1,PW-NBT/CB/Tender/2020/15049-54 dated 28.01.2022,Periodical Maintenance and protection work on CMM NH-205 (Old NH-21) 86/0 to 156/750,25-Nov-2022,"INR 200,429,347",180.0,Gurminder Singh,25-Nov-2022 11:45 AM,AOC.PDF (2445.00 KB),Award Letter,Executive Engineer,Internal,EAI SUPDT HDM,Gurminder Singh,03-Mar-2022 12:30 PM,finsummary_85086.pdf (644.94 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration refer General rule No 23,AOC,,,,,,,,,,,,2,264850,Asphalt Carpet Construction Company,23-Feb-2022 02:58 PM,Rejected-Finance,Due to L3,03-Mar-2022 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST, PAN and EPF and latest income tax return refer General rule No 21",AOC,,,,,,,,,,,,3,264785,DCC BUILDCON PVT. LTD.,24-Feb-2022 10:42 AM,Rejected-Finance,Due to L7,03-Mar-2022 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and work in hand certificate refer General rule No 19,AOC,,,,,,,,,,,,4,265532,M/S R.R.Builders,23-Feb-2022 01:55 PM,Rejected-Finance,Due to L5,03-Mar-2022 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, Tool, Plant refer in Schedule F with reference to clause 18",AOC,,,,,,,,,,,,5,265986,M/s Satish Kumar Sharma,24-Feb-2022 10:46 AM,Rejected-Finance,Due to L8,03-Mar-2022 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Correctness of all documents by bidder,AOC,,,,,,,,,,,,6,266179,MVD Bhambhu JV,24-Feb-2022 10:45 AM,Accepted-AOC,Due to L1,25-Nov-2022 11:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HPPWD Form No 7/8,AOC,,,,,,,,,,,,7,265573,OM PARKASH SHARMA AND SONS,23-Feb-2022 08:31 PM,Rejected-Finance,Due to L10,03-Mar-2022 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of No relation working in HPPWD,AOC,,,,,,,,,,,,8,266148,P K Construction Shimla Pvt Ltd,23-Feb-2022 04:45 PM,Rejected-Finance,Due to L9,03-Mar-2022 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turn over during last five years duly attested by CA,AOC,,,,,,,,,,,,9,264448,S.S. Associates,23-Feb-2022 06:26 PM,Rejected-Finance,Due to L2,03-Mar-2022 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,10,263757,S.S.Chauhans Construction Private Limted,23-Feb-2022 07:07 PM,Rejected-Finance,Due to L6,03-Mar-2022 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
