S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,212031.0,Fortune Metals Limited,INR,"55,100,000","HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Shimla,Irrigation and Public Health,HP",2021_HPIPH_47035_1,Procurement of GI Pipes 2021-2022,Procurement of GI Pipes 2021-22,Engineer In Chief,Internal,,Rajneesh Onkar,22-Oct-2021 11:26 AM,finsummary_70628.pdf (652.02 KB),22-Oct-2021,"INR 7,245,900,000",365.0,Basant Singh Rathour,25-Nov-2022 02:48 PM,AOC20212022.pdf (365.00 KB),Order Amount as per Supply orders Placed during the validity of tender,Technical,Bid Opening summary,Rakesh Kumar,10-Jun-2021 12:03 PM,technical_70628.pdf,Finance,BOQ of all bidders downloaded and boq comparative chart generated successfully.,Rakesh Kumar,22-Oct-2021 11:15 AM,finance_70628.pdf,BOQ Comparative Chart,1,215730,APL APOLLO TUBES LIMITED,09-Jun-2021 01:55 PM,Accepted-AOC,Supply order of GI Pipes,25-Nov-2022 02:52 PM,Chief Engineer,Internal,"SE works,,SE PandI -1,Joint Controller , EE No-1 Kasumpti, EE SP Head Office",Rakesh Kumar,30-Jun-2021 03:09 PM,30-Jun-2021 03:10 PM,techsummary_70628.pdf (354.26 KB),AOC,"2,500",Executive Engineer Jal Shakti Division Shimla 9,Shimla,No,30-Apr-2021 05:00 PM,10-Jun-2021 11:30 AM,30-Apr-2021 05:00 PM,09-Jun-2021 05:00 PM,NA ,NA ,10-May-2021 06:55 PM,09-Jun-2021 05:00 PM,30-Jun-2021 03:10 PM,Executive Engineer,Jal Shakti Division Shimla 9,"50,00,000",No,fixed,,Executive Engineer Jal Shakti Division Shimla 9,Shimla,1.0,Corrigendum for date,Date,,1.0,Fee/PreQual/Technical,.pdf,Annual turnover and supply of GI Pipes as per NIT,Procurement of GI Pipes 2021-22,Procurement of GI Pipes 2021-22,Please refer Tender documents. ,NA ,,Pipes and Pipe related activities,GI Pipes ,Rate Contract,180.0,365.0,As per Tender Document,171009.0,NA ,NA ,NA ,Jal Shakti Division Shimla 9,No ,No,1.0,ICICI BANK,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Shimla,Irrigation and Public Health,HP",Procurement of GI Pipes 2021-2022,2021_HPIPH_47035_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Both(Online/Offline),No,No,No,AOC
2.0,212119.0,Nippon Tubes Limited,INR,"415,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,212031,Fortune Metals Limited,07-Jun-2021 05:53 PM,Accepted-AOC,Supply order of GI Pipes,25-Nov-2022 02:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,Term and Conditions,Other,,,,.pdf,proof of Cost of tender form and EMD as per NIT,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
3.0,212240.0,TATA STEEL LIMITED,INR,"1,422,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,212650,Hitech Pipes Ltd,09-Jun-2021 01:42 PM,Accepted-AOC,Supply order of GI Pipes,25-Nov-2022 02:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and Income tax clearance as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,212650.0,Hitech Pipes Ltd,INR,"599,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,214580,JINDAL PIPES LIMITED,08-Jun-2021 10:39 PM,Rejected-Finance,rejected,22-Oct-2021 11:26 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit for galavaniztion facility as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,213255.0,VISHAL PIPES LIMITED,INR,"1,178,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,215689,JTL Infra Limited,08-Jun-2021 11:03 PM,Accepted-AOC,Supply order of GI Pipes,25-Nov-2022 02:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of MOU of HR Coil and zinc and lifting of raw material as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6.0,215022.0,Rama Steel Tubes Ltd,INR,"152,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,212119,Nippon Tubes Limited,09-Jun-2021 12:54 PM,Accepted-AOC,Supply order of GI Pipes,25-Nov-2022 02:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of ISI Marking license for Manufacturing of GI Pipes as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7.0,215541.0,SWASTIK PIPE LTD,INR,"910,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,215022,Rama Steel Tubes Ltd,09-Jun-2021 02:22 PM,Accepted-AOC,Supply order of GI Pipes,25-Nov-2022 02:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Authorization of DSC, affidavit of backlisting and Year wise manufacturing GI pipe as per NIT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8.0,215628.0,Surya Roshni Limited,INR,"890,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,214862,RIDDHI STEEL AND TUBE LTD.,07-Jun-2021 07:02 PM,Rejected-Finance,rejected,22-Oct-2021 11:26 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any Other Documents required to be uploaded as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9.0,215689.0,JTL Infra Limited,INR,"1,154,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,215628,Surya Roshni Limited,09-Jun-2021 02:33 PM,Accepted-AOC,Supply order of GI Pipes,25-Nov-2022 02:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
10.0,215730.0,APL APOLLO TUBES LIMITED,INR,"467,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,215541,SWASTIK PIPE LTD,09-Jun-2021 09:27 AM,Accepted-AOC,Supply order of GI Pipes,25-Nov-2022 02:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,212240,TATA STEEL LIMITED,09-Jun-2021 11:15 AM,Accepted-AOC,Supply order of GI Pipes,25-Nov-2022 02:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
