Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
350.0,Nil,Nil,No,1.0,ICICI BANK,PWD,PW/MED/TA/NIT/ e-notice/21-22-62-71 dt 06.04.22,2022_PWD_59554_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi","17,200",No,fixed,,Nil,Nil,Construction of New Building of GPS Bal Mandi U.Block District Mandi HP SH Providing E.I therein,Construction of New Building of GPS Bal Mandi U.Block District Mandi HP SH Providing E.I therein,PLZ REFER TO BID DOC ,NA ,"8,58,616",Electrical Works,NA ,Tender,75.0,365.0,Mandi,175001.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,16-Apr-2022 10:00 AM,23-Apr-2022 11:30 AM,16-Apr-2022 10:00 AM,23-Apr-2022 10:00 AM,NA ,NA ,16-Apr-2022 10:00 AM,23-Apr-2022 10:00 AM,27-Apr-2022 12:45 PM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,AOC,PWD,2022_PWD_59554_1,PW/MED/TA/NIT/ e-notice/21-22-62-71 dt 06.04.22,Construction of New Building of GPS Bal Mandi U.Block District Mandi HP SH Providing E.I therein,ER MUNISH BHOPAL EE,Internal,HDM SR ASSTT SR ASSTT,Munish Bhopal,27-Apr-2022 12:39 PM,27-Apr-2022 12:45 PM,techsummary_90103.pdf (335.79 KB),ER MUNISH BHOPAL EE,Internal,Supdt Sr Asstt JDM,Munish Bhopal,29-Apr-2022 04:45 PM,finsummary_90103.pdf (291.16 KB),12-Jul-2022,"INR 858,616",365.0,Munish Bhopal,22-Nov-2022 04:35 PM,AOC.pdf (659.00 KB),work awarded to M/s Krishana Traders being L1 contr,Finance,financial bid summary,Munish Bhopal,29-Apr-2022 04:39 PM,finance_90103.pdf,BOQ Comparative Chart,1.0,278374.0,Krishana Traders,INR,"885,143",1.0,278374.0,Krishana Traders,20-Apr-2022 03:55 PM,Accepted-AOC,work awarded to M/s Krishana Traders being L1 contr,22-Nov-2022 04:35 PM,Technical,TECH SUMMARY,Munish Bhopal,27-Apr-2022 12:31 PM,technical_90103.pdf,AOC
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,Contractor registration HPPWD Electrical Class B or C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,278592.0,Man Singh,20-Apr-2022 05:08 PM,Rejected-Finance,rejected being L2 contr,29-Apr-2022 04:45 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt. Deptt / Board / PSU.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
