Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,technical bid summary,Dalip singh Patial,05-Feb-2021 02:25 PM,technical_64211.pdf,1.0,193450.0,Digvijay Sharma,23-Dec-2020 02:54 PM,Rejected-Finance,Rejected being L2 firm/ contractor,18-Jun-2021 01:02 PM,1.0,193463.0,SUNIL KAPOOR,INR,"2,001,099",Finance,finsummary,Dalip singh Patial,18-Jun-2021 12:56 PM,finance_64211.pdf,BOQ Comparative Chart,Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt Sh Manish Kumar TA,Dalip singh Patial,18-Jun-2021 01:02 PM,finsummary_64211.pdf (293.36 KB),23-Mar-2022,"INR 1,740,236",365.0,Munish Bhopal,21-Nov-2022 03:26 PM,AOC.pdf (822.00 KB),work awarded to Sh Sunil Kapoor Being L1 contractor,PWD,2020_PWD_43326_1,PW/MED/TA/NIT/ e-notice/20-21-5567-73 dt 03.12.20,"Construction of Warehouse for Storage of EVM and VVPAT at Bhiuli, Tehsil Sadar, District Mandi HP SH Providing EI and yard lighting therein",Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,06-Feb-2021 10:21 AM,06-Feb-2021 10:30 AM,techsummary_64211.pdf (340.44 KB),AOC,500.0,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,"Construction of Warehouse for Storage of EVM and VVPAT at Bhiuli, Tehsil Sadar, District Mandi HP SH Providing EI and yard lighting therein","Construction of Warehouse for Storage of EVM and VVPAT at Bhiuli, Tehsil Sadar, District Mandi HP SH Providing EI and yard lighting therein",please refer to bid document ,NA ,,Electrical Works,NA ,Tender,75.0,365.0,Mandi,175001.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER and EARNEST MONEY INDICATED IN SCHEDULE F,",1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,PW/MED/TA/NIT/ e-notice/20-21-5567-73 dt 03.12.20,2020_PWD_43326_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,18-Dec-2020 09:00 AM,24-Dec-2020 11:30 AM,18-Dec-2020 09:00 AM,23-Dec-2020 06:00 PM,NA ,NA ,18-Dec-2020 09:00 AM,23-Dec-2020 06:00 PM,06-Feb-2021 10:30 AM,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi","33,650",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,AOC
,,,,,2.0,193342.0,KUMAR ELECTRONICS CO.,23-Dec-2020 10:57 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,05-Feb-2021 02:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registered Elect Contractor enlisted in class A or B HPPWD Electrical with valid Electrical License,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,193351.0,NITIN PROP A VIGHNA ELECTRICALS,23-Dec-2020 11:17 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,05-Feb-2021 02:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,193498.0,Rohtash Verma,23-Dec-2020 03:37 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,05-Feb-2021 02:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,193032.0,SHARMA ELECTRICAL CO.,22-Dec-2020 04:08 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,05-Feb-2021 02:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,6.0,193463.0,SUNIL KAPOOR,23-Dec-2020 02:07 PM,Accepted-AOC,work awarded to Sh Sunil Kapoor Being L1 contractor,21-Nov-2022 03:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,7.0,193488.0,TARUN GUPTA,23-Dec-2020 02:42 PM,Rejected-Finance,Rejected being L2 firm/ contractor,18-Jun-2021 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
