Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
08-Jun-2022,INR 5879271.0,25.0,Horgobinda Nath,18-Nov-2022 01:52 PM,Paedia8680.pdf (1562.00 KB),Approved Rate List,Dr. Anupama Deka,Internal,"Gautam Medhi, Priyam Saikia",Bhupen Chandra Sarma,24-Jan-2022 06:01 PM,27-Jan-2022 03:00 PM,techsummary_33350.pdf (427.46 KB),1.0,Revocation corrigendum,Minutes of the Technical Evaluation Committee Meeting uploaded on 13-01-2022 is hereby revoked,24-Jan-2022 04:38 PM,RevocationPedia.pdf ,94.42,Technical Opening,Director of Medical Education Assam,Internal,,Bhupen Chandra Sarma,27-Apr-2022 04:19 PM,finsummary_33350.pdf (6163.68 KB),1,118549,Biosis Medical Services,04-Jan-2022 01:15 PM,Accepted-AOC,L1,18-Nov-2022 01:57 PM,Finance,Accepted for financial evaluation,Bhupen Chandra Sarma,27-Apr-2022 03:56 PM,finance_33350.pdf,BOQ Comparative Chart,1.0,117081.0,NJD TRADERS,INR,2505330.0,Health and Family Welfare Department||Directorate of Medical Education-HFWD,2021_HFWD_21388_1,DME/Pedia/188/2020/pt/8680 dt 20/02/2021,supply and installation of Equipment instrument related to Pediatrics Department for all Government Medical College Hospitals,Technical,Accepted for technical evaluation,Bhupen Chandra Sarma,24-Jan-2022 04:54 PM,technical_33350.pdf,AOC,"2,00,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,prequalification,1.0,SBI Bank,"5,000",Nil,Nil,Yes,supply and installation of Equipment instrument related to Pediatrics Department for all Government Medical College Hospitals,supply and installation of Equipment instrument related to Pediatrics Department for all Government Medical College Hospitals,Please refer Tender documents. ,NA ,,Medical Equipments/Waste,NA ,Rate Contract,365.0,25.0,Medical College Hospitals of Assam,781022.0,"DME, ASSAM, Sixmile, Khanapara ","DME, ASSAM, Sixmile, Khanapara ",12-Mar-2021 11:00 AM ,"DME, ASSAM, Sixmile, Khanapara",No ,No,22-Feb-2021 06:40 PM,04-Jan-2022 05:00 PM,22-Feb-2021 06:40 PM,04-Jan-2022 02:00 PM,NA ,NA ,13-Mar-2021 12:00 PM,04-Jan-2022 02:00 PM,27-Jan-2022 03:00 PM,1.0,Extension notice,Date,,Health and Family Welfare Department||Directorate of Medical Education-HFWD,DME/Pedia/188/2020/pt/8680 dt 20/02/2021,2021_HFWD_21388_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Online,No,No,No,"DME, ASSAM, Sixmile, Khanapara","DME, ASSAM, Sixmile, Khanapara",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,119214,Genworks Health Pvt LTd,24-Aug-2021 11:41 AM,Rejected-Technical,Rejected,24-Jan-2022 06:01 PM,,,,,,,2.0,118549.0,Biosis Medical Services,INR,1051344.0,,,,,,,,,,AOC,,,,,,,,,.pdf,List of Item quoted with Make and Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Modifications in the technical specifications,Other,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,127971,ITAS G. PHARMA,03-Jan-2022 07:32 PM,Accepted-AOC,L1,18-Nov-2022 01:57 PM,,,,,,,3.0,126622.0,United Traders,INR,77616.0,,,,,,,,,,AOC,,,,,,,,,.pdf,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,extension of last date of bid submission,Technical Bid,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,117179,MAINDEOR ENTERPRISE,04-Jan-2022 10:25 AM,Rejected-Finance,Rejected (to be re-tendered due to single bid),27-Apr-2022 04:19 PM,,,,,,,4.0,127971.0,ITAS G. PHARMA,INR,1576848.0,,,,,,,,,,AOC,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,118477,MEDEX INDIA PVT LTD.,07-Aug-2021 11:32 AM,Rejected-AOC,L2,18-Nov-2022 01:57 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Supplementary BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,117081,NJD TRADERS,03-Jan-2022 09:31 PM,Accepted-AOC,L1,18-Nov-2022 01:57 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,122986,P Bhogilal Pvt. Ltd.,20-Oct-2021 05:49 PM,Rejected-AOC,L2,18-Nov-2022 01:57 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,117173,Square Enterprises,25-May-2021 12:47 AM,Rejected-Technical,Rejected,24-Jan-2022 06:01 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,126622,United Traders,20-Nov-2021 01:54 PM,Accepted-AOC,L1,18-Nov-2022 01:57 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,117073,Vikas Medical Devices,14-Dec-2021 11:26 AM,Rejected-AOC,L2,18-Nov-2022 01:57 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
