Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"Running operation comprehensive repair of HVAC System Chiller plant at Shri lal bahadur Shastri Government Medical college and Hospital Nerchowk Distt Mandi HP SH Providing and fixing ICVC parameter of whole system of chiller plant No. 1, 2 instal","Running operation comprehensive repair of HVAC System Chiller plant at Shri lal bahadur Shastri Government Medical college and Hospital Nerchowk Distt Mandi HP SH Providing and fixing ICVC parameter of whole system of chiller plant No. 1, 2 instal",PLEASE REFER TO BID DOC ,NA ,"6,64,336",Electrical Works,NA ,Tender,75.0,30.0,NERCHOWK,175008.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,1.0,ICICI BANK,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER and EARNEST MONEY INDICATED IN SCHEDULE F,",12-Jul-2022 10:00 AM,19-Jul-2022 11:00 AM,12-Jul-2022 10:00 AM,19-Jul-2022 10:00 AM,NA ,NA ,12-Jul-2022 10:00 AM,19-Jul-2022 10:00 AM,30-Jul-2022 10:30 AM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,350.0,Nil,Nil,No,"13,300",Yes,fixed,,Nil,Nil,PWD,PW/MED/TA/NIT/ e-notice/22-23-2425-35 dt 30.06.22,2022_PWD_62513_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,1.0,291912.0,Guleria Electric and Contracts,19-Jul-2022 01:29 AM,Rejected-Technical,BID RESPONSIVE BUT DISQUALIFIED,29-Jul-2022 12:01 PM,Technical,techsummary,Munish Bhopal,29-Jul-2022 11:46 AM,None,Finance,finsummary,Munish Bhopal,04-Aug-2022 12:57 PM,finance_94262.pdf,BOQ Comparative Chart,1.0,291788.0,SHARMA ELECTRICAL CO.,INR,"656,000",PWD,2022_PWD_62513_1,PW/MED/TA/NIT/ e-notice/22-23-2425-35 dt 30.06.22,"Running operation comprehensive repair of HVAC System Chiller plant at Shri lal bahadur Shastri Government Medical college and Hospital Nerchowk Distt Mandi HP SH Providing and fixing ICVC parameter of whole system of chiller plant No. 1, 2 instal",ER MUNISH BHOPAL EE,Internal,Sr Asstt Sr Asstt JDM,Munish Bhopal,29-Jul-2022 12:01 PM,30-Jul-2022 10:30 AM,techsummary_94262.pdf (331.19 KB),ER MUNISH BHOPAL EE,Internal,Sr Asstt Sr Asstt JDM,Munish Bhopal,04-Aug-2022 01:01 PM,finsummary_94262.pdf (316.34 KB),15-Sep-2022,"INR 664,336",30.0,Munish Bhopal,22-Nov-2022 11:36 AM,AOC.pdf (661.00 KB),work awarded to M/s Sharma Elect Co. being L1 firm,AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,Approved OEM of HVAC System or authorized agency of approved OEM,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,291799.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,18-Jul-2022 07:11 PM,Rejected-Finance,rejected being L2 firm,04-Aug-2022 01:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder address format with valid email and phone numbers,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,291788.0,SHARMA ELECTRICAL CO.,18-Jul-2022 07:20 PM,Accepted-AOC,work awarded to M/s Sharma Elect Co. being L1 firm,22-Nov-2022 11:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of similar work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
