S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,SBI Bank,"DFO, Kamrup East Division","O/o DFO, Kamrup East Division, Basistha, Guwahati-781029",1.0,Fee/PreQual/Technical,.pdf,Technical qualification document-Part 1,Pr. Chief Conservator of Forest and Head of Forest Force||Chief Conservator of Forestes (T) (Lower Assam Zone)||Central Assam Circle||Kamrup East Division,B/KE/CAMPA/NIT/3050,2022_PCCF_25411_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,06-May-2022 11:00 AM,31-May-2022 11:00 AM,06-May-2022 03:00 PM,30-May-2022 05:00 PM,NA ,NA ,10-May-2022 10:00 AM,30-May-2022 05:00 PM,28-Oct-2022 11:00 AM,Construction of Assam Type Building for Forester Quarter,Construction of Assam Type Building for Forester Quarter,Please refer Tender documents. ,NA ,"37,28,055",Civil Works - Building,NA ,Tender,270.0,180.0,Guwahati,781029.0,"O/o DFO, Kamrup East Division ","O/o DFO, Kamrup East Division, Basistha, Guwahati-781029 ",09-May-2022 11:00 AM ,"O/o DFO, Kamrup East Division",No ,No,"74,561",Yes,percentage,2.0%,Nil,Nil,746.0,Nil,Nil,No,AOC,17-Nov-2022,INR 3355249.5,180.0,Rohini Ballave Saikia,17-Nov-2022 03:02 PM,AOC.pdf (431.00 KB),"S. Kumar, IFS",Internal,,Rohini Ballave Saikia,26-Oct-2022 01:04 PM,28-Oct-2022 11:00 AM,techsummary_39261.pdf (1737.03 KB),Finance,Financial Bid has been opened,Rohini Ballave Saikia,09-Nov-2022 11:31 AM,,BOQ Comparative Chart,Technical,Technical Bid has been opened,Rohini Ballave Saikia,01-Jun-2022 12:41 PM,,"Sandeep Kumar, IFS",Internal,,Rohini Ballave Saikia,16-Nov-2022 04:21 PM,finsummary_39261.pdf (221.63 KB),1,148601,Alokesh Bhuyan,30-May-2022 11:07 AM,Rejected-Technical,Rejected due to non submission of signed tender notice and non submission of signed copy of EMD,26-Oct-2022 01:04 PM,1.0,148978.0,J D ASSOCIATES,INR,3355249.5,Pr. Chief Conservator of Forest and Head of Forest Force||Chief Conservator of Forestes (T) (Lower Assam Zone)||Central Assam Circle||Kamrup East Division,2022_PCCF_25411_1,B/KE/CAMPA/NIT/3050,Construction of Assam Type Building for Forester Quarter,AOC
,,,,,,.pdf,Technical qualification document-Part 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,148701,Anurag Baishya,25-May-2022 04:43 PM,Rejected-Technical,Rejected due to non submission of signed copy of EMD and Liquid Asset Certificate,26-Oct-2022 01:04 PM,,,,,,,,,,AOC
,,,,,,.pdf,Scanned and signed tender document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,148516,Arup Gogoi,30-May-2022 11:56 AM,Rejected-Technical,"Rejected as the bidder failed to Annexed Court fee stamp, non submission of signed copy of EMD and Liquid Asset Certificate",26-Oct-2022 01:04 PM,,,,,,,,,,AOC
,,,,2.0,Finance,.xls,Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,147894,Consulting Engineer NG,30-May-2022 12:21 PM,Rejected-Technical,Rejected due to non submission of signed tender notice and non submission of signed copy of EMD,26-Oct-2022 01:04 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,148956,DIP JYOTI ROY,30-May-2022 01:52 PM,Rejected-Technical,Rejected due to non submission of signed copy of EMD,26-Oct-2022 01:04 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,148978,J D ASSOCIATES,28-May-2022 06:18 PM,Accepted-AOC,"Accepted and awarded at quoted amount of Rs. 33,55,249.50 inclusive of all taxes",17-Nov-2022 03:10 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,148567,JYOTI CONSTRO COMMERCIALS,29-May-2022 11:31 PM,Rejected-Technical,"Rejected as the bidder failed to Annexed Court fee stamp, non submission of signed copy of EMD",26-Oct-2022 01:04 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,148454,LALIT DOLEY,22-May-2022 07:07 PM,Rejected-Technical,Rejected due to non submission of signed copy of EMD and Liquid Asset Certificate,26-Oct-2022 01:04 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,149043,Manikanchan Traders,30-May-2022 02:04 PM,Rejected-Technical,Rejected due to non submission of signed tender notice and non submission of signed copy of EMD,26-Oct-2022 01:04 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,148804,M/S Kalahi Enterprise,30-May-2022 03:51 PM,Rejected-Technical,Rejected as the bidder failed to Annexed Court fee stamp and duly signed tender notice,26-Oct-2022 01:04 PM,,,,,,,,,,AOC
