Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,fin summary,Munish Bhopal,09-May-2022 03:50 PM,finance_90557.pdf,BOQ Comparative Chart,1.0,279489.0,Hipath Technologies,INR,"783,790",Technical,tech bid summary,Munish Bhopal,04-May-2022 04:44 PM,technical_90557.pdf,1.0,279821.0,BELTEX ENGINEERING SERVICES,30-Apr-2022 05:27 PM,Rejected-Finance,rejected being l2 firm,09-May-2022 03:52 PM,ER MUNISH BHOPAL EE,Internal,supdt Sr Asstt JDM,Munish Bhopal,09-May-2022 03:52 PM,finsummary_90557.pdf (300.55 KB),13-Oct-2022,"INR 800,390",180.0,Munish Bhopal,24-Nov-2022 11:05 AM,AOC.pdf (665.00 KB),work awarded to M/s Hipath Technologies being L1 firm,PWD,2022_PWD_59877_1,PW/MED/TA/NIT/ e-notice/21-22-144-154 dt 16.04.22,"Supplying , Installation, Testing and Commissioning of Fire Alram System at Circuit House Manali District Kullu HP",ER MUNISH BHOPAL EE,Internal,SR ASSTT SR ASSTT JDM,Munish Bhopal,04-May-2022 04:47 PM,04-May-2022 04:50 PM,techsummary_90557.pdf (332.54 KB),AOC,25-Apr-2022 03:15 PM,02-May-2022 11:30 AM,25-Apr-2022 03:15 PM,02-May-2022 10:00 AM,NA ,NA ,25-Apr-2022 03:15 PM,02-May-2022 10:00 AM,04-May-2022 04:50 PM,PWD,PW/MED/TA/NIT/ e-notice/21-22-144-154 dt 16.04.22,2022_PWD_59877_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER and EARNEST MONEY INDICATED IN SCHEDULE F,","Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",1.0,ICICI BANK,"16,050",No,fixed,,Nil,Nil,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"Supplying , Installation, Testing and Commissioning of Fire Alram System at Circuit House Manali District Kullu HP","Supplying , Installation, Testing and Commissioning of Fire Alram System at Circuit House Manali District Kullu HP",please refer to bid document ,NA ,"8,00,390",Electrical Works,NA ,Tender,75.0,180.0,MANALI,175131.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,350.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,2.0,279974.0,FIRE CONTROLS CORPORATION,01-May-2022 07:25 PM,Rejected-Technical,BID RESPONSIVE BUT DISQUALIFIED,04-May-2022 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OEM of (Fire Alarm) or auth agency of approved OEM or appr firm for exec specl job,,,2.0,ICICI NEFT/RTGS,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,279489.0,Hipath Technologies,30-Apr-2022 09:02 PM,Accepted-AOC,work awarded being L1,24-Nov-2022 11:06 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,280038.0,NAVDIGI Solutions Pvt Ltd,01-May-2022 06:16 PM,Rejected-Finance,rejected being l3 firm,09-May-2022 03:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,279960.0,Shanti Infotech,30-Apr-2022 05:13 PM,Rejected-Technical,BID RESPONSIVE BUT DISQUALIFIED,04-May-2022 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that never been blacklisted and information furnished with the bid is true and correct in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of similar work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
