Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
350.0,Nil,Nil,No,"18,800",Yes,fixed,,Nil,Nil,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"Repair Maintenance and Contract for passenger elevator No. 40235050, 40235078 40235080 40235081 40235082 40235085 of KONE make installed in Auditorium, Residential Type-III, Medical College Block B and C in Shri lal bahadur shastri Govt. Medical","Repair Maintenance and Contract for passenger elevator No. 40235050, 40235078 40235080 40235081 40235082 40235085 of KONE make installed in Auditorium, Residential Type-III, Medical College Block B and C in Shri lal bahadur shastri Govt. Medical",PLEASE REFER TO BID DOC ,NA ,"9,40,118",Electrical Works,NA ,Tender,75.0,365.0,NERCHOWK,175008.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,1.0,ICICI BANK,24-Jun-2022 10:00 AM,01-Jul-2022 11:00 AM,24-Jun-2022 10:00 AM,01-Jul-2022 10:00 AM,NA ,NA ,24-Jun-2022 10:00 AM,01-Jul-2022 10:00 AM,04-Jul-2022 02:50 PM,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",PWD,PW/MED/TA/NIT/ e-notice/22-23-1951-60 dt 16.06.22,2022_PWD_61986_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER and EARNEST MONEY INDICATED IN SCHEDULE F,",AOC,PWD,2022_PWD_61986_1,PW/MED/TA/NIT/ e-notice/22-23-1951-60 dt 16.06.22,"Repair Maintenance and Contract for passenger elevator No. 40235050, 40235078 40235080 40235081 40235082 40235085 of KONE make installed in Auditorium, Residential Type-III, Medical College Block B and C in Shri lal bahadur shastri Govt. Medical",ER MUNISH BHOPAL EE,Internal,SR ASSTT SR ASSTT JDM,Munish Bhopal,04-Jul-2022 02:45 PM,04-Jul-2022 02:50 PM,techsummary_93533.pdf (407.84 KB),ER MUNISH BHOPAL EE,Internal,Sr Asstt Sr Asstt JDM,Munish Bhopal,27-Jul-2022 04:54 PM,finsummary_93533.pdf (320.19 KB),22-Aug-2022,"INR 940,118",365.0,Munish Bhopal,23-Nov-2022 01:19 PM,AOC.pdf (685.00 KB),work awarded to M/s Pragati Elect and Electronics co.,Finance,finsummary,Munish Bhopal,27-Jul-2022 01:25 PM,finance_93533.pdf,BOQ Comparative Chart,1.0,289185.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,INR,"979,000",1.0,289185.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,29-Jun-2022 06:08 PM,Accepted-AOC,work awarded being L1 firm,23-Nov-2022 01:19 PM,Technical,TECHNICAL BID SUMMARY,Munish Bhopal,04-Jul-2022 02:41 PM,technical_93533.pdf,AOC
,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Approved OEM of Lift elevator or authorized agency of approved OEM of lift elevator,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,289164.0,SHARMA ELECTRICAL CO.,29-Jun-2022 05:16 PM,Rejected-Finance,REJECTED BEING L2 FIRM,27-Jul-2022 04:54 PM,,,,,,AOC
,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder address format with valid email address and phone numbers,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of similar work done certificates as per Technical qualification criteria,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
