EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"16,500",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"Executive Engineer Bhoranj Division, HP.PWD., Bhor","Executive Engineer Bhoranj Division, HP.PWD., Bhoranj",14-May-2022 01:00 PM,21-May-2022 11:30 AM,14-May-2022 01:00 PM,21-May-2022 10:30 AM,NA ,NA ,14-May-2022 01:00 PM,21-May-2022 10:30 AM,03-Jun-2022 11:30 AM,PWD,letter No 745 dated 21-04-2022,2022_PWD_60692_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,C O Govt High School Ludder Mahadev SH Protection Boundary wall,C O Govt High School Ludder Mahadev SH Protection Boundary wall,Please refer Tender documents. ,NA ,"8,14,447",Civil Works - Buildings,NA ,Tender,75.0,90.0,Bhoranj,176045.0,NA ,NA ,NA ,Bhoranj,No ,No,350.0,Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form.,AOC,"Executive Engineer Bhoranj Division, HP.PWD., Bhoranj",Internal,"Supdt.Gr.-II, HDM, DAO, A.E.Bhoranj Sub Division",Arvind Lakhanpal,01-Jun-2022 01:24 PM,03-Jun-2022 11:30 AM,techsummary_91676.pdf (1029.09 KB),PWD,2022_PWD_60692_1,letter No 745 dated 21-04-2022,C O Govt High School Ludder Mahadev SH Protection Boundary wall,26-Nov-2022,"INR 947,563",90.0,Arvind Lakhanpal,26-Nov-2022 02:44 PM,242328.pdf (931.00 KB),Work awarded to Sh. Manu Pal vide letter No. 2423-28 dt. 08.06.2022,Executive Engineer Bhoranj Division HP.PWD Bhoranj,Internal,"Supdt.Gr.-II, HDM, DAO, A.E.Bhoranj Sub Division",Arvind Lakhanpal,27-Jun-2022 05:04 PM,finsummary_91676.pdf (572.85 KB),1.0,283028.0,MANU PAL GOVT CONT,INR,"947,563",Finance,BOQ Summary detail attached,Arvind Lakhanpal,27-Jun-2022 05:01 PM,finance_91676.pdf,BOQ Comparative Chart,1.0,283149.0,AYUSH CHANDEL GOVT CONT,21-May-2022 09:46 AM,Rejected-Finance,Document attached,27-Jun-2022 05:04 PM,Technical,Technical Bid attached,Arvind Lakhanpal,01-Jun-2022 01:22 PM,technical_91676.pdf,AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration REFER GENERAL RULES NO 20,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,283028.0,MANU PAL GOVT CONT,20-May-2022 07:40 PM,Accepted-AOC,1st lowest,26-Nov-2022 02:44 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration - REFER HPPWD-6 16(3).,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,283048.0,PRATEEK THAKUR GOVT CONTRACTOR,21-May-2022 09:23 AM,Rejected-Finance,Document attached,27-Jun-2022 05:04 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour License,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,283099.0,SHYAM LAL GOVT CONT,20-May-2022 06:13 PM,Rejected-Finance,Document attached,27-Jun-2022 05:04 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN No.),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail and Proof of, Mandatory Machinery Tool and Plant as per Schedule F (Clause18 of GCC )",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 16,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no litigation with the department,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
