Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Category,Sub Category,Sub Category Description,Format/File,S.No.2,Corrigendum Title,Corrigendum Type,View,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"1,500","Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,1.0,ICICI BANK,PWD,PW/MED/TA/NIT/ e-notice/21-22-2292-01 dt 25.06.21,2021_PWD_49408_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,05-Jul-2021 10:00 AM,12-Jul-2021 11:30 AM,05-Jul-2021 10:00 AM,12-Jul-2021 10:00 AM,NA ,NA ,05-Jul-2021 10:00 AM,12-Jul-2021 10:00 AM,01-Dec-2021 11:00 AM,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,"Repair, maintenance and service of Passenger elevators 19 Nos. KONE make installed in Shri lal Bahadur Shastri Govt Medical College and Hospital, Nerchowk for one year 2021-2022","Repair, maintenance and service of Passenger elevators 19 Nos. KONE make installed in Shri lal Bahadur Shastri Govt Medical College and Hospital, Nerchowk for one year 2021-2022",please refer to bid document ,NA ,"27,44,862",Electrical Works,NA ,Tender,75.0,365.0,Nerchowk,175008.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,"48,700",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,corrigendum,Other,,AOC,1.0,222438.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,10-Jul-2021 03:40 PM,Accepted-AOC,work awarded to M/s Pragati Elect and Electronics Co being L1 firm,21-Nov-2022 03:34 PM,Technical,TECHSUMMARY,Suresh Kumar Dhiman,01-Dec-2021 10:18 AM,technical_74005.pdf,Finance,FINSUMMARY,Suresh Kumar Dhiman,03-Dec-2021 03:19 PM,finance_74005.pdf,BOQ Comparative Chart,1.0,222438.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,INR,"2,744,862",Er Sanjay Kumar SE,Internal,EE MANDI EE DESIGN EO SUPDT,Suresh Kumar Dhiman,01-Dec-2021 10:28 AM,01-Dec-2021 11:00 AM,techsummary_74005.pdf (793.75 KB),PWD,2021_PWD_49408_1,PW/MED/TA/NIT/ e-notice/21-22-2292-01 dt 25.06.21,"Repair, maintenance and service of Passenger elevators 19 Nos. KONE make installed in Shri lal Bahadur Shastri Govt Medical College and Hospital, Nerchowk for one year 2021-2022",15-Mar-2022,"INR 2,744,862",365.0,Munish Bhopal,21-Nov-2022 03:34 PM,AOC.pdf (707.00 KB),work awarded to M/s Pragati Elect and Electronics Co being L1 firm,Er Munish Bhopal EE,Internal,SUPDT JDM SR ASSTT,Suresh Kumar Dhiman,03-Dec-2021 03:21 PM,finsummary_74005.pdf (447.26 KB),AOC
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OEM (Lift Elevator) / Authorized agency of OEM as per TQC (see detail in bid document),,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,AOC,2.0,222449.0,SHARMA ELECTRICAL CO.,10-Jul-2021 03:58 PM,Rejected-Finance,REJECTED BEING L2,03-Dec-2021 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt Deptt/ Semi Govt. Deptt / Board PSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
