S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,ICICI BANK,PWD,EE Dehra letter No.11877-81 dated 23.02.2022,2022_PWD_57293_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,A/R and M/O Naleti to Lower Sunhet via Thakurdwara Km. 0/0 to 2/100,"C/O CC pavement at RD 0/850 to 0/895, 1/020 to 1/050 and 1/060 to 1/200",Before uploading of tender please refer to bidding document for all conditions/instructions ,NA ,"7,30,174",Civil Works,Repair of road ,Tender,75.0,90.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,03-Mar-2022 10:00 AM,10-Mar-2022 11:30 AM,03-Mar-2022 10:00 AM,09-Mar-2022 06:00 PM,03-Mar-2022 10:00 AM ,07-Mar-2022 05:00 PM ,03-Mar-2022 10:00 AM,09-Mar-2022 06:00 PM,25-Mar-2022 11:00 AM,Executive Engineer,HPPWD Division Dehra,"15,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,AOC,PWD,2022_PWD_57293_7,EE Dehra letter No.11877-81 dated 23.02.2022,A/R and M/O Naleti to Lower Sunhet via Thakurdwara Km. 0/0 to 2/100,EE Dehra,Internal,DAO Dehra Superintendent Dehra DHD Dehra,Dinesh Kumar Dhiman,24-Mar-2022 09:11 PM,25-Mar-2022 11:00 AM,techsummary_86496.pdf (307.09 KB),EE Dehra,Internal,DAO Dehra DHD Dehra Superintendent Dehra,Dinesh Kumar Dhiman,01-May-2022 01:44 PM,finsummary_86496.pdf (167.22 KB),09-Nov-2022,"INR 730,174",90.0,Dinesh Kumar Dhiman,09-Nov-2022 12:43 PM,57293_7Award.pdf (666.00 KB),Work awarded issued,1.0,268744.0,Govt Contractor,INR,"773,745",Finance,Financial bid opening summary,Dinesh Kumar Dhiman,01-May-2022 01:18 PM,finance_86496.pdf,BOQ Comparative Chart,1.0,268409.0,ashish chaudhry,07-Mar-2022 07:26 PM,Rejected-Finance,Rejected being highest bidder,01-May-2022 01:44 PM,Technical,Bid opening summary,Dinesh Kumar Dhiman,24-Mar-2022 09:03 PM,technical_86496.pdf,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,268744.0,Govt Contractor,09-Mar-2022 01:11 PM,Accepted-AOC,L1,09-Nov-2022 12:43 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of valid enlistment,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,268678.0,M/S Surjeet Singh Govt. Contractor,09-Mar-2022 02:18 PM,Rejected-Finance,Rejected being highest bidder,01-May-2022 01:44 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,268680.0,Suresh Rana,09-Mar-2022 09:40 AM,Rejected-Finance,Rejected being highest bidder,01-May-2022 01:44 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,268012.0,VISHAL DHIMAN GOVT CONTRACTOR,08-Mar-2022 08:36 AM,Rejected-Finance,Rejected being highest bidder,01-May-2022 01:44 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
