Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
350.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,"Construction of 6 Nos. Type II Quarters of Government Residential colony at Jail Road, Mandi District Mandi HP SH Providing E.I therein","Construction of 6 Nos. Type II Quarters of Government Residential colony at Jail Road, Mandi District Mandi HP SH Providing E.I therein",PLZ REFER TO NIT AND BID DOCUMENT ,NA ,"7,28,791",Electrical Works,NA ,Tender,75.0,365.0,MANDI,175001.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,1.0,ICICI BANK,03-Sep-2022 10:00 AM,09-Sep-2022 10:30 AM,03-Sep-2022 10:00 AM,09-Sep-2022 10:00 AM,NA ,NA ,03-Sep-2022 10:00 AM,09-Sep-2022 10:00 AM,24-Sep-2022 02:00 PM,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",PWD,PW/MED/TA/NIT/ e-notice/22-23-4476-86 dt 24.08.22,2022_PWD_64334_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"14,600",Yes,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,AOC,PWD,2022_PWD_64334_1,PW/MED/TA/NIT/ e-notice/22-23-4476-86 dt 24.08.22,"Construction of 6 Nos. Type II Quarters of Government Residential colony at Jail Road, Mandi District Mandi HP SH Providing E.I therein",Er Munish Bhopal EE,Internal,Sr Asstt Sr Asstt JDM,Munish Bhopal,24-Sep-2022 01:45 PM,24-Sep-2022 02:00 PM,techsummary_96860.pdf (413.90 KB),Er Munish Bhopal EE,Internal,Supdt Sr Asstt JDM,Munish Bhopal,04-Oct-2022 03:41 PM,finsummary_96860.pdf (426.19 KB),13-Oct-2022,"INR 728,791",365.0,Munish Bhopal,23-Nov-2022 01:52 PM,AOC.pdf (654.00 KB),work awarded to M/s Krishna Traders being L1 contr,1.0,299715.0,Krishana Traders,07-Sep-2022 04:54 PM,Accepted-AOC,work awarded to M/s Krishna Traders being L1 contr,23-Nov-2022 01:52 PM,Technical,TECHSUMMARY,Munish Bhopal,24-Sep-2022 01:35 PM,technical_96860.pdf,1.0,299715.0,Krishana Traders,INR,"741,070",Finance,Summary,Suresh Kumar Dhiman,24-Sep-2022 06:19 PM,None,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,.pdf,Contractor registration Class B or C (Elect) in HPPWD with valid Elect license,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,299722.0,Man Singh,07-Sep-2022 05:15 PM,Rejected-Finance,rejected being L3 contrs,04-Oct-2022 03:41 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,299760.0,M.V.Associates,09-Sep-2022 08:52 AM,Rejected-Finance,rejected being L2 contr,04-Oct-2022 03:41 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per Technical qualification criteria,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that never been blacklisted and info. being furnished with the bid is true and correct.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
