EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"52,500",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,"Construction of 30 Bedded CHC at Patlikul, District Kullu HP SH Providing EI therein","Construction of 30 Bedded CHC at Patlikul, District Kullu HP SH Providing EI therein",Please refer to bid documenti  ,NA ,,Electrical Works,NA ,Tender,75.0,365.0,Patlikul,175129.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,1.0,ICICI BANK,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",23-Jun-2021 10:00 AM,30-Jun-2021 11:30 AM,23-Jun-2021 10:00 AM,30-Jun-2021 10:00 AM,NA ,NA ,23-Jun-2021 10:00 AM,30-Jun-2021 10:00 AM,01-Jul-2021 12:05 PM,"1,500","Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,PWD,PW/MED/TA/NIT/ e-notice/21-22-1606-15 dt 08.06.21,2021_PWD_48946_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,AOC,Finance,FIN,Suresh Kumar Dhiman,04-Sep-2021 11:20 AM,finance_73353.pdf,BOQ Comparative Chart,1.0,220112.0,KUMAR ELECTRONICS CO.,INR,"3,078,875",1.0,219625.0,Digvijay Sharma,29-Jun-2021 06:47 PM,Rejected-Technical,bid responsive but disqualified,01-Jul-2021 12:03 PM,Technical,technical bid summary,Dalip singh Patial,01-Jul-2021 12:01 PM,technical_73353.pdf,PWD,2021_PWD_48946_1,PW/MED/TA/NIT/ e-notice/21-22-1606-15 dt 08.06.21,"Construction of 30 Bedded CHC at Patlikul, District Kullu HP SH Providing EI therein",Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Kapil Soni Sr Asstt Sh Manish Clerk,Dalip singh Patial,01-Jul-2021 12:03 PM,01-Jul-2021 12:05 PM,techsummary_73353.pdf (341.46 KB),Er D S Patial EE,Internal,Sh Jai Ram HDM Sh Kapil Soni Sr Asstt Sh Manish Kumar TA,Suresh Kumar Dhiman,04-Sep-2021 11:23 AM,finsummary_73353.pdf (305.05 KB),21-Jul-2022,"INR 2,998,144",365.0,Munish Bhopal,22-Nov-2022 12:08 PM,AOC.pdf (667.00 KB),work awarded to M/s Kumar Electronics Co. being L1 contr,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration Class A or B (Elect) in HPPWD with valid Elect license,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,AOC,,,,,,,,,,,,2.0,220112.0,KUMAR ELECTRONICS CO.,30-Jun-2021 12:01 AM,Accepted-AOC,work awarded to M/s Kumar Electronics Co. being L1 contr,22-Nov-2022 12:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,AOC,,,,,,,,,,,,3.0,220124.0,SHARMA ELECTRICAL CO.,29-Jun-2021 11:28 AM,Rejected-Finance,Rejected being L2 contractor,04-Sep-2021 11:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,AOC,,,,,,,,,,,,4.0,220369.0,TARUN GUPTA,29-Jun-2021 09:19 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Jul-2021 12:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt Deptt / Board / PSU.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
