Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
09-Sep-2022 10:00 AM,19-Sep-2022 11:30 AM,09-Sep-2022 10:00 AM,19-Sep-2022 10:00 AM,NA ,NA ,09-Sep-2022 10:00 AM,19-Sep-2022 10:00 AM,21-Sep-2022 11:40 AM,"49,000",Yes,fixed,,EE JSV Division,Jubbal,400.0,EE JSV Division Jubbal,Jubbal,No,"HP Irrigation and Public Health||Rohru Circle,Irrigation and Public Health,HP||Jubbal,Irrigation and Public Health,HP",JBL-SML-09-718,2022_HPIPH_64704_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,JSV Division Jubbal,Providing FHTC to left out house hold for nal se jal under JJM retrofitting to various GWSS under GP Badhal and Barthata Tehsil Jubbal Distt Shimla HP Job 2nd,Providing FHTC to left out house hold for nal se jal under JJM retrofitting to various GWSS under GP Badhal and Barthata Tehsil Jubbal Distt Shimla HP Job 2nd,Please refer Tender documents. ,NA ,"27,66,400",Civil Works - Others,NA ,Tender,120.0,180.0,Jubbal,171202.0,NA ,NA ,NA ,JSV Division Jubbal,No ,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in the shape of DD or IPO payable at Jubbal,AOC,SE Rohru,Internal,Supdt Works CHD EEJ EED,BODHBERDHAN GUPTA,22-Nov-2022 03:19 PM,finsummary_97382.pdf (2450.30 KB),"HP Irrigation and Public Health||Rohru Circle,Irrigation and Public Health,HP||Jubbal,Irrigation and Public Health,HP",2022_HPIPH_64704_1,JBL-SML-09-718,Providing FHTC to left out house hold for nal se jal under JJM retrofitting to various GWSS under GP Badhal and Barthata Tehsil Jubbal Distt Shimla HP Job 2nd,1.0,301946.0,SS ENGINEERING WORKS,INR,"5,982,700",Finance,Financial Summary attached,BODHBERDHAN GUPTA,11-Oct-2022 04:46 PM,finance_97382.pdf,BOQ Comparative Chart,Technical,Technical Summary attached,BODHBERDHAN GUPTA,21-Sep-2022 11:15 AM,technical_97382.pdf,22-Nov-2022,"INR 2,766,400",180.0,BODHBERDHAN GUPTA,22-Nov-2022 03:39 PM,76.pdf (470.00 KB),Work awarded to Sh. M/S S.S Engineering Works vide this office Letter No. 6299-6302 dated 04/10/2022 (Agg No. 197 for 2022-23),SE Rohru,Internal,Supdt works PA Circle CHD rohru EED EEJ,BODHBERDHAN GUPTA,21-Sep-2022 11:32 AM,21-Sep-2022 11:40 AM,techsummary_97382.pdf (717.79 KB),1.0,301915.0,Dogra Construction Company Pvt Ltd,17-Sep-2022 02:44 PM,Rejected-Finance,L2,22-Nov-2022 03:19 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,.pdf,EMD or Exemption Certificate in case of availing exemption fresh affidavit be attached with,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,302022.0,MS Kamal Dev Sharma,17-Sep-2022 07:54 PM,Rejected-Finance,L4,22-Nov-2022 03:19 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,.pdf,Valid enlilstment,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,301906.0,R D Eco Paryavaran,17-Sep-2022 02:24 PM,Rejected-Finance,L3,22-Nov-2022 03:19 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee,,,.pdf,PAN GST EPF and latest ITR,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,301946.0,SS ENGINEERING WORKS,18-Sep-2022 05:41 AM,Accepted-AOC,Lowest Bidder,22-Nov-2022 03:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit,,,.pdf,Undertaking that bidder has carefully studied all the tender documents before bidding,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done of successful execution of similar nature of work duly issued by not below the rank of XEN,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that bidder is not a blacklisted contractor,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that no near relative of the bidder is working in JSV Deptt between the rank of JE to SE,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid dealership certificate with curve chart of centrifugal pumping machinery,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,SOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
