Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
ER MUNISH BHOPAL EE,Internal,Supdt Sr Asstt JDM,Munish Bhopal,31-May-2022 12:15 PM,finsummary_91295.pdf (301.97 KB),08-Jun-2022,"INR 999,805",120.0,Munish Bhopal,22-Nov-2022 11:12 AM,AOC.pdf (714.00 KB),work awarded to M/s Hipath Technologies being L1 firm,PWD,2022_PWD_60432_1,PW/MED/TA/NIT/ e-notice/21-22-557-67 dt 29.04.22,"Supplying, Installation, Testing and commissioning of IP based CCTV System at Warehouse for storage of EVM and VVPAT at Bhiuli District Mandi HP",ER MUNISH BHOPAL EE,Internal,SR ASSTT SR ASSTT JDM,Munish Bhopal,24-May-2022 02:01 PM,25-May-2022 10:30 AM,techsummary_91295.pdf (318.87 KB),Finance,financial bid summary,Munish Bhopal,31-May-2022 12:06 PM,finance_91295.pdf,BOQ Comparative Chart,1.0,282090.0,Hipath Technologies,INR,"999,930",Technical,TECHNICAL BID SUMMARY,Munish Bhopal,24-May-2022 01:49 PM,technical_91295.pdf,1.0,282340.0,BELTEX ENGINEERING SERVICES,17-May-2022 12:43 AM,Rejected-Finance,rejected being L2 firm,31-May-2022 12:16 PM,AOC,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,09-May-2022 10:00 AM,17-May-2022 11:00 AM,09-May-2022 10:00 AM,17-May-2022 10:00 AM,NA ,NA ,09-May-2022 10:00 AM,17-May-2022 10:00 AM,25-May-2022 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,PWD,PW/MED/TA/NIT/ e-notice/21-22-557-67 dt 29.04.22,2022_PWD_60432_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,350.0,Nil,Nil,No,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi","20,000",No,fixed,,Nil,Nil,"Supplying, Installation, Testing and commissioning of IP based CCTV System at Warehouse for storage of EVM and VVPAT at Bhiuli District Mandi HP","Supplying, Installation, Testing and commissioning of IP based CCTV System at Warehouse for storage of EVM and VVPAT at Bhiuli District Mandi HP",please refer to bid doc ,NA ,"9,99,805",Electrical Works,NA ,Tender,75.0,120.0,Mandi,175001.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,282090.0,Hipath Technologies,17-May-2022 03:45 AM,Accepted-AOC,work awarded to M/s Hipath Technologies being L1 firm,22-Nov-2022 11:12 AM,AOC,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,.pdf,OEM (CCTV System ) / Authorized agency of OEM,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,282119.0,RB Traders,17-May-2022 02:15 AM,Rejected-Technical,BID RESPONSIVE BUT DISQUALIFIED,24-May-2022 02:01 PM,AOC,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,282151.0,Saar Technologies,14-May-2022 04:18 PM,Rejected-Finance,rejected being L3 firm,31-May-2022 12:16 PM,AOC,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt. Deptt / Board / PSU.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
